concept_lo,concept_hi,category,color_lo,color_hi,deltaS_mg,deltaS_us,thr_mg_low,thr_mg_high,thr_us_low,thr_us_high
angry,banana,MG_high__US_high,BK,MP,0.5594404204152594,0.6927561967088236,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,banana,MG_high__US_low,DO,WH,0.3853095052130333,0.04998599497798017,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,banana,MG_low__US_high,LY,SG,0.01221990460429012,0.7794212497111954,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,banana,MG_low__US_low,DY,MO,0.07251948451067403,0.05843359737089149,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,death,MG_high__US_high,MG,SR,0.3844379867189792,0.7437900298314738,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,death,MG_high__US_low,MO,MP,0.4907356772985336,0.07012932131402327,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,death,MG_low__US_high,BK,MP,0.06994537112455623,0.5913600839039452,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,death,MG_low__US_low,MR,SO,0.03989221346569582,0.10562844602506384,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,happy,MG_high__US_high,BK,LR,0.6337417430260417,0.9526890640142638,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,happy,MG_high__US_low,MC,WH,0.59060133096693,0.03802544346758663,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,happy,MG_low__US_high,DY,SP,0.06847081676774391,0.6250256120707047,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,happy,MG_low__US_low,LH,SY,0.03635826925553709,0.0937603869127408,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,justice,MG_high__US_high,DY,WH,0.8252515292699882,0.7014521654205406,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,justice,MG_high__US_low,A3,SB,0.3825954270553671,0.0058695079141442,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,justice,MG_low__US_high,DG,MR,0.01296889992046623,0.6100829525544788,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,justice,MG_low__US_low,LG,LH,0.06407416241184283,0.10581794890102536,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,mango,MG_high__US_high,DR,LY,0.7818264765489262,0.9014391934738512,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,mango,MG_high__US_low,LH,SG,0.4196829144412131,0.09735160613157644,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,mango,MG_low__US_high,DC,LO,0.08674015410698921,0.7684019505993154,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,mango,MG_low__US_low,MC,SB,0.07827234404130112,0.06139650864485646,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,peace,MG_high__US_high,DY,LH,0.4355351157028484,0.7189788807734359,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,peace,MG_high__US_low,A3,MB,0.4241163496074023,0.11201845148465785,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,peace,MG_low__US_high,LP,SO,0.05141224390384391,0.6358262690464557,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,peace,MG_low__US_low,LB,SB,0.07933274365122578,0.0655840575773724,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,peach,MG_high__US_high,A1,LY,0.3815939178814465,0.7974786671331544,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,peach,MG_high__US_low,LP,SG,0.4421422985369199,0.09556447495757858,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,peach,MG_low__US_high,MO,WH,0.05751648360055694,0.8912817781206077,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,peach,MG_low__US_low,LB,SB,0.04331888994898336,0.04251957817848018,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,sad,MG_high__US_high,DB,SR,0.5365381760108079,0.959615383612644,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,sad,MG_high__US_low,MP,SC,0.4619187275065191,0.04754721914351401,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,sad,MG_low__US_high,LH,MB,0.06807877651814787,0.5999934659898618,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,sad,MG_low__US_low,MO,SP,0.0690638140439006,0.13884261857315483,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,sick,MG_high__US_high,DB,SR,0.46701603581424,0.6650799845135943,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,sick,MG_high__US_low,A2,SY,0.3902491314054919,0.01329818776675106,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,sick,MG_low__US_high,MC,MH,0.07323121492221474,0.6605648060448763,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,sick,MG_low__US_low,LP,SB,0.00171781779972424,0.01708384923100858,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,tree,MG_high__US_high,DP,SR,0.4093987707981344,0.7383947373322965,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,tree,MG_high__US_low,MH,SG,0.46987135073123953,0.0041944204520018,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,tree,MG_low__US_high,A2,SC,0.05534307232936641,0.5787363022745264,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
angry,tree,MG_low__US_low,SY,WH,0.02750335938394732,0.06632928773767144,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,death,MG_high__US_high,LC,LY,0.47674997992332746,0.9597152310894878,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,death,MG_high__US_low,LO,SO,0.36782392362230354,0.01958250454497534,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,death,MG_low__US_high,LY,SO,0.05495782867479937,0.7229510256372411,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,death,MG_low__US_low,DO,LB,0.072101396832426,0.0873852903724992,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,happy,MG_high__US_high,A1,LB,0.4294134066594977,0.7928641062982655,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,happy,MG_high__US_low,A3,DG,0.5081472033246726,0.06245288770251722,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,happy,MG_low__US_high,DO,DP,0.04049741825279418,0.705689103192628,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,happy,MG_low__US_low,LB,SR,0.08005353068647558,0.0149390980008206,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,lightning,MG_high__US_high,A1,MY,0.4546216932625955,0.5878582927678431,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,lightning,MG_high__US_low,DC,LH,0.4211824482301917,0.06298750972795308,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
banana,lightning,MG_low__US_high,MB,WH,0.0224916013952825,0.8494022763309661,0.08839751643177218,0.36106446984342444,0.15040521295763645,0.576281455014128
