country,concept,color,n_participants,n_ratings,mean_rating,sd_rating,se_rating
MDG,angry,A1,50,50,0.3566,0.3553934870143865,0.05026022893148118
MDG,angry,A2,50,50,0.34600000000000003,0.3412462154981894,0.04825950260660313
MDG,angry,A3,50,50,0.26080000000000003,0.3057999879873465,0.043246649038523495
MDG,angry,BK,50,50,0.5532,0.3900886346167277,0.055166863760257916
MDG,angry,DB,50,50,0.21,0.25927685935292866,0.036667285090641315
MDG,angry,DC,50,50,0.24280000000000002,0.2910785012287081,0.04116471641528726
MDG,angry,DG,50,50,0.26239999999999997,0.288716795069324,0.040830720727193154
MDG,angry,DH,50,50,0.2688,0.32443130778238366,0.045881515552428684
MDG,angry,DO,50,50,0.3696,0.3543833966719303,0.050117380585328816
MDG,angry,DP,50,50,0.26940000000000003,0.31498888869291886,0.044546155838635505
MDG,angry,DR,50,50,0.6368,0.34848617224345924,0.04928338710861865
MDG,angry,DY,50,50,0.29960000000000003,0.3399457339647261,0.04807558674437917
MDG,angry,LB,50,50,0.1918,0.2568068439548308,0.036317972163115275
MDG,angry,LC,50,50,0.2486,0.2994417254471653,0.04234745492677819
MDG,angry,LG,50,50,0.2164,0.3003247222183186,0.04247232952770785
MDG,angry,LH,50,50,0.2452,0.3012575005417343,0.042604244303274065
MDG,angry,LO,50,50,0.24719999999999998,0.3038463628956219,0.042970364728472564
MDG,angry,LP,50,50,0.28600000000000003,0.3131407716301773,0.04428479261713728
MDG,angry,LR,50,50,0.29059999999999997,0.33338345881618797,0.04714754089287052
MDG,angry,LY,50,50,0.1766,0.2672658998534788,0.03779710603326391
MDG,angry,MB,50,50,0.2364,0.27141924796017197,0.03838447815543812
MDG,angry,MC,50,50,0.23420000000000002,0.26140975732456856,0.03696892241450644
MDG,angry,MG,50,50,0.22460000000000002,0.26657472054313974,0.037699358517792596
MDG,angry,MH,50,50,0.2696,0.2780541717884837,0.0393227980817692
MDG,angry,MO,50,50,0.23079999999999998,0.26189139359821717,0.037037036069538905
MDG,angry,MP,50,50,0.1816,0.22425714103707478,0.03171474903136471
MDG,angry,MR,50,50,0.3636,0.35618018829043857,0.050371485292894085
MDG,angry,MY,50,50,0.20800000000000002,0.2842749459554239,0.04020254840130391
MDG,angry,SB,50,50,0.1782,0.25683068352515825,0.0363213435874831
MDG,angry,SC,50,50,0.2216,0.3035931756916327,0.042934558650702476
MDG,angry,SG,50,50,0.18580000000000002,0.2642439349216121,0.03736973565409773
