country,concept_a,concept_b,color_1,color_2,A_to_C1,B_to_C2,A_to_C2,B_to_C1
MDG,angry,banana,A1,A2,0.3566,0.179,0.34600000000000003,0.13419999999999999
MDG,angry,banana,A1,A3,0.3566,0.187,0.26080000000000003,0.13419999999999999
MDG,angry,banana,A1,BK,0.3566,0.14800000000000002,0.5532,0.13419999999999999
MDG,angry,banana,A1,DB,0.3566,0.1018,0.21,0.13419999999999999
MDG,angry,banana,A1,DC,0.3566,0.1208,0.24280000000000002,0.13419999999999999
MDG,angry,banana,A1,DG,0.3566,0.4858,0.26239999999999997,0.13419999999999999
MDG,angry,banana,A1,DH,0.3566,0.4152,0.2688,0.13419999999999999
MDG,angry,banana,A1,DO,0.3566,0.1568,0.3696,0.13419999999999999
MDG,angry,banana,A1,DP,0.3566,0.156,0.26940000000000003,0.13419999999999999
MDG,angry,banana,A1,DR,0.3566,0.13140000000000002,0.6368,0.13419999999999999
MDG,angry,banana,A1,DY,0.3566,0.3506,0.29960000000000003,0.13419999999999999
MDG,angry,banana,A1,LB,0.3566,0.128,0.1918,0.13419999999999999
MDG,angry,banana,A1,LC,0.3566,0.1574,0.2486,0.13419999999999999
MDG,angry,banana,A1,LG,0.3566,0.3196,0.2164,0.13419999999999999
MDG,angry,banana,A1,LH,0.3566,0.4714,0.2452,0.13419999999999999
MDG,angry,banana,A1,LO,0.3566,0.2138,0.24719999999999998,0.13419999999999999
MDG,angry,banana,A1,LP,0.3566,0.16240000000000002,0.28600000000000003,0.13419999999999999
MDG,angry,banana,A1,LR,0.3566,0.1704,0.29059999999999997,0.13419999999999999
MDG,angry,banana,A1,LY,0.3566,0.5138,0.1766,0.13419999999999999
MDG,angry,banana,A1,MB,0.3566,0.08839999999999999,0.2364,0.13419999999999999
MDG,angry,banana,A1,MC,0.3566,0.1772,0.23420000000000002,0.13419999999999999
MDG,angry,banana,A1,MG,0.3566,0.48519999999999996,0.22460000000000002,0.13419999999999999
MDG,angry,banana,A1,MH,0.3566,0.4936,0.2696,0.13419999999999999
MDG,angry,banana,A1,MO,0.3566,0.23099999999999998,0.23079999999999998,0.13419999999999999
MDG,angry,banana,A1,MP,0.3566,0.1404,0.1816,0.13419999999999999
MDG,angry,banana,A1,MR,0.3566,0.1646,0.3636,0.13419999999999999
MDG,angry,banana,A1,MY,0.3566,0.4714,0.20800000000000002,0.13419999999999999
MDG,angry,banana,A1,SB,0.3566,0.1002,0.1782,0.13419999999999999
MDG,angry,banana,A1,SC,0.3566,0.1442,0.2216,0.13419999999999999
MDG,angry,banana,A1,SG,0.3566,0.5318,0.18580000000000002,0.13419999999999999
MDG,angry,banana,A1,SH,0.3566,0.6356,0.247,0.13419999999999999
MDG,angry,banana,A1,SO,0.3566,0.424,0.3094,0.13419999999999999
MDG,angry,banana,A1,SP,0.3566,0.14859999999999998,0.252,0.13419999999999999
MDG,angry,banana,A1,SR,0.3566,0.16219999999999998,0.621,0.13419999999999999
MDG,angry,banana,A1,SY,0.3566,0.7812,0.3104,0.13419999999999999
MDG,angry,banana,A1,WH,0.3566,0.21359999999999998,0.1804,0.13419999999999999
MDG,angry,banana,A2,A3,0.34600000000000003,0.187,0.26080000000000003,0.179
MDG,angry,banana,A2,BK,0.34600000000000003,0.14800000000000002,0.5532,0.179
MDG,angry,banana,A2,DB,0.34600000000000003,0.1018,0.21,0.179
MDG,angry,banana,A2,DC,0.34600000000000003,0.1208,0.24280000000000002,0.179
MDG,angry,banana,A2,DG,0.34600000000000003,0.4858,0.26239999999999997,0.179
MDG,angry,banana,A2,DH,0.34600000000000003,0.4152,0.2688,0.179
MDG,angry,banana,A2,DO,0.34600000000000003,0.1568,0.3696,0.179
MDG,angry,banana,A2,DP,0.34600000000000003,0.156,0.26940000000000003,0.179
MDG,angry,banana,A2,DR,0.34600000000000003,0.13140000000000002,0.6368,0.179
MDG,angry,banana,A2,DY,0.34600000000000003,0.3506,0.29960000000000003,0.179
MDG,angry,banana,A2,LB,0.34600000000000003,0.128,0.1918,0.179
MDG,angry,banana,A2,LC,0.34600000000000003,0.1574,0.2486,0.179
MDG,angry,banana,A2,LG,0.34600000000000003,0.3196,0.2164,0.179
MDG,angry,banana,A2,LH,0.34600000000000003,0.4714,0.2452,0.179
MDG,angry,banana,A2,LO,0.34600000000000003,0.2138,0.24719999999999998,0.179
MDG,angry,banana,A2,LP,0.34600000000000003,0.16240000000000002,0.28600000000000003,0.179
MDG,angry,banana,A2,LR,0.34600000000000003,0.1704,0.29059999999999997,0.179
MDG,angry,banana,A2,LY,0.34600000000000003,0.5138,0.1766,0.179
MDG,angry,banana,A2,MB,0.34600000000000003,0.08839999999999999,0.2364,0.179
MDG,angry,banana,A2,MC,0.34600000000000003,0.1772,0.23420000000000002,0.179
MDG,angry,banana,A2,MG,0.34600000000000003,0.48519999999999996,0.22460000000000002,0.179
MDG,angry,banana,A2,MH,0.34600000000000003,0.4936,0.2696,0.179
MDG,angry,banana,A2,MO,0.34600000000000003,0.23099999999999998,0.23079999999999998,0.179
MDG,angry,banana,A2,MP,0.34600000000000003,0.1404,0.1816,0.179
MDG,angry,banana,A2,MR,0.34600000000000003,0.1646,0.3636,0.179
MDG,angry,banana,A2,MY,0.34600000000000003,0.4714,0.20800000000000002,0.179
MDG,angry,banana,A2,SB,0.34600000000000003,0.1002,0.1782,0.179
MDG,angry,banana,A2,SC,0.34600000000000003,0.1442,0.2216,0.179
MDG,angry,banana,A2,SG,0.34600000000000003,0.5318,0.18580000000000002,0.179
MDG,angry,banana,A2,SH,0.34600000000000003,0.6356,0.247,0.179
MDG,angry,banana,A2,SO,0.34600000000000003,0.424,0.3094,0.179
MDG,angry,banana,A2,SP,0.34600000000000003,0.14859999999999998,0.252,0.179
MDG,angry,banana,A2,SR,0.34600000000000003,0.16219999999999998,0.621,0.179
MDG,angry,banana,A2,SY,0.34600000000000003,0.7812,0.3104,0.179
MDG,angry,banana,A2,WH,0.34600000000000003,0.21359999999999998,0.1804,0.179
MDG,angry,banana,A3,BK,0.26080000000000003,0.14800000000000002,0.5532,0.187
MDG,angry,banana,A3,DB,0.26080000000000003,0.1018,0.21,0.187
MDG,angry,banana,A3,DC,0.26080000000000003,0.1208,0.24280000000000002,0.187
MDG,angry,banana,A3,DG,0.26080000000000003,0.4858,0.26239999999999997,0.187
MDG,angry,banana,A3,DH,0.26080000000000003,0.4152,0.2688,0.187
