country,concept_a,concept_b,color_1,color_2,A_to_C1,B_to_C2,A_to_C2,B_to_C1
USA,angry,banana,A1,A2,0.3736,0.0712,0.34380000000000005,0.0524
USA,angry,banana,A1,A3,0.3736,0.0678,0.1376,0.0524
USA,angry,banana,A1,BK,0.3736,0.1832,0.6537999999999999,0.0524
USA,angry,banana,A1,DB,0.3736,0.0426,0.1306,0.0524
USA,angry,banana,A1,DC,0.3736,0.056799999999999996,0.1014,0.0524
USA,angry,banana,A1,DG,0.3736,0.16820000000000002,0.1384,0.0524
USA,angry,banana,A1,DH,0.3736,0.23,0.1616,0.0524
USA,angry,banana,A1,DO,0.3736,0.272,0.324,0.0524
USA,angry,banana,A1,DP,0.3736,0.0438,0.21280000000000002,0.0524
USA,angry,banana,A1,DR,0.3736,0.063,0.7922,0.0524
USA,angry,banana,A1,DY,0.3736,0.30079999999999996,0.2382,0.0524
USA,angry,banana,A1,LB,0.3736,0.0416,0.0746,0.0524
USA,angry,banana,A1,LC,0.3736,0.0436,0.079,0.0524
USA,angry,banana,A1,LG,0.3736,0.09699999999999999,0.069,0.0524
USA,angry,banana,A1,LH,0.3736,0.4324,0.091,0.0524
USA,angry,banana,A1,LO,0.3736,0.2646,0.0888,0.0524
USA,angry,banana,A1,LP,0.3736,0.048,0.07780000000000001,0.0524
USA,angry,banana,A1,LR,0.3736,0.0946,0.17859999999999998,0.0524
USA,angry,banana,A1,LY,0.3736,0.7095999999999999,0.12480000000000001,0.0524
USA,angry,banana,A1,MB,0.3736,0.0364,0.0926,0.0524
USA,angry,banana,A1,MC,0.3736,0.0492,0.0886,0.0524
USA,angry,banana,A1,MG,0.3736,0.1134,0.0964,0.0524
USA,angry,banana,A1,MH,0.3736,0.29960000000000003,0.11019999999999999,0.0524
USA,angry,banana,A1,MO,0.3736,0.22060000000000002,0.19519999999999998,0.0524
USA,angry,banana,A1,MP,0.3736,0.054400000000000004,0.1072,0.0524
USA,angry,banana,A1,MR,0.3736,0.046000000000000006,0.4692,0.0524
USA,angry,banana,A1,MY,0.3736,0.446,0.1148,0.0524
USA,angry,banana,A1,SB,0.3736,0.0452,0.0806,0.0524
USA,angry,banana,A1,SC,0.3736,0.045,0.0872,0.0524
USA,angry,banana,A1,SG,0.3736,0.1744,0.0742,0.0524
USA,angry,banana,A1,SH,0.3736,0.3958,0.132,0.0524
USA,angry,banana,A1,SO,0.3736,0.2718,0.3736,0.0524
USA,angry,banana,A1,SP,0.3736,0.042199999999999994,0.1408,0.0524
USA,angry,banana,A1,SR,0.3736,0.0434,0.7332,0.0524
USA,angry,banana,A1,SY,0.3736,0.9501999999999999,0.23260000000000003,0.0524
USA,angry,banana,A1,WH,0.3736,0.1168,0.1394,0.0524
USA,angry,banana,A2,A3,0.34380000000000005,0.0678,0.1376,0.0712
USA,angry,banana,A2,BK,0.34380000000000005,0.1832,0.6537999999999999,0.0712
USA,angry,banana,A2,DB,0.34380000000000005,0.0426,0.1306,0.0712
USA,angry,banana,A2,DC,0.34380000000000005,0.056799999999999996,0.1014,0.0712
USA,angry,banana,A2,DG,0.34380000000000005,0.16820000000000002,0.1384,0.0712
USA,angry,banana,A2,DH,0.34380000000000005,0.23,0.1616,0.0712
USA,angry,banana,A2,DO,0.34380000000000005,0.272,0.324,0.0712
USA,angry,banana,A2,DP,0.34380000000000005,0.0438,0.21280000000000002,0.0712
USA,angry,banana,A2,DR,0.34380000000000005,0.063,0.7922,0.0712
USA,angry,banana,A2,DY,0.34380000000000005,0.30079999999999996,0.2382,0.0712
USA,angry,banana,A2,LB,0.34380000000000005,0.0416,0.0746,0.0712
USA,angry,banana,A2,LC,0.34380000000000005,0.0436,0.079,0.0712
USA,angry,banana,A2,LG,0.34380000000000005,0.09699999999999999,0.069,0.0712
USA,angry,banana,A2,LH,0.34380000000000005,0.4324,0.091,0.0712
