concept,color,weight,se,hex,barStroke,expCountry
angry,A1,0.3566,0.0503,#656168,#656168,mdg
angry,A2,0.346,0.0483,#9d97a0,#9d97a0,mdg
angry,A3,0.2608,0.0432,#d8cfdb,#d8cfdb,mdg
angry,BK,0.5532,0.0552,#323033,#323033,mdg
angry,DB,0.21,0.0367,#386089,#386089,mdg
angry,DC,0.2428,0.0412,#297375,#297375,mdg
angry,DG,0.2624,0.0408,#21704f,#21704f,mdg
angry,DH,0.2688,0.0459,#677f35,#677f35,mdg
angry,DO,0.3696,0.0501,#864d2b,#864d2b,mdg
angry,DP,0.2694,0.0445,#723484,#723484,mdg
angry,DR,0.6368,0.0493,#8a2b38,#8a2b38,mdg
angry,DY,0.2996,0.0481,#8a7527,#8a7527,mdg
angry,LB,0.1918,0.0363,#aacffb,#aacffb,mdg
angry,LC,0.2486,0.0423,#9de5e4,#9de5e4,mdg
angry,LG,0.2164,0.0425,#95e2b8,#95e2b8,mdg
angry,LH,0.2452,0.0426,#dbf099,#dbf099,mdg
angry,LO,0.2472,0.043,#fbc9a3,#fbc9a3,mdg
angry,LP,0.286,0.0443,#dfa7fa,#dfa7fa,mdg
angry,LR,0.2906,0.0471,#fc9fa3,#fc9fa3,mdg
angry,LY,0.1766,0.0378,#fff498,#fff498,mdg
angry,MB,0.2364,0.0384,#7196c0,#7196c0,mdg
angry,MC,0.2342,0.037,#65acac,#65acac,mdg
angry,MG,0.2246,0.0377,#62ae88,#62ae88,mdg
angry,MH,0.2696,0.0393,#a0b668,#a0b668,mdg
angry,MO,0.2308,0.037,#ce916c,#ce916c,mdg
angry,MP,0.1816,0.0317,#a66fbd,#a66fbd,mdg
angry,MR,0.3636,0.0504,#c5666b,#c5666b,mdg
angry,MY,0.208,0.0402,#dab572,#dab572,mdg
angry,SB,0.1782,0.0363,#4fa7ef,#4fa7ef,mdg
angry,SC,0.2216,0.0429,#27d1cd,#27d1cd,mdg
angry,SG,0.1858,0.0374,#04c981,#04c981,mdg
angry,SH,0.247,0.0462,#bde638,#bde638,mdg
angry,SO,0.3094,0.0476,#f89e2d,#f89e2d,mdg
angry,SP,0.252,0.0449,#b740da,#b740da,mdg
angry,SR,0.621,0.0563,#f03a52,#f03a52,mdg
angry,SY,0.3104,0.0521,#fff329,#fff329,mdg
angry,WH,0.1804,0.0338,#ffffff,#000000,mdg
banana,A1,0.1342,0.0293,#656168,#656168,mdg
banana,A2,0.179,0.0362,#9d97a0,#9d97a0,mdg
banana,A3,0.187,0.0408,#d8cfdb,#d8cfdb,mdg
banana,BK,0.148,0.0356,#323033,#323033,mdg
banana,DB,0.1018,0.0242,#386089,#386089,mdg
banana,DC,0.1208,0.0292,#297375,#297375,mdg
banana,DG,0.4858,0.0552,#21704f,#21704f,mdg
banana,DH,0.4152,0.0517,#677f35,#677f35,mdg
banana,DO,0.1568,0.0299,#864d2b,#864d2b,mdg
banana,DP,0.156,0.03,#723484,#723484,mdg
banana,DR,0.1314,0.0302,#8a2b38,#8a2b38,mdg
banana,DY,0.3506,0.0509,#8a7527,#8a7527,mdg
banana,LB,0.128,0.0311,#aacffb,#aacffb,mdg
banana,LC,0.1574,0.0354,#9de5e4,#9de5e4,mdg
banana,LG,0.3196,0.0452,#95e2b8,#95e2b8,mdg
banana,LH,0.4714,0.0514,#dbf099,#dbf099,mdg
banana,LO,0.2138,0.0374,#fbc9a3,#fbc9a3,mdg
banana,LP,0.1624,0.0349,#dfa7fa,#dfa7fa,mdg
banana,LR,0.1704,0.0347,#fc9fa3,#fc9fa3,mdg
banana,LY,0.5138,0.0557,#fff498,#fff498,mdg
banana,MB,0.0884,0.0229,#7196c0,#7196c0,mdg
banana,MC,0.1772,0.0363,#65acac,#65acac,mdg
banana,MG,0.4852,0.0513,#62ae88,#62ae88,mdg
banana,MH,0.4936,0.0482,#a0b668,#a0b668,mdg
banana,MO,0.231,0.0377,#ce916c,#ce916c,mdg
banana,MP,0.1404,0.0284,#a66fbd,#a66fbd,mdg
banana,MR,0.1646,0.0315,#c5666b,#c5666b,mdg
banana,MY,0.4714,0.051,#dab572,#dab572,mdg
banana,SB,0.1002,0.0244,#4fa7ef,#4fa7ef,mdg
banana,SC,0.1442,0.0307,#27d1cd,#27d1cd,mdg
banana,SG,0.5318,0.0536,#04c981,#04c981,mdg
banana,SH,0.6356,0.056,#bde638,#bde638,mdg
banana,SO,0.424,0.0529,#f89e2d,#f89e2d,mdg
banana,SP,0.1486,0.0292,#b740da,#b740da,mdg
banana,SR,0.1622,0.0397,#f03a52,#f03a52,mdg
banana,SY,0.7812,0.0472,#fff329,#fff329,mdg
banana,WH,0.2136,0.0424,#ffffff,#000000,mdg
death,A1,0.7284,0.0467,#656168,#656168,mdg
death,A2,0.5956,0.0493,#9d97a0,#9d97a0,mdg
death,A3,0.424,0.0557,#d8cfdb,#d8cfdb,mdg
death,BK,0.8658,0.0355,#323033,#323033,mdg
death,DB,0.1568,0.0374,#386089,#386089,mdg
death,DC,0.1532,0.0305,#297375,#297375,mdg
death,DG,0.1972,0.0368,#21704f,#21704f,mdg
death,DH,0.2044,0.0407,#677f35,#677f35,mdg
death,DO,0.2514,0.0424,#864d2b,#864d2b,mdg
death,DP,0.5514,0.0576,#723484,#723484,mdg
death,DR,0.3004,0.0477,#8a2b38,#8a2b38,mdg
death,DY,0.2314,0.0407,#8a7527,#8a7527,mdg
death,LB,0.185,0.0322,#aacffb,#aacffb,mdg
death,LC,0.1624,0.0293,#9de5e4,#9de5e4,mdg
death,LG,0.1748,0.0334,#95e2b8,#95e2b8,mdg
death,LH,0.2336,0.042,#dbf099,#dbf099,mdg
death,LO,0.1808,0.03,#fbc9a3,#fbc9a3,mdg
death,LP,0.3108,0.0467,#dfa7fa,#dfa7fa,mdg
death,LR,0.1498,0.0297,#fc9fa3,#fc9fa3,mdg
death,LY,0.2032,0.0421,#fff498,#fff498,mdg
death,MB,0.1734,0.03,#7196c0,#7196c0,mdg
death,MC,0.1898,0.0353,#65acac,#65acac,mdg
death,MG,0.1464,0.0286,#62ae88,#62ae88,mdg
death,MH,0.2532,0.0406,#a0b668,#a0b668,mdg
death,MO,0.1584,0.0294,#ce916c,#ce916c,mdg
death,MP,0.4454,0.0528,#a66fbd,#a66fbd,mdg
death,MR,0.1808,0.0321,#c5666b,#c5666b,mdg
death,MY,0.1964,0.0346,#dab572,#dab572,mdg
death,SB,0.1692,0.0359,#4fa7ef,#4fa7ef,mdg
death,SC,0.1748,0.0298,#27d1cd,#27d1cd,mdg
death,SG,0.108,0.0234,#04c981,#04c981,mdg
death,SH,0.1642,0.0338,#bde638,#bde638,mdg
death,SO,0.1526,0.0321,#f89e2d,#f89e2d,mdg
death,SP,0.5226,0.0577,#b740da,#b740da,mdg
death,SR,0.2782,0.0482,#f03a52,#f03a52,mdg
death,SY,0.1248,0.0324,#fff329,#fff329,mdg
death,WH,0.5016,0.06,#ffffff,#000000,mdg
happy,A1,0.199,0.0359,#656168,#656168,mdg
happy,A2,0.241,0.0424,#9d97a0,#9d97a0,mdg
happy,A3,0.5554,0.053900000000000003,#d8cfdb,#d8cfdb,mdg
happy,BK,0.1658,0.0332,#323033,#323033,mdg
happy,DB,0.4474,0.0514,#386089,#386089,mdg
happy,DC,0.2986,0.0431,#297375,#297375,mdg
happy,DG,0.4178,0.0502,#21704f,#21704f,mdg
happy,DH,0.268,0.0399,#677f35,#677f35,mdg
happy,DO,0.2284,0.0358,#864d2b,#864d2b,mdg
happy,DP,0.2502,0.0447,#723484,#723484,mdg
happy,DR,0.2998,0.0452,#8a2b38,#8a2b38,mdg
happy,DY,0.3058,0.0454,#8a7527,#8a7527,mdg
happy,LB,0.4598,0.0461,#aacffb,#aacffb,mdg
happy,LC,0.4184,0.0478,#9de5e4,#9de5e4,mdg
happy,LG,0.4064,0.0463,#95e2b8,#95e2b8,mdg
happy,LH,0.499,0.0473,#dbf099,#dbf099,mdg
happy,LO,0.4274,0.0515,#fbc9a3,#fbc9a3,mdg
happy,LP,0.4038,0.0449,#dfa7fa,#dfa7fa,mdg
happy,LR,0.4454,0.0512,#fc9fa3,#fc9fa3,mdg
happy,LY,0.5206,0.0492,#fff498,#fff498,mdg
happy,MB,0.3798,0.0493,#7196c0,#7196c0,mdg
happy,MC,0.3156,0.0451,#65acac,#65acac,mdg
happy,MG,0.3396,0.0491,#62ae88,#62ae88,mdg
happy,MH,0.2844,0.0447,#a0b668,#a0b668,mdg
happy,MO,0.32,0.0415,#ce916c,#ce916c,mdg
happy,MP,0.264,0.045,#a66fbd,#a66fbd,mdg
happy,MR,0.364,0.0471,#c5666b,#c5666b,mdg
happy,MY,0.3434,0.0438,#dab572,#dab572,mdg
happy,SB,0.5384,0.0535,#4fa7ef,#4fa7ef,mdg
happy,SC,0.501,0.0505,#27d1cd,#27d1cd,mdg
happy,SG,0.4842,0.0562,#04c981,#04c981,mdg
happy,SH,0.5226,0.0501,#bde638,#bde638,mdg
happy,SO,0.5424,0.0509,#f89e2d,#f89e2d,mdg
happy,SP,0.3078,0.0504,#b740da,#b740da,mdg
happy,SR,0.5492,0.0589,#f03a52,#f03a52,mdg
happy,SY,0.5928,0.0557,#fff329,#fff329,mdg
happy,WH,0.701,0.0478,#ffffff,#000000,mdg
justice,A1,0.2456,0.0421,#656168,#656168,mdg
justice,A2,0.392,0.0495,#9d97a0,#9d97a0,mdg
justice,A3,0.69,0.0474,#d8cfdb,#d8cfdb,mdg
justice,BK,0.309,0.0516,#323033,#323033,mdg
justice,DB,0.3148,0.0476,#386089,#386089,mdg
justice,DC,0.2092,0.038,#297375,#297375,mdg
justice,DG,0.2318,0.0405,#21704f,#21704f,mdg
justice,DH,0.2074,0.0384,#677f35,#677f35,mdg
justice,DO,0.1862,0.0352,#864d2b,#864d2b,mdg
justice,DP,0.2712,0.0475,#723484,#723484,mdg
justice,DR,0.3786,0.054,#8a2b38,#8a2b38,mdg
justice,DY,0.1468,0.0313,#8a7527,#8a7527,mdg
justice,LB,0.39,0.051,#aacffb,#aacffb,mdg
justice,LC,0.4088,0.0488,#9de5e4,#9de5e4,mdg
justice,LG,0.293,0.0452,#95e2b8,#95e2b8,mdg
justice,LH,0.3668,0.0536,#dbf099,#dbf099,mdg
justice,LO,0.3086,0.0462,#fbc9a3,#fbc9a3,mdg
justice,LP,0.352,0.0486,#dfa7fa,#dfa7fa,mdg
justice,LR,0.3002,0.047,#fc9fa3,#fc9fa3,mdg
justice,LY,0.4098,0.0506,#fff498,#fff498,mdg
justice,MB,0.3102,0.047,#7196c0,#7196c0,mdg
justice,MC,0.2694,0.0439,#65acac,#65acac,mdg
justice,MG,0.29,0.0426,#62ae88,#62ae88,mdg
justice,MH,0.247,0.04,#a0b668,#a0b668,mdg
justice,MO,0.204,0.0361,#ce916c,#ce916c,mdg
justice,MP,0.2238,0.0403,#a66fbd,#a66fbd,mdg
justice,MR,0.3236,0.0469,#c5666b,#c5666b,mdg
justice,MY,0.2708,0.0448,#dab572,#dab572,mdg
justice,SB,0.3332,0.0497,#4fa7ef,#4fa7ef,mdg
justice,SC,0.325,0.0491,#27d1cd,#27d1cd,mdg
justice,SG,0.2804,0.0466,#04c981,#04c981,mdg
justice,SH,0.3374,0.0486,#bde638,#bde638,mdg
justice,SO,0.2494,0.0417,#f89e2d,#f89e2d,mdg
justice,SP,0.2902,0.049,#b740da,#b740da,mdg
justice,SR,0.4092,0.0551,#f03a52,#f03a52,mdg
justice,SY,0.3014,0.0478,#fff329,#fff329,mdg
justice,WH,0.7008,0.053,#ffffff,#000000,mdg
lightning,A1,0.322,0.0498,#656168,#656168,mdg
lightning,A2,0.4078,0.0508,#9d97a0,#9d97a0,mdg
lightning,A3,0.4028,0.0521,#d8cfdb,#d8cfdb,mdg
lightning,BK,0.3692,0.0536,#323033,#323033,mdg
lightning,DB,0.3332,0.0456,#386089,#386089,mdg
lightning,DC,0.2682,0.0417,#297375,#297375,mdg
lightning,DG,0.2002,0.0399,#21704f,#21704f,mdg
lightning,DH,0.2148,0.0375,#677f35,#677f35,mdg
lightning,DO,0.2774,0.0493,#864d2b,#864d2b,mdg
lightning,DP,0.3746,0.0514,#723484,#723484,mdg
lightning,DR,0.4314,0.0524,#8a2b38,#8a2b38,mdg
lightning,DY,0.2856,0.047,#8a7527,#8a7527,mdg
lightning,LB,0.322,0.0459,#aacffb,#aacffb,mdg
lightning,LC,0.3478,0.0471,#9de5e4,#9de5e4,mdg
lightning,LG,0.2468,0.0386,#95e2b8,#95e2b8,mdg
lightning,LH,0.3102,0.0444,#dbf099,#dbf099,mdg
lightning,LO,0.3296,0.0473,#fbc9a3,#fbc9a3,mdg
lightning,LP,0.2992,0.0427,#dfa7fa,#dfa7fa,mdg
lightning,LR,0.386,0.0502,#fc9fa3,#fc9fa3,mdg
lightning,LY,0.3866,0.0476,#fff498,#fff498,mdg
lightning,MB,0.3234,0.0439,#7196c0,#7196c0,mdg
lightning,MC,0.3054,0.0435,#65acac,#65acac,mdg
lightning,MG,0.2148,0.0384,#62ae88,#62ae88,mdg
lightning,MH,0.2562,0.0416,#a0b668,#a0b668,mdg
lightning,MO,0.28,0.0435,#ce916c,#ce916c,mdg
lightning,MP,0.3518,0.0486,#a66fbd,#a66fbd,mdg
