concept,color,weight,se,hex,barStroke,expCountry
angry,A1,0.3736,0.0483,#656168,#656168,usa
angry,A2,0.3438,0.044,#9d97a0,#9d97a0,usa
angry,A3,0.1376,0.0283,#d8cfdb,#d8cfdb,usa
angry,BK,0.6538,0.0486,#323033,#323033,usa
angry,DB,0.1306,0.0276,#386089,#386089,usa
angry,DC,0.1014,0.0247,#297375,#297375,usa
angry,DG,0.1384,0.0268,#21704f,#21704f,usa
angry,DH,0.1616,0.0319,#677f35,#677f35,usa
angry,DO,0.324,0.0396,#864d2b,#864d2b,usa
angry,DP,0.2128,0.04,#723484,#723484,usa
angry,DR,0.7922,0.0401,#8a2b38,#8a2b38,usa
angry,DY,0.2382,0.0332,#8a7527,#8a7527,usa
angry,LB,0.0746,0.0221,#aacffb,#aacffb,usa
angry,LC,0.079,0.0217,#9de5e4,#9de5e4,usa
angry,LG,0.069,0.0213,#95e2b8,#95e2b8,usa
angry,LH,0.091,0.0233,#dbf099,#dbf099,usa
angry,LO,0.0888,0.0192,#fbc9a3,#fbc9a3,usa
angry,LP,0.0778,0.0223,#dfa7fa,#dfa7fa,usa
angry,LR,0.1786,0.0325,#fc9fa3,#fc9fa3,usa
angry,LY,0.1248,0.0301,#fff498,#fff498,usa
angry,MB,0.0926,0.0241,#7196c0,#7196c0,usa
angry,MC,0.0886,0.0223,#65acac,#65acac,usa
angry,MG,0.0964,0.021,#62ae88,#62ae88,usa
angry,MH,0.1102,0.0222,#a0b668,#a0b668,usa
angry,MO,0.1952,0.0334,#ce916c,#ce916c,usa
angry,MP,0.1072,0.0272,#a66fbd,#a66fbd,usa
angry,MR,0.4692,0.044,#c5666b,#c5666b,usa
angry,MY,0.1148,0.0245,#dab572,#dab572,usa
angry,SB,0.0806,0.0238,#4fa7ef,#4fa7ef,usa
angry,SC,0.0872,0.0244,#27d1cd,#27d1cd,usa
angry,SG,0.0742,0.0176,#04c981,#04c981,usa
angry,SH,0.132,0.0266,#bde638,#bde638,usa
angry,SO,0.3736,0.0436,#f89e2d,#f89e2d,usa
angry,SP,0.1408,0.0293,#b740da,#b740da,usa
angry,SR,0.7332,0.0481,#f03a52,#f03a52,usa
angry,SY,0.2326,0.0412,#fff329,#fff329,usa
angry,WH,0.1394,0.035,#ffffff,#000000,usa
banana,A1,0.0524,0.0181,#656168,#656168,usa
banana,A2,0.0712,0.0202,#9d97a0,#9d97a0,usa
banana,A3,0.0678,0.0175,#d8cfdb,#d8cfdb,usa
banana,BK,0.1832,0.0397,#323033,#323033,usa
banana,DB,0.0426,0.0128,#386089,#386089,usa
banana,DC,0.0568,0.0147,#297375,#297375,usa
banana,DG,0.1682,0.0302,#21704f,#21704f,usa
banana,DH,0.23,0.0334,#677f35,#677f35,usa
banana,DO,0.272,0.0385,#864d2b,#864d2b,usa
banana,DP,0.0438,0.015,#723484,#723484,usa
banana,DR,0.063,0.0158,#8a2b38,#8a2b38,usa
banana,DY,0.3008,0.0388,#8a7527,#8a7527,usa
banana,LB,0.0416,0.0118,#aacffb,#aacffb,usa
banana,LC,0.0436,0.0118,#9de5e4,#9de5e4,usa
banana,LG,0.097,0.0215,#95e2b8,#95e2b8,usa
banana,LH,0.4324,0.0414,#dbf099,#dbf099,usa
banana,LO,0.2646,0.0358,#fbc9a3,#fbc9a3,usa
banana,LP,0.048,0.0134,#dfa7fa,#dfa7fa,usa
banana,LR,0.0946,0.0238,#fc9fa3,#fc9fa3,usa
banana,LY,0.7096,0.035,#fff498,#fff498,usa
banana,MB,0.0364,0.0105,#7196c0,#7196c0,usa
banana,MC,0.0492,0.0129,#65acac,#65acac,usa
banana,MG,0.1134,0.0252,#62ae88,#62ae88,usa
banana,MH,0.2996,0.0351,#a0b668,#a0b668,usa
banana,MO,0.2206,0.0364,#ce916c,#ce916c,usa
banana,MP,0.0544,0.0155,#a66fbd,#a66fbd,usa
banana,MR,0.046,0.0144,#c5666b,#c5666b,usa
banana,MY,0.446,0.0448,#dab572,#dab572,usa
banana,SB,0.0452,0.0127,#4fa7ef,#4fa7ef,usa
banana,SC,0.045,0.0125,#27d1cd,#27d1cd,usa
banana,SG,0.1744,0.0316,#04c981,#04c981,usa
banana,SH,0.3958,0.0384,#bde638,#bde638,usa
banana,SO,0.2718,0.0422,#f89e2d,#f89e2d,usa
banana,SP,0.0422,0.0144,#b740da,#b740da,usa
banana,SR,0.0434,0.0145,#f03a52,#f03a52,usa
banana,SY,0.9502,0.0141,#fff329,#fff329,usa
banana,WH,0.1168,0.0303,#ffffff,#000000,usa
death,A1,0.775,0.029,#656168,#656168,usa
death,A2,0.6698,0.0381,#9d97a0,#9d97a0,usa
death,A3,0.4332,0.0478,#d8cfdb,#d8cfdb,usa
death,BK,0.9468,0.0221,#323033,#323033,usa
death,DB,0.2328,0.0369,#386089,#386089,usa
death,DC,0.1342,0.0281,#297375,#297375,usa
death,DG,0.1142,0.0263,#21704f,#21704f,usa
death,DH,0.1602,0.032,#677f35,#677f35,usa
death,DO,0.2752,0.0425,#864d2b,#864d2b,usa
death,DP,0.1484,0.0346,#723484,#723484,usa
death,DR,0.4724,0.0499,#8a2b38,#8a2b38,usa
death,DY,0.241,0.0411,#8a7527,#8a7527,usa
death,LB,0.0902,0.0201,#aacffb,#aacffb,usa
death,LC,0.0662,0.0132,#9de5e4,#9de5e4,usa
death,LG,0.0758,0.0151,#95e2b8,#95e2b8,usa
death,LH,0.088,0.0192,#dbf099,#dbf099,usa
death,LO,0.1082,0.0219,#fbc9a3,#fbc9a3,usa
death,LP,0.065,0.0187,#dfa7fa,#dfa7fa,usa
death,LR,0.0836,0.0215,#fc9fa3,#fc9fa3,usa
death,LY,0.0734,0.0151,#fff498,#fff498,usa
death,MB,0.138,0.0311,#7196c0,#7196c0,usa
death,MC,0.083,0.0164,#65acac,#65acac,usa
death,MG,0.0794,0.0161,#62ae88,#62ae88,usa
death,MH,0.154,0.0307,#a0b668,#a0b668,usa
