progressBlock,color,progressColor,ans,concept,expCountry,ID,rating
1,A2,1,81,sick,usa,20240418-1118-25366,0
1,DC,2,6,sick,usa,20240418-1118-25366,0.64
1,LH,3,55,sick,usa,20240418-1118-25366,0
1,MC,4,28,sick,usa,20240418-1118-25366,0.55
1,DY,5,60,sick,usa,20240418-1118-25366,0.46
1,WH,6,44,sick,usa,20240418-1118-25366,0
1,SO,7,28,sick,usa,20240418-1118-25366,0.32
1,MH,8,56,sick,usa,20240418-1118-25366,0
1,DH,9,35,sick,usa,20240418-1118-25366,0
1,LP,10,0,sick,usa,20240418-1118-25366,0.65
1,SH,11,35,sick,usa,20240418-1118-25366,0.57
1,DG,12,36,sick,usa,20240418-1118-25366,0
1,MY,13,53,sick,usa,20240418-1118-25366,0.13
1,SG,14,28,sick,usa,20240418-1118-25366,0
1,DO,15,60,sick,usa,20240418-1118-25366,0
1,DR,16,55,sick,usa,20240418-1118-25366,0.35
1,A1,17,79,sick,usa,20240418-1118-25366,0
1,MO,18,46,sick,usa,20240418-1118-25366,0
1,LR,19,33,sick,usa,20240418-1118-25366,0
1,BK,20,61,sick,usa,20240418-1118-25366,0.2
1,MG,21,37,sick,usa,20240418-1118-25366,0.64
1,A3,22,36,sick,usa,20240418-1118-25366,0.57
1,DB,23,61,sick,usa,20240418-1118-25366,0
1,LB,24,25,sick,usa,20240418-1118-25366,0
1,MR,25,30,sick,usa,20240418-1118-25366,0
1,SC,26,31,sick,usa,20240418-1118-25366,0.82
1,LG,27,27,sick,usa,20240418-1118-25366,0.58
1,MB,28,33,sick,usa,20240418-1118-25366,0
1,DP,29,0,sick,usa,20240418-1118-25366,0
1,SR,30,39,sick,usa,20240418-1118-25366,0.67
1,SP,31,19,sick,usa,20240418-1118-25366,0
1,SY,32,12,sick,usa,20240418-1118-25366,0
1,MP,33,19,sick,usa,20240418-1118-25366,0
1,LC,34,29,sick,usa,20240418-1118-25366,0
1,LO,35,28,sick,usa,20240418-1118-25366,0
1,LY,36,15,sick,usa,20240418-1118-25366,0
1,SB,37,16,sick,usa,20240418-1118-25366,0
2,LG,1,59,safety,usa,20240418-1118-25366,1
2,MY,2,59,safety,usa,20240418-1118-25366,0
2,A1,3,27,safety,usa,20240418-1118-25366,0
2,LH,4,45,safety,usa,20240418-1118-25366,0
2,SG,5,55,safety,usa,20240418-1118-25366,0.01
2,LO,6,44,safety,usa,20240418-1118-25366,0
2,DY,7,43,safety,usa,20240418-1118-25366,0
2,SY,8,64,safety,usa,20240418-1118-25366,0
2,LP,9,61,safety,usa,20240418-1118-25366,0
2,DG,10,56,safety,usa,20240418-1118-25366,0.73
2,A2,11,40,safety,usa,20240418-1118-25366,0.78
2,SC,12,55,safety,usa,20240418-1118-25366,0
2,LR,13,42,safety,usa,20240418-1118-25366,0.58
2,MC,14,38,safety,usa,20240418-1118-25366,0
2,SH,15,39,safety,usa,20240418-1118-25366,0
2,SP,16,41,safety,usa,20240418-1118-25366,0
2,DC,17,62,safety,usa,20240418-1118-25366,0
2,A3,18,60,safety,usa,20240418-1118-25366,0.78
2,DR,19,61,safety,usa,20240418-1118-25366,0
2,LC,20,41,safety,usa,20240418-1118-25366,0
2,DH,21,44,safety,usa,20240418-1118-25366,0
2,BK,22,25,safety,usa,20240418-1118-25366,0
2,DB,23,57,safety,usa,20240418-1118-25366,0
2,MO,24,44,safety,usa,20240418-1118-25366,0
2,LB,25,57,safety,usa,20240418-1118-25366,0
2,DO,26,54,safety,usa,20240418-1118-25366,0
2,SO,27,66,safety,usa,20240418-1118-25366,0
2,DP,28,65,safety,usa,20240418-1118-25366,0
2,SR,29,43,safety,usa,20240418-1118-25366,0
2,MH,30,46,safety,usa,20240418-1118-25366,0
2,MB,31,63,safety,usa,20240418-1118-25366,0
2,LY,32,60,safety,usa,20240418-1118-25366,0
2,SB,33,57,safety,usa,20240418-1118-25366,0
2,MR,34,42,safety,usa,20240418-1118-25366,0
2,MG,35,57,safety,usa,20240418-1118-25366,0.39
2,WH,36,76,safety,usa,20240418-1118-25366,0
2,MP,37,64,safety,usa,20240418-1118-25366,0
3,DH,1,60,mango,usa,20240418-1118-25366,0.59
3,SC,2,26,mango,usa,20240418-1118-25366,0.8
3,SO,3,69,mango,usa,20240418-1118-25366,0
3,LP,4,5,mango,usa,20240418-1118-25366,0
3,LR,5,55,mango,usa,20240418-1118-25366,0
3,MP,6,4,mango,usa,20240418-1118-25366,1
3,MG,7,54,mango,usa,20240418-1118-25366,0
3,A2,8,0,mango,usa,20240418-1118-25366,0
3,LH,9,54,mango,usa,20240418-1118-25366,0
3,SB,10,0,mango,usa,20240418-1118-25366,0
3,MY,11,54,mango,usa,20240418-1118-25366,0
3,SG,12,9,mango,usa,20240418-1118-25366,0
3,MC,13,5,mango,usa,20240418-1118-25366,0
3,WH,14,30,mango,usa,20240418-1118-25366,0
3,SR,15,34,mango,usa,20240418-1118-25366,0.6
3,LY,16,56,mango,usa,20240418-1118-25366,0
3,BK,17,0,mango,usa,20240418-1118-25366,0
3,DO,18,56,mango,usa,20240418-1118-25366,0
3,DP,19,10,mango,usa,20240418-1118-25366,0
3,DR,20,0,mango,usa,20240418-1118-25366,0
3,MO,21,63,mango,usa,20240418-1118-25366,0.66
3,A1,22,1,mango,usa,20240418-1118-25366,0
3,SY,23,56,mango,usa,20240418-1118-25366,0
3,LC,24,7,mango,usa,20240418-1118-25366,0
3,DY,25,0,mango,usa,20240418-1118-25366,0
3,A3,26,0,mango,usa,20240418-1118-25366,0
3,LG,27,23,mango,usa,20240418-1118-25366,0
3,MR,28,13,mango,usa,20240418-1118-25366,0
3,DB,29,0,mango,usa,20240418-1118-25366,0
3,DG,30,54,mango,usa,20240418-1118-25366,0
3,DC,31,0,mango,usa,20240418-1118-25366,0
3,MB,32,7,mango,usa,20240418-1118-25366,0
3,LO,33,59,mango,usa,20240418-1118-25366,0
3,SH,34,3,mango,usa,20240418-1118-25366,0
3,MH,35,54,mango,usa,20240418-1118-25366,0
3,SP,36,26,mango,usa,20240418-1118-25366,0
3,LB,37,20,mango,usa,20240418-1118-25366,0
4,LY,1,54,justice,usa,20240418-1118-25366,0
4,SG,2,54,justice,usa,20240418-1118-25366,0.73
4,SB,3,56,justice,usa,20240418-1118-25366,0
4,LC,4,55,justice,usa,20240418-1118-25366,0
4,SP,5,48,justice,usa,20240418-1118-25366,0.9
4,MY,6,55,justice,usa,20240418-1118-25366,0
4,A1,7,44,justice,usa,20240418-1118-25366,0
4,A3,8,56,justice,usa,20240418-1118-25366,0
4,MR,9,46,justice,usa,20240418-1118-25366,0
4,LH,10,46,justice,usa,20240418-1118-25366,0
4,DB,11,54,justice,usa,20240418-1118-25366,0
4,A2,12,45,justice,usa,20240418-1118-25366,0
4,SY,13,59,justice,usa,20240418-1118-25366,1
4,DY,14,43,justice,usa,20240418-1118-25366,0
4,SR,15,41,justice,usa,20240418-1118-25366,0
4,LG,16,40,justice,usa,20240418-1118-25366,0
4,DG,17,54,justice,usa,20240418-1118-25366,0
4,LB,18,56,justice,usa,20240418-1118-25366,0
4,DO,19,54,justice,usa,20240418-1118-25366,0
4,SO,20,42,justice,usa,20240418-1118-25366,0
4,MB,21,56,justice,usa,20240418-1118-25366,0
4,MH,22,55,justice,usa,20240418-1118-25366,0
4,MP,23,45,justice,usa,20240418-1118-25366,0
4,DC,24,44,justice,usa,20240418-1118-25366,0
4,SH,25,40,justice,usa,20240418-1118-25366,0
4,DR,26,45,justice,usa,20240418-1118-25366,0
4,MO,27,43,justice,usa,20240418-1118-25366,0
4,DH,28,53,justice,usa,20240418-1118-25366,0
4,DP,29,42,justice,usa,20240418-1118-25366,0
4,WH,30,54,justice,usa,20240418-1118-25366,0
4,BK,31,43,justice,usa,20240418-1118-25366,0
4,LR,32,46,justice,usa,20240418-1118-25366,0
4,MG,33,46,justice,usa,20240418-1118-25366,0
4,LP,34,45,justice,usa,20240418-1118-25366,0.4
4,SC,35,43,justice,usa,20240418-1118-25366,0
4,LO,36,42,justice,usa,20240418-1118-25366,0
4,MC,37,42,justice,usa,20240418-1118-25366,0
5,DB,1,1,sad,usa,20240418-1118-25366,0
5,LC,2,28,sad,usa,20240418-1118-25366,0.59
5,SB,3,33,sad,usa,20240418-1118-25366,0
5,DR,4,47,sad,usa,20240418-1118-25366,0
5,DG,5,45,sad,usa,20240418-1118-25366,0
5,MH,6,31,sad,usa,20240418-1118-25366,0
5,SH,7,28,sad,usa,20240418-1118-25366,0
5,SR,8,34,sad,usa,20240418-1118-25366,0
5,DC,9,35,sad,usa,20240418-1118-25366,0
5,MO,10,37,sad,usa,20240418-1118-25366,0
5,SC,11,28,sad,usa,20240418-1118-25366,0
5,LR,12,24,sad,usa,20240418-1118-25366,0
5,MP,13,4,sad,usa,20240418-1118-25366,0.57
5,A1,14,54,sad,usa,20240418-1118-25366,0
5,DH,15,17,sad,usa,20240418-1118-25366,0
5,BK,16,59,sad,usa,20240418-1118-25366,0
5,SP,17,13,sad,usa,20240418-1118-25366,0
5,LB,18,16,sad,usa,20240418-1118-25366,0
5,MR,19,17,sad,usa,20240418-1118-25366,0.75
5,MB,20,16,sad,usa,20240418-1118-25366,1
5,DO,21,16,sad,usa,20240418-1118-25366,0
5,LH,22,21,sad,usa,20240418-1118-25366,0
5,A3,23,16,sad,usa,20240418-1118-25366,0
5,SG,24,13,sad,usa,20240418-1118-25366,0
5,LO,25,9,sad,usa,20240418-1118-25366,0
5,DY,26,13,sad,usa,20240418-1118-25366,0
5,WH,27,8,sad,usa,20240418-1118-25366,0
