trialidx,blockidx,answer,color,concept,ID,idx
1,1,0,"LH","peach","20231211-1125-CON-eldng2ee",1
2,1,1,"LY","peach","20231211-1125-CON-eldng2ee",2
3,1,1,"DY","peach","20231211-1125-CON-eldng2ee",3
4,1,1,"MR","peach","20231211-1125-CON-eldng2ee",4
5,1,0,"SR","peach","20231211-1125-CON-eldng2ee",5
6,1,0,"LB","peach","20231211-1125-CON-eldng2ee",6
7,1,0,"MB","peach","20231211-1125-CON-eldng2ee",7
8,1,0,"A2","peach","20231211-1125-CON-eldng2ee",8
9,1,0,"LG","peach","20231211-1125-CON-eldng2ee",9
10,1,0,"LC","peach","20231211-1125-CON-eldng2ee",10
11,1,1,"MC","peach","20231211-1125-CON-eldng2ee",11
12,1,1,"DR","peach","20231211-1125-CON-eldng2ee",12
13,1,0,"BK","peach","20231211-1125-CON-eldng2ee",13
14,1,0,"DO","peach","20231211-1125-CON-eldng2ee",14
15,1,0,"A3","peach","20231211-1125-CON-eldng2ee",15
16,1,0,"SP","peach","20231211-1125-CON-eldng2ee",16
17,1,0,"A1","peach","20231211-1125-CON-eldng2ee",17
18,1,1,"DG","peach","20231211-1125-CON-eldng2ee",18
19,1,0,"DP","peach","20231211-1125-CON-eldng2ee",19
20,1,0,"DC","peach","20231211-1125-CON-eldng2ee",20
21,1,11,"SO","peach","20231211-1125-CON-eldng2ee",21
22,1,0,"WH","peach","20231211-1125-CON-eldng2ee",22
23,1,4,"MH","peach","20231211-1125-CON-eldng2ee",23
24,1,1,"LR","peach","20231211-1125-CON-eldng2ee",24
25,1,0,"SG","peach","20231211-1125-CON-eldng2ee",25
26,1,0,"DH","peach","20231211-1125-CON-eldng2ee",26
27,1,12,"MY","peach","20231211-1125-CON-eldng2ee",27
28,1,0,"MP","peach","20231211-1125-CON-eldng2ee",28
29,1,0,"MG","peach","20231211-1125-CON-eldng2ee",29
30,1,3,"MO","peach","20231211-1125-CON-eldng2ee",30
31,1,1,"SC","peach","20231211-1125-CON-eldng2ee",31
32,1,1,"LP","peach","20231211-1125-CON-eldng2ee",32
33,1,13,"SH","peach","20231211-1125-CON-eldng2ee",33
34,1,0,"DB","peach","20231211-1125-CON-eldng2ee",34
35,1,11,"SY","peach","20231211-1125-CON-eldng2ee",35
36,1,0,"SB","peach","20231211-1125-CON-eldng2ee",36
37,1,10,"LO","peach","20231211-1125-CON-eldng2ee",37
1,2,0,"DG","lightning","20231211-1125-CON-eldng2ee",38
2,2,0,"LO","lightning","20231211-1125-CON-eldng2ee",39
3,2,23,"LY","lightning","20231211-1125-CON-eldng2ee",40
4,2,0,"LG","lightning","20231211-1125-CON-eldng2ee",41
5,2,0,"LR","lightning","20231211-1125-CON-eldng2ee",42
6,2,0,"DO","lightning","20231211-1125-CON-eldng2ee",43
7,2,0,"LP","lightning","20231211-1125-CON-eldng2ee",44
8,2,15,"SO","lightning","20231211-1125-CON-eldng2ee",45
9,2,12,"SH","lightning","20231211-1125-CON-eldng2ee",46
10,2,0,"MR","lightning","20231211-1125-CON-eldng2ee",47
11,2,13,"A3","lightning","20231211-1125-CON-eldng2ee",48
12,2,0,"DB","lightning","20231211-1125-CON-eldng2ee",49
13,2,0,"DC","lightning","20231211-1125-CON-eldng2ee",50
14,2,0,"MB","lightning","20231211-1125-CON-eldng2ee",51
15,2,0,"DH","lightning","20231211-1125-CON-eldng2ee",52
16,2,0,"SB","lightning","20231211-1125-CON-eldng2ee",53
17,2,0,"DR","lightning","20231211-1125-CON-eldng2ee",54
18,2,9,"MH","lightning","20231211-1125-CON-eldng2ee",55
19,2,70,"WH","lightning","20231211-1125-CON-eldng2ee",56
20,2,0,"BK","lightning","20231211-1125-CON-eldng2ee",57
21,2,0,"MY","lightning","20231211-1125-CON-eldng2ee",58
22,2,7,"SC","lightning","20231211-1125-CON-eldng2ee",59
23,2,1,"A2","lightning","20231211-1125-CON-eldng2ee",60
24,2,0,"SR","lightning","20231211-1125-CON-eldng2ee",61
25,2,3,"LC","lightning","20231211-1125-CON-eldng2ee",62
26,2,39,"LH","lightning","20231211-1125-CON-eldng2ee",63
27,2,0,"MO","lightning","20231211-1125-CON-eldng2ee",64
28,2,7,"LB","lightning","20231211-1125-CON-eldng2ee",65
29,2,0,"MG","lightning","20231211-1125-CON-eldng2ee",66
30,2,0,"SG","lightning","20231211-1125-CON-eldng2ee",67
31,2,1,"SP","lightning","20231211-1125-CON-eldng2ee",68
32,2,0,"A1","lightning","20231211-1125-CON-eldng2ee",69
33,2,2,"MC","lightning","20231211-1125-CON-eldng2ee",70
34,2,1,"DY","lightning","20231211-1125-CON-eldng2ee",71
35,2,71,"SY","lightning","20231211-1125-CON-eldng2ee",72
36,2,12,"MP","lightning","20231211-1125-CON-eldng2ee",73
37,2,3,"DP","lightning","20231211-1125-CON-eldng2ee",74
1,3,1,"LC","sad","20231211-1125-CON-eldng2ee",75
2,3,14,"MY","sad","20231211-1125-CON-eldng2ee",76
3,3,28,"DP","sad","20231211-1125-CON-eldng2ee",77
4,3,0,"LG","sad","20231211-1125-CON-eldng2ee",78
5,3,0,"A2","sad","20231211-1125-CON-eldng2ee",79
6,3,62,"DO","sad","20231211-1125-CON-eldng2ee",80
7,3,65,"DY","sad","20231211-1125-CON-eldng2ee",81
8,3,7,"LB","sad","20231211-1125-CON-eldng2ee",82
9,3,3,"MB","sad","20231211-1125-CON-eldng2ee",83
10,3,54,"DR","sad","20231211-1125-CON-eldng2ee",84
11,3,2,"LH","sad","20231211-1125-CON-eldng2ee",85
12,3,10,"A3","sad","20231211-1125-CON-eldng2ee",86
13,3,58,"A1","sad","20231211-1125-CON-eldng2ee",87
14,3,44,"DB","sad","20231211-1125-CON-eldng2ee",88
15,3,100,"BK","sad","20231211-1125-CON-eldng2ee",89
