progressBlock,color,progressColor,ans,concept,ID
1,"SB",1,5,"Drought","2024124-1929-46311"
1,"LY",2,5,"Drought","2024124-1929-46311"
1,"MB",3,5,"Drought","2024124-1929-46311"
1,"LR",4,56,"Drought","2024124-1929-46311"
1,"A3",5,10,"Drought","2024124-1929-46311"
1,"DP",6,9,"Drought","2024124-1929-46311"
1,"LH",7,8,"Drought","2024124-1929-46311"
1,"DY",8,62,"Drought","2024124-1929-46311"
1,"SP",9,8,"Drought","2024124-1929-46311"
1,"DO",10,55,"Drought","2024124-1929-46311"
1,"LG",11,9,"Drought","2024124-1929-46311"
1,"SC",12,8,"Drought","2024124-1929-46311"
1,"SH",13,9,"Drought","2024124-1929-46311"
1,"DG",14,8,"Drought","2024124-1929-46311"
1,"WH",15,11,"Drought","2024124-1929-46311"
1,"SO",16,55,"Drought","2024124-1929-46311"
1,"SG",17,8,"Drought","2024124-1929-46311"
1,"A2",18,8,"Drought","2024124-1929-46311"
1,"MO",19,66,"Drought","2024124-1929-46311"
1,"SY",20,8,"Drought","2024124-1929-46311"
1,"MR",21,40,"Drought","2024124-1929-46311"
1,"LC",22,8,"Drought","2024124-1929-46311"
1,"LP",23,13,"Drought","2024124-1929-46311"
1,"DH",24,11,"Drought","2024124-1929-46311"
1,"MC",25,9,"Drought","2024124-1929-46311"
1,"LB",26,10,"Drought","2024124-1929-46311"
1,"MP",27,10,"Drought","2024124-1929-46311"
1,"DR",28,9,"Drought","2024124-1929-46311"
1,"BK",29,9,"Drought","2024124-1929-46311"
1,"SR",30,8,"Drought","2024124-1929-46311"
1,"A1",31,9,"Drought","2024124-1929-46311"
1,"DC",32,9,"Drought","2024124-1929-46311"
1,"MG",33,9,"Drought","2024124-1929-46311"
1,"LO",34,56,"Drought","2024124-1929-46311"
1,"DB",35,5,"Drought","2024124-1929-46311"
1,"MY",36,57,"Drought","2024124-1929-46311"
1,"MH",37,5,"Drought","2024124-1929-46311"
2,"BK",1,5,"Love","2024124-1929-46311"
2,"SG",2,8,"Love","2024124-1929-46311"
2,"DO",3,7,"Love","2024124-1929-46311"
2,"MG",4,8,"Love","2024124-1929-46311"
2,"LB",5,20,"Love","2024124-1929-46311"
2,"A1",6,9,"Love","2024124-1929-46311"
2,"DR",7,79,"Love","2024124-1929-46311"
2,"LY",8,25,"Love","2024124-1929-46311"
2,"MR",9,60,"Love","2024124-1929-46311"
2,"MB",10,13,"Love","2024124-1929-46311"
2,"SP",11,26,"Love","2024124-1929-46311"
2,"MY",12,56,"Love","2024124-1929-46311"
2,"MP",13,37,"Love","2024124-1929-46311"
2,"DH",14,54,"Love","2024124-1929-46311"
2,"SC",15,54,"Love","2024124-1929-46311"
2,"DP",16,32,"Love","2024124-1929-46311"
2,"SH",17,54,"Love","2024124-1929-46311"
2,"DY",18,29,"Love","2024124-1929-46311"
2,"WH",19,63,"Love","2024124-1929-46311"
2,"MH",20,35,"Love","2024124-1929-46311"
2,"SY",21,29,"Love","2024124-1929-46311"
2,"DG",22,14,"Love","2024124-1929-46311"
2,"MC",23,32,"Love","2024124-1929-46311"
2,"A3",24,26,"Love","2024124-1929-46311"
2,"SO",25,54,"Love","2024124-1929-46311"
2,"DC",26,13,"Love","2024124-1929-46311"
2,"LC",27,46,"Love","2024124-1929-46311"
2,"LH",28,44,"Love","2024124-1929-46311"
2,"SB",29,36,"Love","2024124-1929-46311"
2,"LP",30,36,"Love","2024124-1929-46311"
2,"DB",31,29,"Love","2024124-1929-46311"
2,"LO",32,35,"Love","2024124-1929-46311"
2,"SR",33,100,"Love","2024124-1929-46311"
2,"A2",34,26,"Love","2024124-1929-46311"
2,"LR",35,69,"Love","2024124-1929-46311"
2,"LG",36,36,"Love","2024124-1929-46311"
2,"MO",37,58,"Love","2024124-1929-46311"
3,"MC",1,58,"Happy","2024124-1929-46311"
3,"LH",2,61,"Happy","2024124-1929-46311"
3,"A3",3,10,"Happy","2024124-1929-46311"
3,"DC",4,9,"Happy","2024124-1929-46311"
3,"LP",5,58,"Happy","2024124-1929-46311"
3,"DY",6,12,"Happy","2024124-1929-46311"
3,"DP",7,11,"Happy","2024124-1929-46311"
