profession,expLang,expName,grayScale,gender,countryResLongest,prolificID,tutoValues,sessionID,languageNative,countryRes,languageOther,languageOther__001,languageOther__002,languageOther__003,colorblind,expCountry,countryResLen,age,progressBlock,progressColor
etudiant,fr,color1,11,homme,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""WH"",""ans"":100,""concept"":""justice""}]",20240312-1051-51517,mlg,mdg,,fra,eng,,Non,mdg3,25,25,14,37
Etudiente,fr,color1,11,femme,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SR"",""ans"":100,""concept"":""heureux""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":100,""concept"":""mort""}]",20240314-1021-54302,mlg,mdg,,fra,,,Non,mdg3,20,20,14,37
etudiant,fr,color1,11,Homme,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""mangue""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":100,""concept"":""pêche""}]",20240314-1023-35756,mlg,mdg,,fra,zho,eng,Je ne sais pas,mdg3,19,19,14,37
back office,fr,color1,11,masculin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""arbre""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banane""}]",20240314-1027-37645,mlg,mdg,,fra,,,Je ne sais pas,mdg3,35,35,14,37
Student ,fr,color1,11,male,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SO"",""ans"":92,""concept"":""justice""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":30,""concept"":""heureux""}]",20240314-1144-33487,mlg,mdg,,fra,,,Je ne sais pas,mdg3,20,20,14,37
ETUDIANTE,fr,color1,11,FEMININ,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":100,""concept"":""mort""}]",20240314-1152-19525,mlg,mdg,,fra,,,Non,mdg3,24,24,14,37
ETUDIANT,fr,color1,11,MASCULIN,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SR"",""ans"":11,""concept"":""sécurité""},{""tryOut"":3,""qualifier"":""most"",""color"":""SO"",""ans"":94,""concept"":""tempête de sable""}]",20240314-1239-41266,mlg,mdg,,fra,,,Non,mdg3,24,24,14,37
Student ,fr,color1,11,male,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""LB"",""ans"":100,""concept"":""malade""},{""tryOut"":3,""qualifier"":""most"",""color"":""DY"",""ans"":100,""concept"":""tempête de sable""}]",20240314-1241-41507,mlg,mdg,,fra,,,Je ne sais pas,mdg3,30,30,14,37
ETUDIENT,fr,color1,11,HOMME,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":100,""concept"":""mort""},{""tryOut"":3,""qualifier"":""most"",""color"":""SP"",""ans"":2,""concept"":""heureux""}]",20240314-1246-10397,mlg,mdg,,fra,,,Je ne sais pas,mdg3,2001,23,14,37
Student ,fr,color1,11,male,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""heureux""},{""tryOut"":3,""qualifier"":""most"",""color"":""DO"",""ans"":100,""concept"":""arbre""}]",20240314-1323-33569,mlg,mdg,,,,,Non,mgd3,21,21,14,37
ETUDIANT,fr,color1,11,FEMME,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""heureux""}]",20240314-1327-51200,mlg,mdg,,fra,,,Non,mdg3,20,20,14,37
Etudiant,fr,color1,11,male,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""SO"",""ans"":100,""concept"":""tempête de sable""}]",20240314-1347-20451,mlg,mdg,,fra,,,Non,mdg3,30,30,14,37
Student ,fr,color1,11,femme,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""peace""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":100,""concept"":""heureux""}]",20240314-1350-5071,mlg,mdg,,eng,fra,,Je ne sais pas,mgd3,17,17,14,37
ETUDIANT,fr,color1,11,MASCULIN,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""MO"",""ans"":8,""concept"":""tempête de sable""},{""tryOut"":3,""qualifier"":""most"",""color"":""LC"",""ans"":98,""concept"":""peace""}]",20240314-1427-36579,mlg,mdg,,fra,,,Non,mdg3,21,21,14,37
Student ,fr,color1,11,femme,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""en colère""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""foudre""}]",20240314-1428-470,mlg,mdg,,fra,,,Je ne sais pas,mgd3,17,18,14,37
ETUDIANT,fr,color1,11,FEMME,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""LH"",""ans"":38,""concept"":""peace""},{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":26,""concept"":""peace""},{""tryOut"":3,""qualifier"":""most"",""color"":""SG"",""ans"":100,""concept"":""arbre""}]",20240314-1443-32540,mlg,mdg,,fra,,,Non,mdg3,21,21,14,37
Etudiant,fr,color1,11,Homme,mdg,,"[{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":100,""concept"":""heureux""},{""tryOut"":4,""qualifier"":""least"",""color"":""BK"",""ans"":100,""concept"":""mort""}]",20240314-145-54773,mlg,mdg,,fra,,,Je ne sais pas,mdg3,25,25,14,37
etudiant,fr,color1,11,male,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""mangue""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":99,""concept"":""banane""}]",20240314-1532-35310,mlg,mdg,,fra,,,Non,mgd3,22,22,14,37
musicien,fr,color1,11,male,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""pêche""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""heureux""}]",20240314-1639-56552,mlg,mdg,,fra,,,Non,mgd3,38,30,14,37
