progressBlock,color,progressColor,ans,concept,ID
1,"SP",1,33,"Heureux","2024127-756-49442"
1,"MH",2,63,"Heureux","2024127-756-49442"
1,"SB",3,85,"Heureux","2024127-756-49442"
1,"BK",4,4,"Heureux","2024127-756-49442"
1,"LR",5,61,"Heureux","2024127-756-49442"
1,"MR",6,56,"Heureux","2024127-756-49442"
1,"DR",7,75,"Heureux","2024127-756-49442"
1,"MP",8,68,"Heureux","2024127-756-49442"
1,"SC",9,100,"Heureux","2024127-756-49442"
1,"LP",10,55,"Heureux","2024127-756-49442"
1,"LO",11,40,"Heureux","2024127-756-49442"
1,"DP",12,29,"Heureux","2024127-756-49442"
1,"DB",13,23,"Heureux","2024127-756-49442"
1,"DO",14,31,"Heureux","2024127-756-49442"
1,"LG",15,69,"Heureux","2024127-756-49442"
1,"A2",16,31,"Heureux","2024127-756-49442"
1,"MC",17,12,"Heureux","2024127-756-49442"
1,"MO",18,89,"Heureux","2024127-756-49442"
1,"LY",19,88,"Heureux","2024127-756-49442"
1,"SY",20,62,"Heureux","2024127-756-49442"
1,"MG",21,39,"Heureux","2024127-756-49442"
1,"A1",22,0,"Heureux","2024127-756-49442"
1,"A3",23,100,"Heureux","2024127-756-49442"
1,"LB",24,31,"Heureux","2024127-756-49442"
1,"MY",25,35,"Heureux","2024127-756-49442"
1,"LC",26,81,"Heureux","2024127-756-49442"
1,"DG",27,30,"Heureux","2024127-756-49442"
1,"SH",28,74,"Heureux","2024127-756-49442"
1,"DC",29,8,"Heureux","2024127-756-49442"
1,"SO",30,58,"Heureux","2024127-756-49442"
1,"WH",31,100,"Heureux","2024127-756-49442"
1,"SR",32,18,"Heureux","2024127-756-49442"
1,"DY",33,16,"Heureux","2024127-756-49442"
1,"MB",34,100,"Heureux","2024127-756-49442"
1,"SG",35,89,"Heureux","2024127-756-49442"
1,"LH",36,0,"Heureux","2024127-756-49442"
1,"DH",37,0,"Heureux","2024127-756-49442"
2,"DH",1,0,"Sécheresse","2024127-756-49442"
2,"DB",2,74,"Sécheresse","2024127-756-49442"
2,"DP",3,0,"Sécheresse","2024127-756-49442"
2,"LC",4,59,"Sécheresse","2024127-756-49442"
2,"LB",5,0,"Sécheresse","2024127-756-49442"
2,"LP",6,0,"Sécheresse","2024127-756-49442"
2,"LR",7,26,"Sécheresse","2024127-756-49442"
2,"LG",8,64,"Sécheresse","2024127-756-49442"
2,"MH",9,0,"Sécheresse","2024127-756-49442"
2,"LH",10,0,"Sécheresse","2024127-756-49442"
2,"SB",11,100,"Sécheresse","2024127-756-49442"
2,"DG",12,11,"Sécheresse","2024127-756-49442"
2,"LY",13,29,"Sécheresse","2024127-756-49442"
2,"MY",14,0,"Sécheresse","2024127-756-49442"
2,"SR",15,75,"Sécheresse","2024127-756-49442"
2,"SC",16,59,"Sécheresse","2024127-756-49442"
2,"A3",17,100,"Sécheresse","2024127-756-49442"
2,"SH",18,0,"Sécheresse","2024127-756-49442"
2,"MP",19,1,"Sécheresse","2024127-756-49442"
2,"A1",20,61,"Sécheresse","2024127-756-49442"
2,"LO",21,17,"Sécheresse","2024127-756-49442"
2,"SY",22,0,"Sécheresse","2024127-756-49442"
2,"MO",23,13,"Sécheresse","2024127-756-49442"
2,"MG",24,56,"Sécheresse","2024127-756-49442"
2,"MC",25,25,"Sécheresse","2024127-756-49442"
2,"DR",26,76,"Sécheresse","2024127-756-49442"
2,"DC",27,30,"Sécheresse","2024127-756-49442"
2,"SO",28,59,"Sécheresse","2024127-756-49442"
2,"MR",29,38,"Sécheresse","2024127-756-49442"
2,"DO",30,79,"Sécheresse","2024127-756-49442"
2,"DY",31,37,"Sécheresse","2024127-756-49442"
2,"A2",32,0,"Sécheresse","2024127-756-49442"
2,"BK",33,0,"Sécheresse","2024127-756-49442"
2,"WH",34,100,"Sécheresse","2024127-756-49442"
2,"MB",35,57,"Sécheresse","2024127-756-49442"
2,"SG",36,0,"Sécheresse","2024127-756-49442"
2,"SP",37,35,"Sécheresse","2024127-756-49442"
3,"DH",1,0,"Amour","2024127-756-49442"
3,"MP",2,64,"Amour","2024127-756-49442"
3,"WH",3,100,"Amour","2024127-756-49442"
3,"DB",4,35,"Amour","2024127-756-49442"
3,"LP",5,73,"Amour","2024127-756-49442"
3,"SO",6,0,"Amour","2024127-756-49442"
3,"SP",7,72,"Amour","2024127-756-49442"
3,"DY",8,12,"Amour","2024127-756-49442"
3,"MY",9,0,"Amour","2024127-756-49442"
3,"SG",10,0,"Amour","2024127-756-49442"
3,"MR",11,59,"Amour","2024127-756-49442"
3,"MH",12,21,"Amour","2024127-756-49442"
3,"DR",13,100,"Amour","2024127-756-49442"
3,"DO",14,0,"Amour","2024127-756-49442"
3,"LC",15,0,"Amour","2024127-756-49442"
3,"LR",16,0,"Amour","2024127-756-49442"
3,"DP",17,34,"Amour","2024127-756-49442"
3,"LO",18,37,"Amour","2024127-756-49442"
3,"A3",19,68,"Amour","2024127-756-49442"
3,"BK",20,22,"Amour","2024127-756-49442"
3,"LG",21,0,"Amour","2024127-756-49442"
3,"SH",22,0,"Amour","2024127-756-49442"
3,"MG",23,19,"Amour","2024127-756-49442"
3,"A1",24,0,"Amour","2024127-756-49442"
3,"MB",25,59,"Amour","2024127-756-49442"
3,"SB",26,68,"Amour","2024127-756-49442"
3,"SR",27,100,"Amour","2024127-756-49442"
3,"SC",28,0,"Amour","2024127-756-49442"
3,"MC",29,0,"Amour","2024127-756-49442"
3,"MO",30,0,"Amour","2024127-756-49442"
3,"DC",31,0,"Amour","2024127-756-49442"
3,"SY",32,0,"Amour","2024127-756-49442"
