profession,expLang,expName,grayScale,gender,countryResLongest,prolificID,tutoValues,sessionID,languageNative,countryRes,languageOther1,colorblind,expCountry,countryResLen,age,progressBlock,progressColor
Customer Service,en,color1,11,non-binary,usa,59a3d5439b845f0001ec1f25,"[{""tryOut"":2,""qualifier"":""least"",""color"":""A1"",""ans"":0,""concept"":""Happy""},{""tryOut"":2,""qualifier"":""least"",""color"":""MB"",""ans"":0,""concept"":""Happy""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""Lightning""},{""tryOut"":4,""qualifier"":""least"",""color"":""MC"",""ans"":0,""concept"":""Mango""}]",2024127-1245-26929,eng,usa,,No,usa1,30,30,16,37
Recruiter,en,color1,11,female,usa,61036bbd791964fafe65236a,"[{""tryOut"":2,""qualifier"":""least"",""color"":""DB"",""ans"":100,""concept"":""Sad""},{""tryOut"":2,""qualifier"":""least"",""color"":""SY"",""ans"":0,""concept"":""Sad""},{""tryOut"":2,""qualifier"":""least"",""color"":""SY"",""ans"":0,""concept"":""Sad""},{""tryOut"":2,""qualifier"":""least"",""color"":""LY"",""ans"":0,""concept"":""Sad""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""Banana""}]",2024127-1245-7801,eng,usa,eng,No,usa1,22,22,16,37
Photographer,en,color1,11,male,usa,632f7bec7eb646908138c15c,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":82,""concept"":""Lightning""},{""tryOut"":3,""qualifier"":""most"",""color"":""A1"",""ans"":88,""concept"":""Hurricane""},{""tryOut"":4,""qualifier"":""least"",""color"":""MO"",""ans"":72,""concept"":""Sandstorm""},{""tryOut"":5,""qualifier"":""most"",""color"":""SY"",""ans"":84,""concept"":""Mango""},{""tryOut"":6,""qualifier"":""least"",""color"":""A2"",""ans"":92,""concept"":""Sad""},{""tryOut"":6,""qualifier"":""least"",""color"":""SO"",""ans"":71,""concept"":""Sad""},{""tryOut"":7,""qualifier"":""most"",""color"":""SY"",""ans"":93,""concept"":""Safety""},{""tryOut"":8,""qualifier"":""least"",""color"":""SR"",""ans"":98,""concept"":""Love""},{""tryOut"":8,""qualifier"":""least"",""color"":""BK"",""ans"":100,""concept"":""Love""}]",2024127-1250-7198,eng,usa,,No,usa1,44,44,16,37
Medical Assistant ,en,color1,11,female,usa,60fdef62c67aaae4bf110ed5,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""Mango""},{""tryOut"":2,""qualifier"":""least"",""color"":""DP"",""ans"":0,""concept"":""Mango""},{""tryOut"":3,""qualifier"":""most"",""color"":""SB"",""ans"":100,""concept"":""Sad""}]",2024127-1343-18748,eng,usa,,No,usa1,29,29,16,37
graduate assistant,en,color1,11,female,usa,61006b0f1f3bfddb6b4c5d55,"[{""tryOut"":2,""qualifier"":""least"",""color"":""A1"",""ans"":0,""concept"":""Mango""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""Happy""}]",2024127-1343-2378,eng,usa,eng,No,usa1,32,32,16,37
Unemployed ,en,color1,11,female,usa,611426ee0ba8afe2dd686c6e,"[{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":78,""concept"":""Banana""}]",202428-1134-59748,eng,usa,,I don't know,usa2,24,24,16,37
Bookkeeper,en,color1,11,female,usa,60fd16fa5143ab9c95b7b861,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SB"",""ans"":0,""concept"":""Spices""},{""tryOut"":2,""qualifier"":""least"",""color"":""SB"",""ans"":100,""concept"":""Spices""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""Banana""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""Banana""},{""tryOut"":4,""qualifier"":""least"",""color"":""SH"",""ans"":0,""concept"":""Angry""}]",202428-1135-2657,eng,usa,,No,usa2,21,21,16,37
Marketing Coordinator,en,color1,11,female,usa,652d603ca584c101cee4ca84,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SP"",""ans"":9,""concept"":""Tree""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":100,""concept"":""Death""}]",202428-1136-0404,eng,usa,,No,usa2,22,22,1,37
Chiropractic assistant,en,color1,11,female,usa,60fce82dcee3e00efd24aa4c,"[{""tryOut"":2,""qualifier"":""least"",""color"":""LP"",""ans"":0,""concept"":""Angry""},{""tryOut"":3,""qualifier"":""most"",""color"":""A2"",""ans"":86,""concept"":""Sick""}]",202428-1235-9360,eng,usa,,No,usa2,31,31,5,3
retired,en,color1,11,female,usa,5b566435d8348500012d2d65,"[{""tryOut"":2,""qualifier"":""least"",""color"":""A3"",""ans"":95,""concept"":""Peace""},{""tryOut"":3,""qualifier"":""most"",""color"":""SO"",""ans"":92,""concept"":""Drought""},{""tryOut"":4,""qualifier"":""least"",""color"":""SR"",""ans"":100,""concept"":""Angry""}]",202428-1249-19810,eng,usa,,No,usa2,71,71,16,37
homemaker,en,color1,11,female,usa,61464fe94ab78bd0f17d0dc0,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SB"",""ans"":1,""concept"":""Drought""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":99,""concept"":""Love""}]",202428-1338-8147,eng,usa,,No,usa2,31,31,16,37
Homemaker,en,color1,11,female,usa,6519b6951e9a19f4b3d6f545,"[{""tryOut"":2,""qualifier"":""least"",""color"":""LP"",""ans"":1,""concept"":""Sick""},{""tryOut"":3,""qualifier"":""most"",""color"":""SG"",""ans"":99,""concept"":""Healthy""},{""tryOut"":4,""qualifier"":""least"",""color"":""BK"",""ans"":91,""concept"":""Death""},{""tryOut"":4,""qualifier"":""least"",""color"":""LG"",""ans"":0,""concept"":""Death""},{""tryOut"":5,""qualifier"":""most"",""color"":""DB"",""ans"":100,""concept"":""Sad""},{""tryOut"":6,""qualifier"":""least"",""color"":""MP"",""ans"":1,""concept"":""Angry""},{""tryOut"":7,""qualifier"":""most"",""color"":""SG"",""ans"":100,""concept"":""Tree""},{""tryOut"":8,""qualifier"":""least"",""color"":""A1"",""ans"":0,""concept"":""Banana""},{""tryOut"":9,""qualifier"":""most"",""color"":""LB"",""ans"":100,""concept"":""Peace""},{""tryOut"":10,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""Mango""},{""tryOut"":11,""qualifier"":""most"",""color"":""SG"",""ans"":100,""concept"":""Life""},{""tryOut"":12,""qualifier"":""least"",""color"":""SG"",""ans"":0,""concept"":""Drought""},{""tryOut"":13,""qualifier"":""most"",""color"":""LO"",""ans"":100,""concept"":""Peach""},{""tryOut"":14,""qualifier"":""least"",""color"":""A1"",""ans"":0,""concept"":""Justice""},{""tryOut"":15,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""Happy""},{""tryOut"":16,""qualifier"":""least"",""color"":""DY"",""ans"":0,""concept"":""Spices""},{""tryOut"":17,""qualifier"":""most"",""color"":""SR"",""ans"":100,""concept"":""Love""}]",202428-1342-48702,eng,usa,,No,usa2,31,31,16,37
