progressBlock,color,progressColor,ans,concept,expCountry,ID
1,"LB",1,24,"death","usa3","20240419-1635-27396"
1,"WH",2,77,"death","usa3","20240419-1635-27396"
1,"DR",3,62,"death","usa3","20240419-1635-27396"
1,"DY",4,21,"death","usa3","20240419-1635-27396"
1,"SY",5,12,"death","usa3","20240419-1635-27396"
1,"MP",6,54,"death","usa3","20240419-1635-27396"
1,"MO",7,38,"death","usa3","20240419-1635-27396"
1,"MH",8,33,"death","usa3","20240419-1635-27396"
1,"SG",9,23,"death","usa3","20240419-1635-27396"
1,"DB",10,40,"death","usa3","20240419-1635-27396"
1,"MG",11,30,"death","usa3","20240419-1635-27396"
1,"A1",12,70,"death","usa3","20240419-1635-27396"
1,"SP",13,15,"death","usa3","20240419-1635-27396"
1,"DC",14,29,"death","usa3","20240419-1635-27396"
1,"MB",15,34,"death","usa3","20240419-1635-27396"
1,"LC",16,23,"death","usa3","20240419-1635-27396"
1,"DG",17,24,"death","usa3","20240419-1635-27396"
1,"LH",18,27,"death","usa3","20240419-1635-27396"
1,"SH",19,22,"death","usa3","20240419-1635-27396"
1,"SB",20,20,"death","usa3","20240419-1635-27396"
1,"LY",21,25,"death","usa3","20240419-1635-27396"
1,"DO",22,52,"death","usa3","20240419-1635-27396"
1,"SC",23,36,"death","usa3","20240419-1635-27396"
1,"BK",24,100,"death","usa3","20240419-1635-27396"
1,"MR",25,40,"death","usa3","20240419-1635-27396"
1,"SR",26,65,"death","usa3","20240419-1635-27396"
1,"A2",27,63,"death","usa3","20240419-1635-27396"
1,"LG",28,37,"death","usa3","20240419-1635-27396"
1,"LR",29,37,"death","usa3","20240419-1635-27396"
1,"MC",30,36,"death","usa3","20240419-1635-27396"
1,"MY",31,35,"death","usa3","20240419-1635-27396"
1,"SO",32,26,"death","usa3","20240419-1635-27396"
1,"DP",33,59,"death","usa3","20240419-1635-27396"
1,"LO",34,34,"death","usa3","20240419-1635-27396"
1,"A3",35,55,"death","usa3","20240419-1635-27396"
1,"LP",36,52,"death","usa3","20240419-1635-27396"
1,"DH",37,24,"death","usa3","20240419-1635-27396"
2,"DR",1,100,"angry","usa3","20240419-1635-27396"
2,"MR",2,43,"angry","usa3","20240419-1635-27396"
2,"LP",3,12,"angry","usa3","20240419-1635-27396"
2,"DY",4,26,"angry","usa3","20240419-1635-27396"
2,"SR",5,100,"angry","usa3","20240419-1635-27396"
2,"MY",6,19,"angry","usa3","20240419-1635-27396"
2,"SG",7,19,"angry","usa3","20240419-1635-27396"
2,"DG",8,0,"angry","usa3","20240419-1635-27396"
2,"MC",9,0,"angry","usa3","20240419-1635-27396"
