profession,expLang,expName,grayScale,gender,countryResLongest,prolificID,tutoValues,sessionID,languageNative,countryRes,languageOther1,languageOther2,colorblind,expCountry,countryResLen,age,progressBlock,progressColor
Hospitality,en,color1,11,female,usa,65032d1ac8801905f2293c78,"[{""tryOut"":2,""qualifier"":""least"",""color"":""A1"",""ans"":0,""concept"":""happy""},{""tryOut"":4,""qualifier"":""least"",""color"":""SY"",""ans"":1,""concept"":""banana""},{""tryOut"":6,""qualifier"":""least"",""color"":""SY"",""ans"":0,""concept"":""sad""}]",20240418-1639-26223,eng,usa,,,No,usa3,22,22,14,37
door refinisher/ SB owner,en,color1,11,male,usa,6619cc7731672fbceb9f3dcd,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SP"",""ans"":0,""concept"":""lightning""},{""tryOut"":3,""qualifier"":""most"",""color"":""LO"",""ans"":100,""concept"":""peach""}]",20240418-1649-31727,eng,usa,rus,,No,usa3,36,36,14,37
Student,en,color1,11,female,usa,613aae01418631a348412546,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SR"",""ans"":0,""concept"":""peace""},{""tryOut"":3,""qualifier"":""most"",""color"":""DG"",""ans"":100,""concept"":""tree""}]",20240418-1751-45340,eng,usa,spa,,No,usa3,21,21,14,37
Self-Employed,en,color1,11,male,usa,5e69794aad1e74220f93329a,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SB"",""ans"":0,""concept"":""angry""},{""tryOut"":2,""qualifier"":""least"",""color"":""SB"",""ans"":0,""concept"":""angry""},{""tryOut"":3,""qualifier"":""most"",""color"":""LR"",""ans"":100,""concept"":""peach""},{""tryOut"":4,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""death""}]",20240418-1855-7542,eng,usa,,,No,usa3,49,49,14,37
eLearning Instructional Designer,en,color1,11,female,usa,66042adf25015459d5c00343,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SG"",""ans"":100,""concept"":""safety""},{""tryOut"":3,""qualifier"":""most"",""color"":""DR"",""ans"":100,""concept"":""angry""},{""tryOut"":4,""qualifier"":""least"",""color"":""SY"",""ans"":1,""concept"":""sick""},{""tryOut"":5,""qualifier"":""most"",""color"":""MO"",""ans"":100,""concept"":""sandstorm""}]",20240418-1943-16230,eng,usa,eng,,No,usa3,50,52,14,37
managerial secretariat,en,color1,11,male,usa,5b6bf0237f92050001a51d89,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""peach""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banana""}]",20240418-1946-32540,eng,usa,,,I don't know,usa3,35,35,14,37
Disabled,en,color1,11,female,usa,6618b5800be90e3b4abbc70d,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""peach""},{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""peach""},{""tryOut"":3,""qualifier"":""most"",""color"":""SB"",""ans"":100,""concept"":""lightning""}]",20240418-207-46818,eng,usa,,,No,usa3,54,54,14,37
Pollster,en,color1,11,female,usa,586372cae16d530001b345b8,"[{""tryOut"":2,""qualifier"":""least"",""color"":""DO"",""ans"":100,""concept"":""sandstorm""},{""tryOut"":3,""qualifier"":""most"",""color"":""A3"",""ans"":2,""concept"":""peace""},{""tryOut"":3,""qualifier"":""most"",""color"":""WH"",""ans"":100,""concept"":""peace""}]",20240419-1135-8384,eng,usa,eng,,No,usa3,67,67,14,37
Field Service,en,color1,11,m,usa,65aeb35d7f4e3c2fd1959989,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SR"",""ans"":0,""concept"":""lightning""},{""tryOut"":3,""qualifier"":""most"",""color"":""DG"",""ans"":100,""concept"":""tree""}]",20240419-1141-16629,eng,usa,,,No,usa3,54,54,14,37
Office Administrator,en,color1,11,female,usa,63cfff59a184313f875f6a06,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""peace""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""happy""},{""tryOut"":4,""qualifier"":""least"",""color"":""SG"",""ans"":0,""concept"":""death""}]",20240419-1210-13767,eng,usa,,,No,usa3,26,26,14,37
Data analyst/tester,en,color1,11,male,usa,5f6f44e9451a3b0836b5d32c,"[{""tryOut"":2,""qualifier"":""least"",""color"":""LR"",""ans"":0,""concept"":""lightning""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banana""},{""tryOut"":4,""qualifier"":""least"",""color"":""BK"",""ans"":2,""concept"":""tree""}]",20240419-1213-27581,eng,usa,,,No,usa3,48,48,14,37
Student,en,color1,11,female,usa,65dc2498d0f1a4b184ad9c12,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""peach""},{""tryOut"":5,""qualifier"":""most"",""color"":""SP"",""ans"":100,""concept"":""mango""}]",20240419-123-98,eng,usa,,,No,usa3,24,24,14,37
