progressBlock,color,progressColor,ans,concept,expCountry,ID
1,"LP",1,90,"tree","mdg3","20240311-1843-46583"
1,"LR",1,61,"mangue","","20240314-1147-26193"
1,"SB",2,0,"mangue","","20240314-1147-26193"
1,"MG",3,65,"mangue","","20240314-1147-26193"
1,"MY",4,18,"mangue","","20240314-1147-26193"
1,"SH",5,46,"mangue","","20240314-1147-26193"
1,"MH",6,58,"mangue","","20240314-1147-26193"
1,"MR",7,83,"mangue","","20240314-1147-26193"
1,"DO",8,16,"mangue","","20240314-1147-26193"
1,"MB",9,13,"mangue","","20240314-1147-26193"
1,"SY",10,66,"mangue","","20240314-1147-26193"
1,"SO",11,54,"mangue","","20240314-1147-26193"
1,"MO",12,24,"mangue","","20240314-1147-26193"
1,"SP",13,0,"mangue","","20240314-1147-26193"
1,"DC",14,0,"mangue","","20240314-1147-26193"
1,"LY",15,33,"mangue","","20240314-1147-26193"
1,"MC",16,22,"mangue","","20240314-1147-26193"
1,"A2",17,0,"mangue","","20240314-1147-26193"
1,"LB",18,0,"mangue","","20240314-1147-26193"
1,"SG",19,62,"mangue","","20240314-1147-26193"
1,"SR",20,66,"mangue","","20240314-1147-26193"
1,"DG",21,66,"mangue","","20240314-1147-26193"
1,"LP",22,32,"mangue","","20240314-1147-26193"
1,"MP",23,67,"mangue","","20240314-1147-26193"
1,"LH",24,59,"mangue","","20240314-1147-26193"
1,"DH",25,58,"mangue","","20240314-1147-26193"
1,"DP",26,32,"mangue","","20240314-1147-26193"
1,"A1",27,0,"mangue","","20240314-1147-26193"
1,"WH",28,0,"mangue","","20240314-1147-26193"
1,"DR",29,63,"mangue","","20240314-1147-26193"
1,"LC",30,28,"mangue","","20240314-1147-26193"
1,"LO",31,57,"mangue","","20240314-1147-26193"
1,"SC",32,7,"mangue","","20240314-1147-26193"
1,"BK",33,66,"mangue","","20240314-1147-26193"
1,"A3",34,0,"mangue","","20240314-1147-26193"
1,"DB",35,0,"mangue","","20240314-1147-26193"
1,"LG",36,75,"mangue","","20240314-1147-26193"
1,"DY",37,64,"mangue","","20240314-1147-26193"
2,"LB",1,70,"heureux","","20240314-1147-26193"
2,"DR",2,31,"heureux","","20240314-1147-26193"
2,"SB",3,79,"heureux","","20240314-1147-26193"
2,"DY",4,13,"heureux","","20240314-1147-26193"
2,"LO",5,63,"heureux","","20240314-1147-26193"
2,"LH",6,71,"heureux","","20240314-1147-26193"
2,"DB",7,8,"heureux","","20240314-1147-26193"
2,"SP",8,13,"heureux","","20240314-1147-26193"
2,"DC",9,13,"heureux","","20240314-1147-26193"
2,"MC",10,6,"heureux","","20240314-1147-26193"
2,"DG",11,15,"heureux","","20240314-1147-26193"
2,"SG",12,92,"heureux","","20240314-1147-26193"
2,"MY",13,77,"heureux","","20240314-1147-26193"
2,"BK",14,9,"heureux","","20240314-1147-26193"
2,"SC",15,83,"heureux","","20240314-1147-26193"
2,"A3",16,89,"heureux","","20240314-1147-26193"
2,"SR",17,78,"heureux","","20240314-1147-26193"
2,"SO",18,11,"heureux","","20240314-1147-26193"
2,"SH",19,69,"heureux","","20240314-1147-26193"
2,"MO",20,13,"heureux","","20240314-1147-26193"
2,"DP",21,5,"heureux","","20240314-1147-26193"
2,"SY",22,74,"heureux","","20240314-1147-26193"
2,"MB",23,74,"heureux","","20240314-1147-26193"
2,"A1",24,0,"heureux","","20240314-1147-26193"
2,"MH",25,50,"heureux","","20240314-1147-26193"
2,"LY",26,75,"heureux","","20240314-1147-26193"
2,"LC",27,69,"heureux","","20240314-1147-26193"
2,"DO",28,50,"heureux","","20240314-1147-26193"
2,"MG",29,50,"heureux","","20240314-1147-26193"
2,"A2",30,0,"heureux","","20240314-1147-26193"
2,"LG",31,87,"heureux","","20240314-1147-26193"
2,"WH",32,65,"heureux","","20240314-1147-26193"
2,"LR",33,72,"heureux","","20240314-1147-26193"
2,"LP",34,26,"heureux","","20240314-1147-26193"
2,"MR",35,3,"heureux","","20240314-1147-26193"
2,"MP",36,0,"heureux","","20240314-1147-26193"
2,"DH",37,11,"heureux","","20240314-1147-26193"
3,"WH",1,50,"malade","","20240314-1147-26193"
3,"DC",2,61,"malade","","20240314-1147-26193"
3,"MP",3,58,"malade","","20240314-1147-26193"
3,"SG",4,64,"malade","","20240314-1147-26193"
3,"SH",5,61,"malade","","20240314-1147-26193"
3,"LB",6,50,"malade","","20240314-1147-26193"
3,"DO",7,50,"malade","","20240314-1147-26193"
3,"MB",8,69,"malade","","20240314-1147-26193"
3,"MO",9,78,"malade","","20240314-1147-26193"
3,"BK",10,0,"malade","","20240314-1147-26193"
3,"MH",11,9,"malade","","20240314-1147-26193"
3,"SO",12,19,"malade","","20240314-1147-26193"
3,"MC",13,12,"malade","","20240314-1147-26193"
3,"A1",14,0,"malade","","20240314-1147-26193"
3,"SR",15,0,"malade","","20240314-1147-26193"
3,"A3",16,30,"malade","","20240314-1147-26193"
3,"LC",17,11,"malade","","20240314-1147-26193"
3,"DY",18,18,"malade","","20240314-1147-26193"
3,"LY",19,21,"malade","","20240314-1147-26193"
3,"MR",20,13,"malade","","20240314-1147-26193"
3,"SB",21,34,"malade","","20240314-1147-26193"
3,"SC",22,45,"malade","","20240314-1147-26193"
3,"SY",23,44,"malade","","20240314-1147-26193"
3,"DP",24,0,"malade","","20240314-1147-26193"
3,"LG",25,17,"malade","","20240314-1147-26193"
3,"MG",26,77,"malade","","20240314-1147-26193"
3,"LO",27,81,"malade","","20240314-1147-26193"
3,"LR",28,32,"malade","","20240314-1147-26193"
3,"SP",29,20,"malade","","20240314-1147-26193"
3,"LH",30,30,"malade","","20240314-1147-26193"
3,"DG",31,30,"malade","","20240314-1147-26193"
3,"DH",32,70,"malade","","20240314-1147-26193"
3,"A2",33,70,"malade","","20240314-1147-26193"
3,"DB",34,30,"malade","","20240314-1147-26193"
3,"LP",35,80,"malade","","20240314-1147-26193"
3,"DR",36,20,"malade","","20240314-1147-26193"
3,"MY",37,30,"malade","","20240314-1147-26193"
4,"LO",1,20,"foudre","","20240314-1147-26193"
4,"DG",2,20,"foudre","","20240314-1147-26193"
4,"LH",3,20,"foudre","","20240314-1147-26193"
4,"DR",4,30,"foudre","","20240314-1147-26193"
4,"LP",5,20,"foudre","","20240314-1147-26193"
4,"MY",6,30,"foudre","","20240314-1147-26193"
4,"LY",7,20,"foudre","","20240314-1147-26193"
4,"LG",8,30,"foudre","","20240314-1147-26193"
4,"A1",9,30,"foudre","","20240314-1147-26193"
4,"SB",10,30,"foudre","","20240314-1147-26193"
4,"SH",11,30,"foudre","","20240314-1147-26193"
4,"SR",12,20,"foudre","","20240314-1147-26193"
4,"WH",13,100,"foudre","","20240314-1147-26193"
4,"A2",14,10,"foudre","","20240314-1147-26193"
4,"MO",15,30,"foudre","","20240314-1147-26193"
4,"SP",16,20,"foudre","","20240314-1147-26193"
4,"SG",17,20,"foudre","","20240314-1147-26193"
4,"DB",18,10,"foudre","","20240314-1147-26193"
4,"DC",19,30,"foudre","","20240314-1147-26193"
4,"MC",20,30,"foudre","","20240314-1147-26193"
4,"DY",21,20,"foudre","","20240314-1147-26193"
4,"MP",22,30,"foudre","","20240314-1147-26193"
4,"MG",23,20,"foudre","","20240314-1147-26193"
4,"DH",24,20,"foudre","","20240314-1147-26193"
4,"DO",25,30,"foudre","","20240314-1147-26193"
4,"MB",26,30,"foudre","","20240314-1147-26193"
4,"LC",27,30,"foudre","","20240314-1147-26193"
4,"LB",28,70,"foudre","","20240314-1147-26193"
4,"LR",29,60,"foudre","","20240314-1147-26193"
4,"MH",30,80,"foudre","","20240314-1147-26193"
4,"MR",31,70,"foudre","","20240314-1147-26193"
4,"DP",32,80,"foudre","","20240314-1147-26193"
4,"SC",33,80,"foudre","","20240314-1147-26193"
