progressBlock,color,progressColor,ans,concept,expCountry,ID
1,SO,1,82,angry,usa3,20240418-1013-25634
1,MO,2,10,angry,usa3,20240418-1013-25634
1,A3,3,0,angry,usa3,20240418-1013-25634
1,LY,4,59,angry,usa3,20240418-1013-25634
1,DP,5,0,angry,usa3,20240418-1013-25634
1,SC,6,0,angry,usa3,20240418-1013-25634
1,MB,7,0,angry,usa3,20240418-1013-25634
1,LH,8,5,angry,usa3,20240418-1013-25634
1,DY,9,62,angry,usa3,20240418-1013-25634
1,DC,10,0,angry,usa3,20240418-1013-25634
1,A1,11,0,angry,usa3,20240418-1013-25634
1,MC,12,0,angry,usa3,20240418-1013-25634
1,LB,13,0,angry,usa3,20240418-1013-25634
1,DH,14,4,angry,usa3,20240418-1013-25634
1,LR,15,40,angry,usa3,20240418-1013-25634
1,DB,16,0,angry,usa3,20240418-1013-25634
1,DO,17,16,angry,usa3,20240418-1013-25634
1,SH,18,0,angry,usa3,20240418-1013-25634
1,MG,19,0,angry,usa3,20240418-1013-25634
1,DG,20,6,angry,usa3,20240418-1013-25634
1,SP,21,0,angry,usa3,20240418-1013-25634
1,A2,22,0,angry,usa3,20240418-1013-25634
1,LC,23,0,angry,usa3,20240418-1013-25634
1,LP,24,0,angry,usa3,20240418-1013-25634
1,WH,25,11,angry,usa3,20240418-1013-25634
1,MY,26,11,angry,usa3,20240418-1013-25634
1,SY,27,77,angry,usa3,20240418-1013-25634
1,LG,28,0,angry,usa3,20240418-1013-25634
1,DR,29,100,angry,usa3,20240418-1013-25634
1,SG,30,0,angry,usa3,20240418-1013-25634
1,MP,31,0,angry,usa3,20240418-1013-25634
1,SB,32,0,angry,usa3,20240418-1013-25634
1,BK,33,89,angry,usa3,20240418-1013-25634
1,MH,34,0,angry,usa3,20240418-1013-25634
1,SR,35,100,angry,usa3,20240418-1013-25634
1,LO,36,0,angry,usa3,20240418-1013-25634
1,MR,37,92,angry,usa3,20240418-1013-25634
2,DC,1,93,safety,usa3,20240418-1013-25634
2,MR,2,5,safety,usa3,20240418-1013-25634
2,BK,3,66,safety,usa3,20240418-1013-25634
2,SC,4,85,safety,usa3,20240418-1013-25634
2,A3,5,92,safety,usa3,20240418-1013-25634
2,DG,6,100,safety,usa3,20240418-1013-25634
2,LP,7,69,safety,usa3,20240418-1013-25634
2,LO,8,55,safety,usa3,20240418-1013-25634
2,MP,9,50,safety,usa3,20240418-1013-25634
2,WH,10,100,safety,usa3,20240418-1013-25634
2,SR,11,38,safety,usa3,20240418-1013-25634
2,DP,12,50,safety,usa3,20240418-1013-25634
2,LH,13,91,safety,usa3,20240418-1013-25634
2,LY,14,80,safety,usa3,20240418-1013-25634
2,SO,15,31,safety,usa3,20240418-1013-25634
2,SG,16,100,safety,usa3,20240418-1013-25634
2,LG,17,90,safety,usa3,20240418-1013-25634
2,MB,18,67,safety,usa3,20240418-1013-25634
2,DB,19,54,safety,usa3,20240418-1013-25634
2,SY,20,58,safety,usa3,20240418-1013-25634
2,LB,21,74,safety,usa3,20240418-1013-25634
2,SP,22,43,safety,usa3,20240418-1013-25634
2,LR,23,69,safety,usa3,20240418-1013-25634
2,DY,24,0,safety,usa3,20240418-1013-25634
2,A2,25,65,safety,usa3,20240418-1013-25634
2,DH,26,93,safety,usa3,20240418-1013-25634
2,MC,27,74,safety,usa3,20240418-1013-25634
2,A1,28,29,safety,usa3,20240418-1013-25634
2,DO,29,11,safety,usa3,20240418-1013-25634
2,MG,30,72,safety,usa3,20240418-1013-25634
2,SH,31,57,safety,usa3,20240418-1013-25634
