profession,expLang,expName,grayScale,gender,countryResLongest,prolificID,tutoValues,sessionID,languageNative,countryRes,languageOther,languageOther__001,languageOther__002,languageOther__003,colorblind,expCountry,countryResLen,age,progressBlock,progressColor
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""WH"",""ans"":100,""concept"":""justice""}]",20240312-1051-51517,mlg,mdg,NA,fra,eng,,Non,mdg3,25,25,14,37
student,fr,color1,11,female,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SR"",""ans"":100,""concept"":""heureux""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":100,""concept"":""mort""}]",20240314-1021-54302,mlg,mdg,NA,fra,,,Non,mdg3,20,20,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""mangue""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":100,""concept"":""pêche""}]",20240314-1023-35756,mlg,mdg,NA,fra,zho,eng,Je ne sais pas,mdg3,19,19,14,37
back office,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""arbre""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banane""}]",20240314-1027-37645,mlg,mdg,NA,fra,,,Je ne sais pas,mdg3,35,35,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SO"",""ans"":92,""concept"":""justice""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":30,""concept"":""heureux""}]",20240314-1144-33487,mlg,mdg,NA,fra,,,Je ne sais pas,mdg3,20,20,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":100,""concept"":""mort""}]",20240314-1152-19525,mlg,mdg,NA,fra,,,Non,mdg3,24,24,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SR"",""ans"":11,""concept"":""sécurité""},{""tryOut"":3,""qualifier"":""most"",""color"":""SO"",""ans"":94,""concept"":""tempête de sable""}]",20240314-1239-41266,mlg,mdg,NA,fra,,,Non,mdg3,24,24,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""LB"",""ans"":100,""concept"":""malade""},{""tryOut"":3,""qualifier"":""most"",""color"":""DY"",""ans"":100,""concept"":""tempête de sable""}]",20240314-1241-41507,mlg,mdg,NA,fra,,,Je ne sais pas,mdg3,30,30,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":100,""concept"":""mort""},{""tryOut"":3,""qualifier"":""most"",""color"":""SP"",""ans"":2,""concept"":""heureux""}]",20240314-1246-10397,mlg,mdg,NA,fra,,,Je ne sais pas,mdg3,2001,23,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""heureux""},{""tryOut"":3,""qualifier"":""most"",""color"":""DO"",""ans"":100,""concept"":""arbre""}]",20240314-1323-33569,mlg,mdg,NA,,,,Non,mdg3,21,21,14,37
student,fr,color1,11,female,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""heureux""}]",20240314-1327-51200,mlg,mdg,NA,fra,,,Non,mdg3,20,20,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""SO"",""ans"":100,""concept"":""tempête de sable""}]",20240314-1347-20451,mlg,mdg,NA,fra,,,Non,mdg3,30,30,14,37
student,fr,color1,11,female,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""peace""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":100,""concept"":""heureux""}]",20240314-1350-5071,mlg,mdg,NA,eng,fra,,Je ne sais pas,mdg3,17,17,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""MO"",""ans"":8,""concept"":""tempête de sable""},{""tryOut"":3,""qualifier"":""most"",""color"":""LC"",""ans"":98,""concept"":""peace""}]",20240314-1427-36579,mlg,mdg,NA,fra,,,Non,mdg3,21,21,14,37
student,fr,color1,11,female,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""en colère""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""foudre""}]",20240314-1428-470,mlg,mdg,NA,fra,,,Je ne sais pas,mdg3,17,18,14,37
student,fr,color1,11,female,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""LH"",""ans"":38,""concept"":""peace""},{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":26,""concept"":""peace""},{""tryOut"":3,""qualifier"":""most"",""color"":""SG"",""ans"":100,""concept"":""arbre""}]",20240314-1443-32540,mlg,mdg,NA,fra,,,Non,mdg3,21,21,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":100,""concept"":""heureux""},{""tryOut"":4,""qualifier"":""least"",""color"":""BK"",""ans"":100,""concept"":""mort""}]",20240314-145-54773,mlg,mdg,NA,fra,,,Je ne sais pas,mdg3,25,25,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""mangue""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":99,""concept"":""banane""}]",20240314-1532-35310,mlg,mdg,NA,fra,,,Non,mdg3,22,22,14,37
musicien,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""pêche""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""heureux""}]",20240314-1639-56552,mlg,mdg,NA,fra,,,Non,mdg3,38,30,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""A3"",""ans"":0,""concept"":""foudre""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banane""}]",20240314-1738-46833,mlg,mdg,NA,fra,,,Non,mdg3,20,20,7,36
student,fr,color1,11,female,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SB"",""ans"":0,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""SG"",""ans"":100,""concept"":""mangue""}]",20240314-749-15499,mlg,mdg,NA,fra,,,Non,mdg3,22,22,14,37
student,fr,color1,11,female,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""arbre""},{""tryOut"":2,""qualifier"":""least"",""color"":""SB"",""ans"":0,""concept"":""arbre""},{""tryOut"":2,""qualifier"":""least"",""color"":""SR"",""ans"":100,""concept"":""arbre""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":100,""concept"":""en colère""}]",20240316-1044-12316,mlg,mdg,NA,fra,,,Non,mdg3,23,23,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""DP"",""ans"":0,""concept"":""arbre""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banane""}]",20240316-1136-0991,mlg,mdg,NA,eng,fra,,Non,mdg3,24,24,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":3,""qualifier"":""most"",""color"":""SG"",""ans"":100,""concept"":""arbre""},{""tryOut"":4,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""mangue""}]",20240316-1210-26425,mlg,mdg,NA,fra,,,Non,mdg3,20,20,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""DG"",""ans"":77,""concept"":""mangue""},{""tryOut"":3,""qualifier"":""most"",""color"":""DO"",""ans"":93,""concept"":""arbre""}]",20240318-1019-44417,mlg,mdg,NA,fra,,,Non,mdg3,18,18,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""justice""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":100,""concept"":""heureux""}]",20240318-1035-28133,mlg,mdg,NA,fra,,,Non,mdg3,18,18,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SH"",""ans"":100,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""SP"",""ans"":100,""concept"":""mort""}]",20240318-1038-24109,mlg,mdg,NA,fra,,,Non,mdg3,19,19,14,37
student,fr,color1,11,female,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""heureux""}]",20240318-1039-20962,mlg,mdg,NA,fra,,,Non,mdg3,18,18,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SG"",""ans"":68,""concept"":""arbre""},{""tryOut"":2,""qualifier"":""least"",""color"":""SY"",""ans"":80,""concept"":""arbre""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":96,""concept"":""malade""}]",20240318-1041-239,mlg,mdg,NA,fra,,,Non,mdg3,22,23,14,37
