progressBlock,color,progressColor,ans,conceptFr,expCountry,ID
1,LB,1,0,pêche,mdg2,2024210-1521-9953
1,MP,2,26,pêche,mdg2,2024210-1521-9953
1,LO,3,62,pêche,mdg2,2024210-1521-9953
1,SR,4,58,pêche,mdg2,2024210-1521-9953
1,MH,5,64,pêche,mdg2,2024210-1521-9953
1,SG,6,39,pêche,mdg2,2024210-1521-9953
1,MO,7,59,pêche,mdg2,2024210-1521-9953
1,LY,8,30,pêche,mdg2,2024210-1521-9953
1,DP,9,0,pêche,mdg2,2024210-1521-9953
1,SC,10,0,pêche,mdg2,2024210-1521-9953
1,MR,11,74,pêche,mdg2,2024210-1521-9953
1,DB,12,0,pêche,mdg2,2024210-1521-9953
1,MY,13,66,pêche,mdg2,2024210-1521-9953
1,A2,14,0,pêche,mdg2,2024210-1521-9953
1,DC,15,0,pêche,mdg2,2024210-1521-9953
1,LP,16,17,pêche,mdg2,2024210-1521-9953
1,LC,17,20,pêche,mdg2,2024210-1521-9953
1,MC,18,15,pêche,mdg2,2024210-1521-9953
1,SO,19,60,pêche,mdg2,2024210-1521-9953
1,LR,20,85,pêche,mdg2,2024210-1521-9953
1,WH,21,0,pêche,mdg2,2024210-1521-9953
1,SH,22,41,pêche,mdg2,2024210-1521-9953
1,A1,23,0,pêche,mdg2,2024210-1521-9953
1,DG,24,24,pêche,mdg2,2024210-1521-9953
1,SY,25,23,pêche,mdg2,2024210-1521-9953
1,SB,26,20,pêche,mdg2,2024210-1521-9953
1,DY,27,57,pêche,mdg2,2024210-1521-9953
1,DR,28,57,pêche,mdg2,2024210-1521-9953
1,LH,29,67,pêche,mdg2,2024210-1521-9953
1,A3,30,0,pêche,mdg2,2024210-1521-9953
1,LG,31,31,pêche,mdg2,2024210-1521-9953
1,DO,32,32,pêche,mdg2,2024210-1521-9953
1,MB,33,19,pêche,mdg2,2024210-1521-9953
1,SP,34,25,pêche,mdg2,2024210-1521-9953
1,DH,35,65,pêche,mdg2,2024210-1521-9953
1,MG,36,55,pêche,mdg2,2024210-1521-9953
1,BK,37,0,pêche,mdg2,2024210-1521-9953
2,LH,1,29,en colère,mdg2,2024210-1521-9953
2,DB,2,25,en colère,mdg2,2024210-1521-9953
2,SO,3,60,en colère,mdg2,2024210-1521-9953
2,LP,4,18,en colère,mdg2,2024210-1521-9953
2,DY,5,33,en colère,mdg2,2024210-1521-9953
2,BK,6,73,en colère,mdg2,2024210-1521-9953
2,MO,7,30,en colère,mdg2,2024210-1521-9953
2,SH,8,10,en colère,mdg2,2024210-1521-9953
2,DO,9,25,en colère,mdg2,2024210-1521-9953
2,SB,10,20,en colère,mdg2,2024210-1521-9953
2,A2,11,55,en colère,mdg2,2024210-1521-9953
2,SY,12,8,en colère,mdg2,2024210-1521-9953
2,MG,13,22,en colère,mdg2,2024210-1521-9953
2,SG,14,27,en colère,mdg2,2024210-1521-9953
2,MC,15,19,en colère,mdg2,2024210-1521-9953
2,A3,16,0,en colère,mdg2,2024210-1521-9953
2,LR,17,61,en colère,mdg2,2024210-1521-9953
2,DH,18,16,en colère,mdg2,2024210-1521-9953
2,MY,19,27,en colère,mdg2,2024210-1521-9953
2,MR,20,75,en colère,mdg2,2024210-1521-9953
2,DP,21,22,en colère,mdg2,2024210-1521-9953
2,DC,22,14,en colère,mdg2,2024210-1521-9953
2,MP,23,29,en colère,mdg2,2024210-1521-9953
2,LO,24,59,en colère,mdg2,2024210-1521-9953
2,SP,25,32,en colère,mdg2,2024210-1521-9953
2,LB,26,26,en colère,mdg2,2024210-1521-9953
2,SC,27,25,en colère,mdg2,2024210-1521-9953
2,LC,28,21,en colère,mdg2,2024210-1521-9953
2,DR,29,100,en colère,mdg2,2024210-1521-9953
2,MH,30,29,en colère,mdg2,2024210-1521-9953
2,LY,31,33,en colère,mdg2,2024210-1521-9953
2,A1,32,74,en colère,mdg2,2024210-1521-9953
2,LG,33,22,en colère,mdg2,2024210-1521-9953
2,MB,34,31,en colère,mdg2,2024210-1521-9953
2,DG,35,38,en colère,mdg2,2024210-1521-9953
2,WH,36,0,en colère,mdg2,2024210-1521-9953
2,SR,37,81,en colère,mdg2,2024210-1521-9953
3,LH,1,31,heureux,mdg2,2024210-1521-9953
3,A3,2,79,heureux,mdg2,2024210-1521-9953
3,LC,3,70,heureux,mdg2,2024210-1521-9953
3,MC,4,63,heureux,mdg2,2024210-1521-9953
3,MG,5,32,heureux,mdg2,2024210-1521-9953
3,SC,6,64,heureux,mdg2,2024210-1521-9953
3,DC,7,66,heureux,mdg2,2024210-1521-9953
3,DG,8,19,heureux,mdg2,2024210-1521-9953
3,DB,9,69,heureux,mdg2,2024210-1521-9953
3,MO,10,37,heureux,mdg2,2024210-1521-9953
3,LB,11,64,heureux,mdg2,2024210-1521-9953
3,BK,12,77,heureux,mdg2,2024210-1521-9953
3,DR,13,26,heureux,mdg2,2024210-1521-9953
3,DO,14,27,heureux,mdg2,2024210-1521-9953
3,SO,15,20,heureux,mdg2,2024210-1521-9953
3,MB,16,62,heureux,mdg2,2024210-1521-9953
3,SG,17,21,heureux,mdg2,2024210-1521-9953
3,SP,18,32,heureux,mdg2,2024210-1521-9953
3,LR,19,61,heureux,mdg2,2024210-1521-9953
3,DY,20,28,heureux,mdg2,2024210-1521-9953
3,MY,21,22,heureux,mdg2,2024210-1521-9953
3,SH,22,33,heureux,mdg2,2024210-1521-9953
3,MP,23,25,heureux,mdg2,2024210-1521-9953
3,MH,24,28,heureux,mdg2,2024210-1521-9953
3,DH,25,28,heureux,mdg2,2024210-1521-9953
3,SB,26,60,heureux,mdg2,2024210-1521-9953
3,A1,27,72,heureux,mdg2,2024210-1521-9953
3,LY,28,60,heureux,mdg2,2024210-1521-9953
3,DP,29,23,heureux,mdg2,2024210-1521-9953
