expCountry,concept,color,weight,se,hex,barStroke
usa,angry,A1,0.374,0.048,#656168,#656168
usa,angry,A2,0.344,0.044,#9d97a0,#9d97a0
usa,angry,A3,0.138,0.028,#d8cfdb,#d8cfdb
usa,angry,BK,0.654,0.049,#323033,#323033
usa,angry,DB,0.131,0.028,#386089,#386089
usa,angry,DC,0.101,0.025,#297375,#297375
usa,angry,DG,0.138,0.027,#21704f,#21704f
usa,angry,DH,0.162,0.032,#677f35,#677f35
usa,angry,DO,0.324,0.04,#864d2b,#864d2b
usa,angry,DP,0.213,0.04,#723484,#723484
usa,angry,DR,0.792,0.04,#8a2b38,#8a2b38
usa,angry,DY,0.238,0.033,#8a7527,#8a7527
usa,angry,LB,0.075,0.022,#aacffb,#aacffb
usa,angry,LC,0.079,0.022,#9de5e4,#9de5e4
usa,angry,LG,0.069,0.021,#95e2b8,#95e2b8
usa,angry,LH,0.091,0.023,#dbf099,#dbf099
usa,angry,LO,0.089,0.019,#fbc9a3,#fbc9a3
usa,angry,LP,0.078,0.022,#dfa7fa,#dfa7fa
usa,angry,LR,0.179,0.032,#fc9fa3,#fc9fa3
usa,angry,LY,0.125,0.03,#fff498,#fff498
usa,angry,MB,0.093,0.024,#7196c0,#7196c0
usa,angry,MC,0.089,0.022,#65acac,#65acac
usa,angry,MG,0.096,0.021,#62ae88,#62ae88
usa,angry,MH,0.11,0.022,#a0b668,#a0b668
usa,angry,MO,0.195,0.033,#ce916c,#ce916c
usa,angry,MP,0.107,0.027,#a66fbd,#a66fbd
usa,angry,MR,0.469,0.044,#c5666b,#c5666b
usa,angry,MY,0.115,0.025,#dab572,#dab572
usa,angry,SB,0.081,0.024,#4fa7ef,#4fa7ef
usa,angry,SC,0.087,0.024,#27d1cd,#27d1cd
usa,angry,SG,0.074,0.018,#04c981,#04c981
usa,angry,SH,0.132,0.027,#bde638,#bde638
usa,angry,SO,0.374,0.044,#f89e2d,#f89e2d
usa,angry,SP,0.141,0.029,#b740da,#b740da
usa,angry,SR,0.733,0.048,#f03a52,#f03a52
usa,angry,SY,0.233,0.041,#fff329,#fff329
usa,angry,WH,0.139,0.035,#ffffff,#000000
usa,banana,A1,0.052,0.018,#656168,#656168
usa,banana,A2,0.071,0.02,#9d97a0,#9d97a0
usa,banana,A3,0.068,0.018,#d8cfdb,#d8cfdb
usa,banana,BK,0.183,0.04,#323033,#323033
usa,banana,DB,0.043,0.013,#386089,#386089
usa,banana,DC,0.057,0.015,#297375,#297375
usa,banana,DG,0.168,0.03,#21704f,#21704f
usa,banana,DH,0.23,0.033,#677f35,#677f35
usa,banana,DO,0.272,0.039,#864d2b,#864d2b
