progressBlock,color,progressColor,ans,concept,expCountry,ID
1,DR,1,43,spices,usa2,202428-1134-59748
1,SB,2,11,spices,usa2,202428-1134-59748
1,MB,3,8,spices,usa2,202428-1134-59748
1,MH,4,58,spices,usa2,202428-1134-59748
1,SR,5,20,spices,usa2,202428-1134-59748
1,LP,6,19,spices,usa2,202428-1134-59748
1,DO,7,85,spices,usa2,202428-1134-59748
1,MR,8,33,spices,usa2,202428-1134-59748
1,SC,9,4,spices,usa2,202428-1134-59748
1,DY,10,64,spices,usa2,202428-1134-59748
1,A1,11,5,spices,usa2,202428-1134-59748
1,LY,12,0,spices,usa2,202428-1134-59748
1,SO,13,0,spices,usa2,202428-1134-59748
1,MY,14,0,spices,usa2,202428-1134-59748
1,DB,15,0,spices,usa2,202428-1134-59748
1,A2,16,0,spices,usa2,202428-1134-59748
1,SP,17,0,spices,usa2,202428-1134-59748
1,MP,18,0,spices,usa2,202428-1134-59748
1,SH,19,0,spices,usa2,202428-1134-59748
1,LR,20,0,spices,usa2,202428-1134-59748
1,LG,21,0,spices,usa2,202428-1134-59748
1,WH,22,0,spices,usa2,202428-1134-59748
1,DH,23,56,spices,usa2,202428-1134-59748
1,LC,24,0,spices,usa2,202428-1134-59748
1,LO,25,55,spices,usa2,202428-1134-59748
1,MO,26,55,spices,usa2,202428-1134-59748
1,A3,27,0,spices,usa2,202428-1134-59748
1,DC,28,0,spices,usa2,202428-1134-59748
1,MG,29,0,spices,usa2,202428-1134-59748
1,LB,30,0,spices,usa2,202428-1134-59748
1,DG,31,0,spices,usa2,202428-1134-59748
1,LH,32,0,spices,usa2,202428-1134-59748
1,DP,33,0,spices,usa2,202428-1134-59748
1,SY,34,0,spices,usa2,202428-1134-59748
1,BK,35,0,spices,usa2,202428-1134-59748
1,SG,36,0,spices,usa2,202428-1134-59748
1,MC,37,0,spices,usa2,202428-1134-59748
2,MH,1,57,mango,usa2,202428-1134-59748
2,DY,2,53,mango,usa2,202428-1134-59748
2,SY,3,24,mango,usa2,202428-1134-59748
2,LO,4,4,mango,usa2,202428-1134-59748
2,SO,5,82,mango,usa2,202428-1134-59748
2,BK,6,4,mango,usa2,202428-1134-59748
2,MB,7,0,mango,usa2,202428-1134-59748
2,MP,8,0,mango,usa2,202428-1134-59748
2,DP,9,0,mango,usa2,202428-1134-59748
2,DR,10,0,mango,usa2,202428-1134-59748
2,MG,11,0,mango,usa2,202428-1134-59748
2,DG,12,0,mango,usa2,202428-1134-59748
2,SC,13,0,mango,usa2,202428-1134-59748
2,SH,14,0,mango,usa2,202428-1134-59748
2,DC,15,0,mango,usa2,202428-1134-59748
2,DB,16,0,mango,usa2,202428-1134-59748
2,SB,17,0,mango,usa2,202428-1134-59748
2,DO,18,0,mango,usa2,202428-1134-59748
2,A1,19,0,mango,usa2,202428-1134-59748
2,LR,20,0,mango,usa2,202428-1134-59748
2,SR,21,0,mango,usa2,202428-1134-59748
2,SP,22,0,mango,usa2,202428-1134-59748
2,A3,23,0,mango,usa2,202428-1134-59748
2,LP,24,0,mango,usa2,202428-1134-59748
2,SG,25,0,mango,usa2,202428-1134-59748
2,MR,26,0,mango,usa2,202428-1134-59748
2,MO,27,57,mango,usa2,202428-1134-59748
2,LC,28,0,mango,usa2,202428-1134-59748
2,DH,29,52,mango,usa2,202428-1134-59748
2,LY,30,0,mango,usa2,202428-1134-59748
2,A2,31,0,mango,usa2,202428-1134-59748
2,MY,32,0,mango,usa2,202428-1134-59748
2,WH,33,0,mango,usa2,202428-1134-59748
2,MC,34,0,mango,usa2,202428-1134-59748
2,LB,35,0,mango,usa2,202428-1134-59748
2,LH,36,0,mango,usa2,202428-1134-59748
2,LG,37,0,mango,usa2,202428-1134-59748
3,LH,1,0,peach,usa2,202428-1134-59748
3,SH,2,0,peach,usa2,202428-1134-59748
3,SP,3,6,peach,usa2,202428-1134-59748
3,MR,4,53,peach,usa2,202428-1134-59748
3,LY,5,0,peach,usa2,202428-1134-59748
3,MB,6,0,peach,usa2,202428-1134-59748
3,SC,7,0,peach,usa2,202428-1134-59748
3,SO,8,57,peach,usa2,202428-1134-59748
3,MC,9,0,peach,usa2,202428-1134-59748
3,DR,10,0,peach,usa2,202428-1134-59748
3,SG,11,0,peach,usa2,202428-1134-59748
