firstConceptsSet,trialidx,blockidx,answer,color,concept,ID,idx
abstract,1,1,81,MB,angry,20231121-2048-ABS-0wd7krjx,1
abstract,2,1,99,SR,angry,20231121-2048-ABS-0wd7krjx,2
abstract,3,1,50,LY,angry,20231121-2048-ABS-0wd7krjx,3
abstract,4,1,1,SB,angry,20231121-2048-ABS-0wd7krjx,4
abstract,5,1,0,MC,angry,20231121-2048-ABS-0wd7krjx,5
abstract,6,1,73,MR,angry,20231121-2048-ABS-0wd7krjx,6
abstract,7,1,22,MG,angry,20231121-2048-ABS-0wd7krjx,7
abstract,8,1,41,DB,angry,20231121-2048-ABS-0wd7krjx,8
abstract,9,1,18,SP,angry,20231121-2048-ABS-0wd7krjx,9
abstract,10,1,83,DY,angry,20231121-2048-ABS-0wd7krjx,10
abstract,11,1,23,SH,angry,20231121-2048-ABS-0wd7krjx,11
abstract,12,1,26,SC,angry,20231121-2048-ABS-0wd7krjx,12
abstract,13,1,12,DP,angry,20231121-2048-ABS-0wd7krjx,13
abstract,14,1,28,DO,angry,20231121-2048-ABS-0wd7krjx,14
abstract,15,1,82,MO,angry,20231121-2048-ABS-0wd7krjx,15
abstract,16,1,14,DH,angry,20231121-2048-ABS-0wd7krjx,16
abstract,17,1,1,MY,angry,20231121-2048-ABS-0wd7krjx,17
abstract,18,1,50,A3,angry,20231121-2048-ABS-0wd7krjx,18
abstract,19,1,16,WH,angry,20231121-2048-ABS-0wd7krjx,19
abstract,20,1,23,LC,angry,20231121-2048-ABS-0wd7krjx,20
abstract,21,1,33,LP,angry,20231121-2048-ABS-0wd7krjx,21
abstract,22,1,59,DG,angry,20231121-2048-ABS-0wd7krjx,22
abstract,23,1,72,DC,angry,20231121-2048-ABS-0wd7krjx,23
abstract,24,1,71,LO,angry,20231121-2048-ABS-0wd7krjx,24
abstract,25,1,26,SO,angry,20231121-2048-ABS-0wd7krjx,25
abstract,26,1,19,A2,angry,20231121-2048-ABS-0wd7krjx,26
abstract,27,1,13,LB,angry,20231121-2048-ABS-0wd7krjx,27
abstract,28,1,18,BK,angry,20231121-2048-ABS-0wd7krjx,28
abstract,29,1,8,MH,angry,20231121-2048-ABS-0wd7krjx,29
abstract,30,1,2,MP,angry,20231121-2048-ABS-0wd7krjx,30
abstract,31,1,14,DR,angry,20231121-2048-ABS-0wd7krjx,31
abstract,32,1,16,LG,angry,20231121-2048-ABS-0wd7krjx,32
abstract,33,1,21,A1,angry,20231121-2048-ABS-0wd7krjx,33
abstract,34,1,29,LR,angry,20231121-2048-ABS-0wd7krjx,34
abstract,35,1,17,SY,angry,20231121-2048-ABS-0wd7krjx,35
abstract,36,1,31,SG,angry,20231121-2048-ABS-0wd7krjx,36
abstract,37,1,28,LH,angry,20231121-2048-ABS-0wd7krjx,37
abstract,1,2,0,MB,banana,20231121-2048-ABS-0wd7krjx,38
abstract,2,2,0,SR,banana,20231121-2048-ABS-0wd7krjx,39
abstract,3,2,100,LY,banana,20231121-2048-ABS-0wd7krjx,40
abstract,4,2,0,SB,banana,20231121-2048-ABS-0wd7krjx,41
abstract,5,2,0,MC,banana,20231121-2048-ABS-0wd7krjx,42
abstract,6,2,0,MR,banana,20231121-2048-ABS-0wd7krjx,43
abstract,7,2,74,MG,banana,20231121-2048-ABS-0wd7krjx,44
abstract,8,2,0,DB,banana,20231121-2048-ABS-0wd7krjx,45
abstract,9,2,0,SP,banana,20231121-2048-ABS-0wd7krjx,46
abstract,10,2,78,DY,banana,20231121-2048-ABS-0wd7krjx,47
abstract,11,2,51,SH,banana,20231121-2048-ABS-0wd7krjx,48
abstract,12,2,1,SC,banana,20231121-2048-ABS-0wd7krjx,49
abstract,13,2,0,DP,banana,20231121-2048-ABS-0wd7krjx,50
abstract,14,2,0,DO,banana,20231121-2048-ABS-0wd7krjx,51
abstract,15,2,71,MO,banana,20231121-2048-ABS-0wd7krjx,52
abstract,16,2,51,DH,banana,20231121-2048-ABS-0wd7krjx,53
abstract,17,2,100,MY,banana,20231121-2048-ABS-0wd7krjx,54
abstract,18,2,0,A3,banana,20231121-2048-ABS-0wd7krjx,55
abstract,19,2,0,WH,banana,20231121-2048-ABS-0wd7krjx,56
abstract,20,2,0,LC,banana,20231121-2048-ABS-0wd7krjx,57
abstract,21,2,0,LP,banana,20231121-2048-ABS-0wd7krjx,58
abstract,22,2,75,DG,banana,20231121-2048-ABS-0wd7krjx,59
abstract,23,2,0,DC,banana,20231121-2048-ABS-0wd7krjx,60
abstract,24,2,1,LO,banana,20231121-2048-ABS-0wd7krjx,61
abstract,25,2,0,SO,banana,20231121-2048-ABS-0wd7krjx,62
abstract,26,2,2,A2,banana,20231121-2048-ABS-0wd7krjx,63
abstract,27,2,0,LB,banana,20231121-2048-ABS-0wd7krjx,64
abstract,28,2,100,BK,banana,20231121-2048-ABS-0wd7krjx,65
abstract,29,2,57,MH,banana,20231121-2048-ABS-0wd7krjx,66
abstract,30,2,1,MP,banana,20231121-2048-ABS-0wd7krjx,67
abstract,31,2,0,DR,banana,20231121-2048-ABS-0wd7krjx,68
abstract,32,2,52.05,LG,banana,20231121-2048-ABS-0wd7krjx,69
abstract,33,2,0,A1,banana,20231121-2048-ABS-0wd7krjx,70
abstract,34,2,0,LR,banana,20231121-2048-ABS-0wd7krjx,71
abstract,35,2,100,SY,banana,20231121-2048-ABS-0wd7krjx,72
abstract,36,2,78,SG,banana,20231121-2048-ABS-0wd7krjx,73
abstract,37,2,79,LH,banana,20231121-2048-ABS-0wd7krjx,74
concrete,1,1,55.25,MC,banana,20231117-1618-CON-pbjvqyja,1
concrete,2,1,-0.4,DG,banana,20231117-1618-CON-pbjvqyja,2
concrete,3,1,-1.45,LG,banana,20231117-1618-CON-pbjvqyja,3
concrete,4,1,-2.5,DP,banana,20231117-1618-CON-pbjvqyja,4
concrete,5,1,54.2,MH,banana,20231117-1618-CON-pbjvqyja,5
concrete,6,1,67.85,LY,banana,20231117-1618-CON-pbjvqyja,6
concrete,7,1,63.65,SY,banana,20231117-1618-CON-pbjvqyja,7
concrete,8,1,80.45,DO,banana,20231117-1618-CON-pbjvqyja,8
concrete,9,1,-2.5,SP,banana,20231117-1618-CON-pbjvqyja,9
concrete,10,1,26.9,MY,banana,20231117-1618-CON-pbjvqyja,10
concrete,11,1,-2.5,A3,banana,20231117-1618-CON-pbjvqyja,11
concrete,12,1,-2.5,LC,banana,20231117-1618-CON-pbjvqyja,12
concrete,13,1,-2.5,LR,banana,20231117-1618-CON-pbjvqyja,13
concrete,14,1,25.85,SO,banana,20231117-1618-CON-pbjvqyja,14
concrete,15,1,-2.5,SC,banana,20231117-1618-CON-pbjvqyja,15
concrete,16,1,-2.5,LB,banana,20231117-1618-CON-pbjvqyja,16
concrete,17,1,-2.5,DC,banana,20231117-1618-CON-pbjvqyja,17
concrete,18,1,56.3,SH,banana,20231117-1618-CON-pbjvqyja,18
concrete,19,1,51.05,SG,banana,20231117-1618-CON-pbjvqyja,19
concrete,20,1,-2.5,MR,banana,20231117-1618-CON-pbjvqyja,20
concrete,21,1,73.1,LH,banana,20231117-1618-CON-pbjvqyja,21
concrete,22,1,61.55,MO,banana,20231117-1618-CON-pbjvqyja,22
concrete,23,1,-2.5,MG,banana,20231117-1618-CON-pbjvqyja,23
concrete,24,1,-2.5,DB,banana,20231117-1618-CON-pbjvqyja,24
concrete,25,1,-2.5,A2,banana,20231117-1618-CON-pbjvqyja,25
concrete,26,1,-2.5,MP,banana,20231117-1618-CON-pbjvqyja,26
concrete,27,1,-2.5,WH,banana,20231117-1618-CON-pbjvqyja,27
concrete,28,1,-2.5,DR,banana,20231117-1618-CON-pbjvqyja,28
concrete,29,1,17.45,DH,banana,20231117-1618-CON-pbjvqyja,29
concrete,30,1,78.35,DY,banana,20231117-1618-CON-pbjvqyja,30
concrete,31,1,102.5,BK,banana,20231117-1618-CON-pbjvqyja,31
concrete,32,1,-2.5,SR,banana,20231117-1618-CON-pbjvqyja,32
concrete,33,1,-2.5,SB,banana,20231117-1618-CON-pbjvqyja,33
concrete,34,1,-2.5,A1,banana,20231117-1618-CON-pbjvqyja,34
