progressBlock,color,progressColor,ans,concept,expCountry,ID
1,"LH",1,56,"death","usa3","20240418-1639-26223"
1,"LB",2,42,"death","usa3","20240418-1639-26223"
1,"LP",3,0,"death","usa3","20240418-1639-26223"
1,"LR",4,0,"death","usa3","20240418-1639-26223"
1,"SY",5,0,"death","usa3","20240418-1639-26223"
1,"DB",6,62,"death","usa3","20240418-1639-26223"
1,"SH",7,0,"death","usa3","20240418-1639-26223"
1,"DR",8,68,"death","usa3","20240418-1639-26223"
1,"DG",9,44,"death","usa3","20240418-1639-26223"
1,"DC",10,56,"death","usa3","20240418-1639-26223"
1,"MH",11,67,"death","usa3","20240418-1639-26223"
1,"DO",12,54,"death","usa3","20240418-1639-26223"
1,"MO",13,41,"death","usa3","20240418-1639-26223"
1,"A2",14,75,"death","usa3","20240418-1639-26223"
1,"LY",15,0,"death","usa3","20240418-1639-26223"
1,"SP",16,0,"death","usa3","20240418-1639-26223"
1,"A1",17,81,"death","usa3","20240418-1639-26223"
1,"SC",18,0,"death","usa3","20240418-1639-26223"
1,"SO",19,0,"death","usa3","20240418-1639-26223"
1,"BK",20,100,"death","usa3","20240418-1639-26223"
1,"DY",21,77,"death","usa3","20240418-1639-26223"
1,"A3",22,60,"death","usa3","20240418-1639-26223"
1,"MC",23,0,"death","usa3","20240418-1639-26223"
1,"LC",24,0,"death","usa3","20240418-1639-26223"
1,"DH",25,45,"death","usa3","20240418-1639-26223"
1,"SG",26,0,"death","usa3","20240418-1639-26223"
1,"MB",27,44,"death","usa3","20240418-1639-26223"
1,"SB",28,0,"death","usa3","20240418-1639-26223"
1,"MP",29,0,"death","usa3","20240418-1639-26223"
1,"MY",30,0,"death","usa3","20240418-1639-26223"
1,"MG",31,23,"death","usa3","20240418-1639-26223"
1,"SR",32,0,"death","usa3","20240418-1639-26223"
1,"WH",33,45,"death","usa3","20240418-1639-26223"
1,"MR",34,0,"death","usa3","20240418-1639-26223"
1,"LG",35,0,"death","usa3","20240418-1639-26223"
1,"DP",36,0,"death","usa3","20240418-1639-26223"
1,"LO",37,14,"death","usa3","20240418-1639-26223"
2,"LC",1,55,"sick","usa3","20240418-1639-26223"
2,"LO",2,46,"sick","usa3","20240418-1639-26223"
2,"SR",3,0,"sick","usa3","20240418-1639-26223"
2,"LB",4,57,"sick","usa3","20240418-1639-26223"
2,"MH",5,91,"sick","usa3","20240418-1639-26223"
2,"WH",6,46,"sick","usa3","20240418-1639-26223"
2,"MC",7,57,"sick","usa3","20240418-1639-26223"
2,"SP",8,0,"sick","usa3","20240418-1639-26223"
2,"DH",9,95,"sick","usa3","20240418-1639-26223"
2,"MB",10,59,"sick","usa3","20240418-1639-26223"
2,"A2",11,66,"sick","usa3","20240418-1639-26223"
2,"SH",12,47,"sick","usa3","20240418-1639-26223"
2,"DY",13,79,"sick","usa3","20240418-1639-26223"
2,"MG",14,46,"sick","usa3","20240418-1639-26223"
2,"DP",15,0,"sick","usa3","20240418-1639-26223"
2,"SG",16,0,"sick","usa3","20240418-1639-26223"
2,"DC",17,44,"sick","usa3","20240418-1639-26223"
2,"BK",18,43,"sick","usa3","20240418-1639-26223"
2,"LR",19,0,"sick","usa3","20240418-1639-26223"
2,"LH",20,25,"sick","usa3","20240418-1639-26223"
2,"SC",21,0,"sick","usa3","20240418-1639-26223"
2,"DO",22,46,"sick","usa3","20240418-1639-26223"
2,"MR",23,0,"sick","usa3","20240418-1639-26223"
2,"LP",24,0,"sick","usa3","20240418-1639-26223"
2,"SB",25,0,"sick","usa3","20240418-1639-26223"
2,"A3",26,45,"sick","usa3","20240418-1639-26223"
2,"DG",27,43,"sick","usa3","20240418-1639-26223"
2,"LG",28,0,"sick","usa3","20240418-1639-26223"
2,"LY",29,0,"sick","usa3","20240418-1639-26223"
2,"SO",30,0,"sick","usa3","20240418-1639-26223"
2,"MP",31,0,"sick","usa3","20240418-1639-26223"
2,"DB",32,44,"sick","usa3","20240418-1639-26223"
2,"MY",33,45,"sick","usa3","20240418-1639-26223"
2,"A1",34,55,"sick","usa3","20240418-1639-26223"
2,"DR",35,54,"sick","usa3","20240418-1639-26223"
2,"MO",36,47,"sick","usa3","20240418-1639-26223"
2,"SY",37,0,"sick","usa3","20240418-1639-26223"
3,"LP",1,0,"banana","usa3","20240418-1639-26223"
3,"A3",2,0,"banana","usa3","20240418-1639-26223"
3,"MO",3,7,"banana","usa3","20240418-1639-26223"
3,"DP",4,0,"banana","usa3","20240418-1639-26223"
