profession,expLang,expName,grayScale,gender,countryResLongest,prolificID,tutoValues,sessionID,languageNative,countryRes,languageOther1,languageOther2,colorblind,expCountry,countryResLen,age,progressBlock,progressColor
homemaker,en,color1,11,female,usa,653fd42ade361272b8f82118,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""sandstorm""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":100,""concept"":""death""}]",20240419-1635-27396,eng,usa,,,No,usa3,40,41,14,37
Writer,en,color1,11,Male,usa,5c6d93a0066f6b0001556bb2,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":17,""concept"":""tree""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banana""}]",20240419-1648-48760,eng,usa,,,No,usa3,45,45,2,10
Entrepreneur,en,color1,11,Male,usa,632c0075227e9b734c80424d,"[{""tryOut"":2,""qualifier"":""least"",""color"":""DP"",""ans"":0,""concept"":""peach""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banana""}]",20240419-1648-54212,eng,usa,,,No,usa3,38,38,14,37
manager,en,color1,11,female,usa,56fb36ca34a0d3000b1a5701,"[{""tryOut"":2,""qualifier"":""least"",""color"":""A2"",""ans"":3,""concept"":""justice""},{""tryOut"":3,""qualifier"":""most"",""color"":""LP"",""ans"":97,""concept"":""peace""},{""tryOut"":4,""qualifier"":""least"",""color"":""A1"",""ans"":4,""concept"":""happy""},{""tryOut"":5,""qualifier"":""most"",""color"":""DB"",""ans"":98,""concept"":""sad""},{""tryOut"":6,""qualifier"":""least"",""color"":""DP"",""ans"":3,""concept"":""lightning""},{""tryOut"":7,""qualifier"":""most"",""color"":""BK"",""ans"":98,""concept"":""death""},{""tryOut"":8,""qualifier"":""least"",""color"":""LP"",""ans"":4,""concept"":""angry""}]",20240419-1651-32482,eng,usa,,,No,usa3,53,53,14,37
Dental Assistant,en,color1,11,Female,usa,6352e6fd0bd9f5f560e1d60e,"[{""tryOut"":2,""qualifier"":""least"",""color"":""DP"",""ans"":0,""concept"":""mango""},{""tryOut"":3,""qualifier"":""most"",""color"":""DR"",""ans"":100,""concept"":""peace""}]",20240419-1745-34773,eng,usa,fra,,No,usa3,26,26,1,24
registrar,en,color1,11,female,usa,610d18cc7bc56684fd024a62,"[{""tryOut"":2,""qualifier"":""least"",""color"":""DR"",""ans"":0,""concept"":""peace""},{""tryOut"":2,""qualifier"":""least"",""color"":""DR"",""ans"":5,""concept"":""peace""},{""tryOut"":3,""qualifier"":""most"",""color"":""LR"",""ans"":99,""concept"":""peach""}]",20240419-1826-19156,eng,usa,,,No,usa3,35,35,14,37
Administration,en,color1,11,Female,usa,65c10f267b368ee1ed772eb5,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":1,""concept"":""mango""},{""tryOut"":3,""qualifier"":""most"",""color"":""LO"",""ans"":100,""concept"":""peach""},{""tryOut"":4,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""angry""}]",20240419-1830-16601,eng,usa,eng,,No,usa3,29,29,14,37
IT Support,en,color1,11,Male,usa,64148386b15c3ddfef1fcd69,"[{""tryOut"":2,""qualifier"":""least"",""color"":""MY"",""ans"":1,""concept"":""angry""},{""tryOut"":3,""qualifier"":""most"",""color"":""LY"",""ans"":100,""concept"":""peach""}]",20240419-1841-49159,eng,usa,,,No,usa3,39,39,14,37
Delivery Truck Driver,en,color1,11,male,usa,5e2d3e464b8a1a33ef37b241,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""peach""},{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""peach""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banana""}]",20240419-1841-54552,eng,usa,,,No,usa3,49,49,14,37
Graphic Designer,en,color1,11,Female,usa,6025aeaea2c27e19e096f29d,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""happy""},{""tryOut"":3,""qualifier"":""most"",""color"":""MC"",""ans"":85,""concept"":""safety""}]",20240419-1858-22632,eng,usa,,,No,usa3,40,40,14,37
