profession,expLang,expName,grayScale,gender,countryResLongest,prolificID,tutoValues,sessionID,languageNative,countryRes,languageOther2,languageOther1,colorblind,expCountry,countryResLen,age,progressBlock,progressColor
Communications Manager at Nonprofit,en,color1,11,female,usa,60fe090e38f969ce1f8ee8a4,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SP"",""ans"":0,""concept"":""banana""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":96,""concept"":""happy""}]",20240418-1118-25366,eng,usa,NA,NA,No,usa3,31,36,14,37
Program manager,en,color1,11,female,usa,612d227e68d8bf942e6091da,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":90,""concept"":""death""},{""tryOut"":2,""qualifier"":""least"",""color"":""SB"",""ans"":12,""concept"":""death""},{""tryOut"":3,""qualifier"":""most"",""color"":""MY"",""ans"":79,""concept"":""sick""}]",20240418-1123-42512,eng,usa,NA,ger,No,usa3,20,32,14,37
Chatbot Trainer,en,color1,11,female,usa,5e2f4ab6fb987e078bf5f68e,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SR"",""ans"":0,""concept"":""sad""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banana""}]",20240418-1212-31232,eng,usa,NA,eng,No,usa3,51,51,14,37
student,en,color1,11,female,usa,5fd5381b5807b616d910c586,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SY"",""ans"":88,""concept"":""lightning""},{""tryOut"":3,""qualifier"":""most"",""color"":""DG"",""ans"":88,""concept"":""justice""}]",20240418-1227-32792,eng,usa,NA,NA,No,usa3,24,26,14,37
self-employed,en,color1,11,female,usa,656bb9267df44f2c87420776,"[{""tryOut"":2,""qualifier"":""least"",""color"":""LP"",""ans"":1,""concept"":""sick""},{""tryOut"":2,""qualifier"":""least"",""color"":""A1"",""ans"":4,""concept"":""sick""},{""tryOut"":2,""qualifier"":""least"",""color"":""MB"",""ans"":0,""concept"":""sick""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banana""}]",20240418-1242-15645,eng,usa,NA,NA,No,usa3,29,29,14,37
Student,en,color1,11,male,usa,5b0b77a9d282ff00015b7531,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":96,""concept"":""peace""},{""tryOut"":3,""qualifier"":""most"",""color"":""LR"",""ans"":100,""concept"":""peach""}]",20240418-1257-51337,eng,usa,NA,NA,No,usa3,23,23,14,37
Unemployed,en,color1,11,female,usa,63617d0513b0cf392fd67e3e,"[{""tryOut"":2,""qualifier"":""least"",""color"":""LP"",""ans"":0,""concept"":""angry""},{""tryOut"":3,""qualifier"":""most"",""color"":""SG"",""ans"":95,""concept"":""tree""}]",20240418-129-17943,eng,usa,NA,NA,No,usa3,40,40,14,37
Retired Elementary Principal,en,color1,11,male,usa,657f1c242da897d8e688081e,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SB"",""ans"":92,""concept"":""safety""},{""tryOut"":2,""qualifier"":""least"",""color"":""SB"",""ans"":1,""concept"":""safety""},{""tryOut"":2,""qualifier"":""least"",""color"":""LR"",""ans"":0,""concept"":""safety""},{""tryOut"":2,""qualifier"":""least"",""color"":""MR"",""ans"":0,""concept"":""safety""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":96,""concept"":""banana""},{""tryOut"":4,""qualifier"":""least"",""color"":""LC"",""ans"":2,""concept"":""lightning""}]",20240418-1320-56249,eng,usa,NA,eng,No,usa3,61,61,14,37
stay home.,en,color1,11,female,usa,64d507d3280007709d2e2e65,"[{""tryOut"":2,""qualifier"":""least"",""color"":""LB"",""ans"":30,""concept"":""justice""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":95,""concept"":""happy""},{""tryOut"":4,""qualifier"":""least"",""color"":""SP"",""ans"":89,""concept"":""sick""},{""tryOut"":5,""qualifier"":""most"",""color"":""SY"",""ans"":92,""concept"":""banana""}]",20240418-138-4451,eng,usa,NA,NA,No,usa3,48,48,14,37
Nurse Manager,en,color1,11,female,usa,5b824fb6cc06660001a302d4,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SB"",""ans"":0,""concept"":""sick""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banana""},{""tryOut"":4,""qualifier"":""least"",""color"":""WH"",""ans"":97,""concept"":""safety""}]",20240418-138-45470,eng,usa,NA,eng,No,usa3,53,53,14,37
Unemployed,en,color1,11,male,usa,6155d14afd03ebfe3f9c7303,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":100,""concept"":""safety""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banana""}]",20240418-1721-8982,eng,usa,NA,NA,No,usa3,21,22,14,37
Software developer,en,color1,11,male,usa,614016b99ef934f87c7ee4da,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":3,""concept"":""mango""},{""tryOut"":3,""qualifier"":""most"",""color"":""LO"",""ans"":97,""concept"":""peach""}]",20240418-946-45877,eng,usa,NA,NA,No,usa3,39,39,14,37
