group,participantId,trialId,category,accuracy
mg,09b12105-8844-4979-b829-450cea06e9ee,p0_s1_tl,MG_HIGH-US_LOW,1
mg,09b12105-8844-4979-b829-450cea06e9ee,p11_s0_tr,MG_LOW-US_HIGH,1
mg,09b12105-8844-4979-b829-450cea06e9ee,p7_s1_tl,MG_LOW-US_LOW,1
mg,09b12105-8844-4979-b829-450cea06e9ee,p11_s1_tl,MG_LOW-US_HIGH,0
mg,09b12105-8844-4979-b829-450cea06e9ee,p8_s1_tl,MG_LOW-US_LOW,1
mg,09b12105-8844-4979-b829-450cea06e9ee,p2_s1_tl,MG_HIGH-US_LOW,1
mg,09b12105-8844-4979-b829-450cea06e9ee,p9_s1_tl,MG_LOW-US_HIGH,0
mg,09b12105-8844-4979-b829-450cea06e9ee,p7_s0_tl,MG_LOW-US_LOW,0
mg,09b12105-8844-4979-b829-450cea06e9ee,p4_s1_tl,MG_HIGH-US_HIGH,1
mg,09b12105-8844-4979-b829-450cea06e9ee,p5_s0_tr,MG_HIGH-US_HIGH,1
mg,09b12105-8844-4979-b829-450cea06e9ee,p4_s0_tl,MG_HIGH-US_HIGH,1
mg,09b12105-8844-4979-b829-450cea06e9ee,p8_s0_tr,MG_LOW-US_LOW,1
mg,09b12105-8844-4979-b829-450cea06e9ee,p6_s1_tl,MG_LOW-US_LOW,1
mg,09b12105-8844-4979-b829-450cea06e9ee,p1_s1_tr,MG_HIGH-US_LOW,1
mg,09b12105-8844-4979-b829-450cea06e9ee,p2_s0_tl,MG_HIGH-US_LOW,0
mg,09b12105-8844-4979-b829-450cea06e9ee,p1_s0_tr,MG_HIGH-US_LOW,0
mg,09b12105-8844-4979-b829-450cea06e9ee,p9_s1_tr,MG_LOW-US_HIGH,0
mg,09b12105-8844-4979-b829-450cea06e9ee,p5_s0_tl,MG_HIGH-US_HIGH,1
mg,09b12105-8844-4979-b829-450cea06e9ee,p5_s1_tr,MG_HIGH-US_HIGH,1
mg,09b12105-8844-4979-b829-450cea06e9ee,p11_s1_tr,MG_LOW-US_HIGH,1
mg,09b12105-8844-4979-b829-450cea06e9ee,p10_s0_tr,MG_LOW-US_HIGH,1
mg,09b12105-8844-4979-b829-450cea06e9ee,p10_s1_tl,MG_LOW-US_HIGH,1
mg,09b12105-8844-4979-b829-450cea06e9ee,p8_s0_tl,MG_LOW-US_LOW,1
mg,09b12105-8844-4979-b829-450cea06e9ee,p11_s0_tl,MG_LOW-US_HIGH,1
mg,09b12105-8844-4979-b829-450cea06e9ee,p0_s0_tr,MG_HIGH-US_LOW,1
mg,09b12105-8844-4979-b829-450cea06e9ee,p8_s1_tr,MG_LOW-US_LOW,1
mg,09b12105-8844-4979-b829-450cea06e9ee,p9_s0_tl,MG_LOW-US_HIGH,0
mg,09b12105-8844-4979-b829-450cea06e9ee,p7_s1_tr,MG_LOW-US_LOW,0
mg,09b12105-8844-4979-b829-450cea06e9ee,p1_s1_tl,MG_HIGH-US_LOW,1
mg,09b12105-8844-4979-b829-450cea06e9ee,p9_s0_tr,MG_LOW-US_HIGH,1
mg,09b12105-8844-4979-b829-450cea06e9ee,p3_s0_tl,MG_HIGH-US_HIGH,1
mg,09b12105-8844-4979-b829-450cea06e9ee,p10_s0_tl,MG_LOW-US_HIGH,1
mg,09b12105-8844-4979-b829-450cea06e9ee,p4_s0_tr,MG_HIGH-US_HIGH,1
