conA,conB,col1,col2,dX_mg,dX_us,dS_mg,dS_us,n_mg,n_us,n_correct_mg,n_correct_us,pct_correct_mg,pct_correct_us,category
angry,sick,MH,SC,-0.0036,-0.484,0.005,0.7697,108,120,67,73,0.62,0.61,MG_LOW-US_HIGH
banana,mango,MO,SY,-0.137,-0.851,0.2036,0.8803,108,120,79,116,0.73,0.97,MG_LOW-US_HIGH
justice,safety,BK,SG,0.0726,0.5734,0.0913,0.6814,108,120,59,100,0.55,0.83,MG_LOW-US_HIGH
happy,sad,DR,MC,-0.102,-0.0872,0.1387,0.11,108,120,73,89,0.68,0.74,MG_LOW-US_LOW
justice,peace,MC,MO,-0.1252,-0.1272,0.182,0.1669,108,120,89,94,0.82,0.78,MG_LOW-US_LOW
sad,sick,A3,DC,0.0362,0.0308,0.0459,0.0411,108,120,90,56,0.83,0.47,MG_LOW-US_LOW
banana,peach,MH,SR,0.4174,0.2584,0.5005,0.4561,108,120,99,108,0.92,0.9,MG_HIGH-US_HIGH
death,justice,BK,DB,0.7148,0.715,0.8544,0.8049,108,120,103,108,0.95,0.9,MG_HIGH-US_HIGH
death,peace,DP,LB,0.5912,0.423,0.6907,0.63,108,120,96,106,0.89,0.88,MG_HIGH-US_HIGH
angry,happy,MH,WH,0.5058,0.0808,0.6556,0.1216,108,120,86,60,0.8,0.5,MG_HIGH-US_LOW
death,safety,DB,DP,-0.558,-0.0822,0.6777,0.1219,108,120,83,93,0.77,0.78,MG_HIGH-US_LOW
happy,sick,DP,SO,-0.6056,-0.082,0.703,0.1117,108,120,94,78,0.87,0.65,MG_HIGH-US_LOW
