conA,conB,col1,col2,x1_us,x2_us,x3_us,x4_us,p_gt0_us,dX_us,dS_us,x1_mg,x2_mg,x3_mg,x4_mg,p_gt0_mg,dX_mg,dS_mg,dS_diff,mgLevel,usLevel
sad,sick,A3,DC,0.4174,0.3846,0.242,0.24,0.5206,0.0308,0.0411,0.4436,0.2568,0.4454,0.2948,0.523,0.0362,0.0459,-0.0048,MG_LOW,US_LOW
death,justice,BK,DB,0.9468,0.2328,0.4356,0.4366,0.9024,0.715,0.8049,0.8658,0.1568,0.309,0.3148,0.9272,0.7148,0.8544,-0.0495,MG_HIGH,US_HIGH
justice,safety,BK,SG,0.4356,0.2316,0.1376,0.507,0.8407,0.5734,0.6814,0.309,0.2804,0.3978,0.4418,0.5456,0.0726,0.0913,0.5901,MG_LOW,US_HIGH
death,safety,DB,DP,0.2328,0.1484,0.4336,0.267,0.439,-0.0822,0.1219,0.1568,0.5514,0.3774,0.214,0.1612,-0.558,0.6777,-0.5558,MG_HIGH,US_LOW
death,peace,DP,LB,0.1484,0.0902,0.3894,0.7542,0.815,0.423,0.63,0.5514,0.185,0.2128,0.4376,0.8453,0.5912,0.6907,-0.0607,MG_HIGH,US_HIGH
happy,sick,DP,SO,0.436,0.662,0.1616,0.3056,0.4442,-0.082,0.1117,0.2502,0.5424,0.4504,0.137,0.1485,-0.6056,0.703,-0.5913,MG_HIGH,US_LOW
happy,sad,DR,MC,0.3084,0.4176,0.3208,0.3428,0.445,-0.0872,0.11,0.2998,0.3156,0.331,0.2448,0.4307,-0.102,0.1387,-0.0287,MG_LOW,US_LOW
justice,peace,MC,MO,0.3186,0.2096,0.61,0.3738,0.4166,-0.1272,0.1669,0.2694,0.204,0.4032,0.2126,0.409,-0.1252,0.182,-0.0151,MG_LOW,US_LOW
angry,sick,MH,SC,0.1102,0.0872,0.6592,0.1522,0.1152,-0.484,0.7697,0.2696,0.2216,0.3572,0.3056,0.4975,-0.0036,0.005,0.7647,MG_LOW,US_HIGH
banana,peach,MH,SR,0.2996,0.0434,0.1872,0.1894,0.7281,0.2584,0.4561,0.4936,0.1622,0.359,0.445,0.7503,0.4174,0.5005,-0.0444,MG_HIGH,US_HIGH
angry,happy,MH,WH,0.1102,0.1394,0.3836,0.4936,0.5608,0.0808,0.1216,0.2696,0.1804,0.2844,0.701,0.8278,0.5058,0.6556,-0.534,MG_HIGH,US_LOW
banana,mango,MO,SY,0.2206,0.9502,0.585,0.4636,0.0598,-0.851,0.8803,0.231,0.7812,0.2156,0.6288,0.3982,-0.137,0.2036,0.6767,MG_LOW,US_HIGH
