conA,conB,col1,col2,x1_us,x2_us,x3_us,x4_us,p_gt0_us,dX_us,dS_us,x1_mg,x2_mg,x3_mg,x4_mg,p_gt0_mg,dX_mg,dS_mg,dS_diff
angry,banana,A1,A2,0.3736,0.3438,0.0524,0.0712,0.5412,0.0486,0.0824,0.3566,0.346,0.1342,0.179,0.5423,0.0554,0.0845,-0.0021
angry,death,A1,A2,0.3736,0.3438,0.775,0.6698,0.4502,-0.0754,0.0997,0.3566,0.346,0.7284,0.5956,0.4228,-0.1222,0.1544,-0.0547
angry,happy,A1,A2,0.3736,0.3438,0.1012,0.1154,0.5355,0.044,0.071,0.3566,0.346,0.199,0.241,0.5371,0.0526,0.0742,-0.0032
angry,justice,A1,A2,0.3736,0.3438,0.302,0.333,0.5387,0.0608,0.0775,0.3566,0.346,0.2456,0.392,0.6002,0.157,0.2005,-0.123
angry,lightning,A1,A2,0.3736,0.3438,0.3756,0.3102,0.4777,-0.0356,0.0446,0.3566,0.346,0.322,0.4078,0.5597,0.0964,0.1195,-0.0749
angry,mango,A1,A2,0.3736,0.3438,0.0426,0.0432,0.5262,0.0304,0.0524,0.3566,0.346,0.118,0.1832,0.5581,0.0758,0.1163,-0.0639
angry,peace,A1,A2,0.3736,0.3438,0.1886,0.2364,0.5548,0.0776,0.1096,0.3566,0.346,0.2756,0.2918,0.5177,0.0268,0.0354,0.0742
angry,peach,A1,A2,0.3736,0.3438,0.0288,0.0424,0.5376,0.0434,0.0751,0.3566,0.346,0.243,0.215,0.4878,-0.0174,0.0243,0.0508
angry,sad,A1,A2,0.3736,0.3438,0.7964,0.7026,0.4566,-0.064,0.0869,0.3566,0.346,0.6488,0.621,0.4893,-0.0172,0.0213,0.0656
angry,safety,A1,A2,0.3736,0.3438,0.223,0.2158,0.5159,0.0226,0.0318,0.3566,0.346,0.3688,0.223,0.4119,-0.1352,0.1762,-0.1444
angry,sandstorm,A1,A2,0.3736,0.3438,0.3454,0.4254,0.5669,0.1098,0.1338,0.3566,0.346,0.4604,0.5138,0.5381,0.064,0.0763,0.0575
angry,sick,A1,A2,0.3736,0.3438,0.4512,0.4422,0.5124,0.0208,0.0248,0.3566,0.346,0.5234,0.5204,0.5045,0.0076,0.0091,0.0157
angry,tree,A1,A2,0.3736,0.3438,0.0992,0.0934,0.5197,0.024,0.0393,0.3566,0.346,0.2184,0.2534,0.5316,0.0456,0.0632,-0.0239
banana,death,A1,A2,0.0524,0.0712,0.775,0.6698,0.3814,-0.124,0.2372,0.1342,0.179,0.7284,0.5956,0.3636,-0.1776,0.2728,-0.0356
banana,happy,A1,A2,0.0524,0.0712,0.1012,0.1154,0.4918,-0.0046,0.0164,0.1342,0.179,0.199,0.241,0.4974,-0.0028,0.0052,0.0112
banana,justice,A1,A2,0.0524,0.0712,0.302,0.333,0.511,0.0122,0.0219,0.1342,0.179,0.2456,0.392,0.5809,0.1016,0.1618,-0.1399
banana,lightning,A1,A2,0.0524,0.0712,0.3756,0.3102,0.4273,-0.0842,0.1455,0.1342,0.179,0.322,0.4078,0.5311,0.041,0.0621,0.0834
banana,mango,A1,A2,0.0524,0.0712,0.0426,0.0432,0.4488,-0.0182,0.1024,0.1342,0.179,0.118,0.1832,0.5222,0.0204,0.0445,0.0579
banana,peace,A1,A2,0.0524,0.0712,0.1886,0.2364,0.5329,0.029,0.0659,0.1342,0.179,0.2756,0.2918,0.4763,-0.0286,0.0475,0.0184
banana,peach,A1,A2,0.0524,0.0712,0.0288,0.0424,0.4846,-0.0052,0.0308,0.1342,0.179,0.243,0.215,0.4338,-0.0728,0.1323,-0.1015
