participantId,trialId,trialOrder,responseId,status,rejectReason,description,rejectTime,percentComplete,instruction,responsePrompt,answer,correctAnswer,duration,cleanedDuration,parameters_responseId,parameters_expLang,parameters_taskid,parameters_plateIndex,parameters_correctResponse,parameters_imagePath,parameters_conceptA,parameters_conceptB,parameters_colorA,parameters_colorB,parameters_mgLevel,parameters_usLevel,parameters_pairId,parameters_trialIndex,parameters_swapIndex,parameters_tallerSide,parameters_resetButtonLabel,parameters_seconds,parameters_title,parameters_message
"09b12105-8844-4979-b829-450cea06e9ee","participantTags","null","participantTags","undefined","undefined","undefined","undefined","undefined","undefined","undefined","[""demo"",""ishihara_block"",""pairwiseBlock_1"",""pairwiseBlock_2"",""pairwiseBlock_3""]","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","consent","0","welcome_consent","in progress","undefined","undefined","undefined","98.77","undefined","","{""prolific_pid"":""N/A"",""expLang"":""fr"",""consented"":true,""signedAtISO"":""2026-02-23T06:37:30.009Z"",""countryTaking"":""Madagascar"",""yearsThere"":26,""countryLongest"":""Madagascar"",""nativeLanguage"":""Malgache"",""otherLanguages"":[""Français""],""age"":26,""gender"":""Woman"",""profession"":""secretaire"",""colorBlindness"":""Non""}","undefined","384738","384738","welcome_consent","fr","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","consent","0","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":12,""input"":17,""keydown"":14,""keyup"":12,""mousemove"":195,""mousedown"":14,""mouseup"":19,""resize"":0,""scroll"":19,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","ishihara_instructions","1","","in progress","undefined","undefined","undefined","98.77","undefined","undefined","undefined","undefined","5685","5685","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","ishihara_instructions","1","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":13,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":1,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","ishihara_plate_0","2","","in progress","undefined","undefined","undefined","98.77","undefined","undefined","undefined","undefined","undefined","undefined","undefined","fr","ishiharaResponse","0","12","https://wpivis.github.io/color-exp2/color-exp2/assets/ishihara/ishihara-0.png","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","ishihara_plate_0","2","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","ishihara_plate_10","3","","in progress","undefined","undefined","undefined","98.77","undefined","undefined","undefined","undefined","undefined","undefined","undefined","fr","ishiharaResponse","10","96","https://wpivis.github.io/color-exp2/color-exp2/assets/ishihara/ishihara-10.png","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","ishihara_plate_10","3","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","ishihara_plate_4","4","ishiharaResponse","in progress","undefined","undefined","undefined","98.77","undefined","Ishihara plate response","{""plateIndex"":4,""imagePath"":""https://wpivis.github.io/color-exp2/color-exp2/assets/ishihara/ishihara-4.png"",""responseRaw"":""71"",""responseNormalized"":""71"",""correctResponse"":""74"",""correctNormalized"":""74"",""isCorrect"":false,""timestamp"":""2026-02-23T06:43:38.972Z""}","undefined","30899","30899","undefined","fr","ishiharaResponse","4","74","https://wpivis.github.io/color-exp2/color-exp2/assets/ishihara/ishihara-4.png","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","ishihara_plate_4","4","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","ishihara_plate_5","5","ishiharaResponse","in progress","undefined","undefined","undefined","98.77","undefined","Ishihara plate response","{""plateIndex"":5,""imagePath"":""https://wpivis.github.io/color-exp2/color-exp2/assets/ishihara/ishihara-5.png"",""responseRaw"":""7"",""responseNormalized"":""7"",""correctResponse"":""7"",""correctNormalized"":""7"",""isCorrect"":true,""timestamp"":""2026-02-23T06:43:44.605Z""}","undefined","3537","3537","undefined","fr","ishiharaResponse","5","7","https://wpivis.github.io/color-exp2/color-exp2/assets/ishihara/ishihara-5.png","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","ishihara_plate_5","5","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","ishihara_plate_9","6","ishiharaResponse","in progress","undefined","undefined","undefined","98.77","undefined","Ishihara plate response","{""plateIndex"":9,""imagePath"":""https://wpivis.github.io/color-exp2/color-exp2/assets/ishihara/ishihara-9.png"",""responseRaw"":""35"",""responseNormalized"":""35"",""correctResponse"":""35"",""correctNormalized"":""35"",""isCorrect"":true,""timestamp"":""2026-02-23T06:43:49.662Z""}","undefined","4370","4370","undefined","fr","ishiharaResponse","9","35","https://wpivis.github.io/color-exp2/color-exp2/assets/ishihara/ishihara-9.png","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","ishihara_plate_9","6","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","ishihara_plate_2","7","ishiharaResponse","in progress","undefined","undefined","undefined","98.77","undefined","Ishihara plate response","{""plateIndex"":2,""imagePath"":""https://wpivis.github.io/color-exp2/color-exp2/assets/ishihara/ishihara-2.png"",""responseRaw"":""5"",""responseNormalized"":""5"",""correctResponse"":""5"",""correctNormalized"":""5"",""isCorrect"":true,""timestamp"":""2026-02-23T06:43:58.029Z""}","undefined","7425","7425","undefined","fr","ishiharaResponse","2","5","https://wpivis.github.io/color-exp2/color-exp2/assets/ishihara/ishihara-2.png","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","ishihara_plate_2","7","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","ishihara_plate_3","8","ishiharaResponse","in progress","undefined","undefined","undefined","98.77","undefined","Ishihara plate response","{""plateIndex"":3,""imagePath"":""https://wpivis.github.io/color-exp2/color-exp2/assets/ishihara/ishihara-3.png"",""responseRaw"":""29"",""responseNormalized"":""29"",""correctResponse"":""29"",""correctNormalized"":""29"",""isCorrect"":true,""timestamp"":""2026-02-23T06:44:03.360Z""}","undefined","4379","4379","undefined","fr","ishiharaResponse","3","29","https://wpivis.github.io/color-exp2/color-exp2/assets/ishihara/ishihara-3.png","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","ishihara_plate_3","8","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","ishihara_plate_6","9","ishiharaResponse","in progress","undefined","undefined","undefined","98.77","undefined","Ishihara plate response","{""plateIndex"":6,""imagePath"":""https://wpivis.github.io/color-exp2/color-exp2/assets/ishihara/ishihara-6.png"",""responseRaw"":""45"",""responseNormalized"":""45"",""correctResponse"":""45"",""correctNormalized"":""45"",""isCorrect"":true,""timestamp"":""2026-02-23T06:44:22.521Z""}","undefined","18673","18673","undefined","fr","ishiharaResponse","6","45","https://wpivis.github.io/color-exp2/color-exp2/assets/ishihara/ishihara-6.png","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","ishihara_plate_6","9","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
