participantId,trialId,trialOrder,responseId,status,rejectReason,description,rejectTime,percentComplete,instruction,responsePrompt,answer,correctAnswer,duration,cleanedDuration,parameters_responseId,parameters_expLang,parameters_paramCapture,parameters_taskid,parameters_plateIndex,parameters_correctResponse,parameters_imagePath,parameters_conceptA,parameters_conceptB,parameters_colorA,parameters_colorB,parameters_mgLevel,parameters_usLevel,parameters_pairId,parameters_trialIndex,parameters_swapIndex,parameters_tallerSide,parameters_resetButtonLabel,parameters_seconds,parameters_title,parameters_message
"5dcc27974b54778b69e62ec5","participantTags","null","participantTags","undefined","undefined","undefined","undefined","undefined","undefined","undefined","[""demo"",""ishihara_block"",""pairwiseBlock_1"",""pairwiseBlock_2"",""pairwiseBlock_3""]","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"5dcc27974b54778b69e62ec5","consent","0","welcome_consent","completed","undefined","undefined","undefined","100.00","undefined","","{""prolific_pid"":""5dcc27974b54778b69e62ec5"",""expLang"":""en"",""consented"":true,""signedAtISO"":""2026-02-20T19:55:08.666Z"",""countryTaking"":""United States of America"",""yearsThere"":50,""countryLongest"":""United States of America"",""nativeLanguage"":""English"",""otherLanguages"":[""English""],""age"":50,""gender"":""Woman"",""profession"":""Marketing Manager"",""colorBlindness"":""No""}","undefined","112826","112826","welcome_consent","en","PROLIFIC_PID","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"5dcc27974b54778b69e62ec5","consent","0","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":11,""input"":26,""keydown"":21,""keyup"":20,""mousemove"":56,""mousedown"":12,""mouseup"":12,""resize"":0,""scroll"":21,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"5dcc27974b54778b69e62ec5","ishihara_instructions","1","","completed","undefined","undefined","undefined","100.00","undefined","undefined","undefined","undefined","6778","6778","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"5dcc27974b54778b69e62ec5","ishihara_instructions","1","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":8,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":1,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"5dcc27974b54778b69e62ec5","ishihara_plate_0","2","ishiharaResponse","completed","undefined","undefined","undefined","100.00","undefined","Ishihara plate response","{""plateIndex"":0,""imagePath"":""https://wpivis.github.io/color-exp2/color-exp2/assets/ishihara/ishihara-0.png"",""responseRaw"":""12"",""responseNormalized"":""12"",""correctResponse"":""12"",""correctNormalized"":""12"",""isCorrect"":true,""timestamp"":""2026-02-20T19:55:18.670Z""}","undefined","4149","4149","undefined","en","undefined","ishiharaResponse","0","12","https://wpivis.github.io/color-exp2/color-exp2/assets/ishihara/ishihara-0.png","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"5dcc27974b54778b69e62ec5","ishihara_plate_0","2","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":1,""keydown"":1,""keyup"":1,""mousemove"":8,""mousedown"":1,""mouseup"":1,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"5dcc27974b54778b69e62ec5","ishihara_plate_6","3","ishiharaResponse","completed","undefined","undefined","undefined","100.00","undefined","Ishihara plate response","{""plateIndex"":6,""imagePath"":""https://wpivis.github.io/color-exp2/color-exp2/assets/ishihara/ishihara-6.png"",""responseRaw"":""45"",""responseNormalized"":""45"",""correctResponse"":""45"",""correctNormalized"":""45"",""isCorrect"":true,""timestamp"":""2026-02-20T19:55:22.421Z""}","undefined","3564","3564","undefined","en","undefined","ishiharaResponse","6","45","https://wpivis.github.io/color-exp2/color-exp2/assets/ishihara/ishihara-6.png","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"5dcc27974b54778b69e62ec5","ishihara_plate_6","3","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":1,""input"":1,""keydown"":1,""keyup"":1,""mousemove"":11,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"5dcc27974b54778b69e62ec5","ishihara_plate_4","4","ishiharaResponse","completed","undefined","undefined","undefined","100.00","undefined","Ishihara plate response","{""plateIndex"":4,""imagePath"":""https://wpivis.github.io/color-exp2/color-exp2/assets/ishihara/ishihara-4.png"",""responseRaw"":""74"",""responseNormalized"":""74"",""correctResponse"":""74"",""correctNormalized"":""74"",""isCorrect"":true,""timestamp"":""2026-02-20T19:55:27.073Z""}","undefined","4409","4409","undefined","en","undefined","ishiharaResponse","4","74","https://wpivis.github.io/color-exp2/color-exp2/assets/ishihara/ishihara-4.png","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
