concept1,concept2,mgL_usH1,mgL_usH2,mgH_usH1,mgH_usH2,mgL_usL1,mgL_usL2,mgH_usL1,mgH_usL2
mango,lightning,WH,DP,WH,DG,LY,SC,DR,DG
mango,lightning,WH,DP,WH,DG,LY,SC,DR,SG
mango,lightning,WH,DP,WH,DG,LY,SC,DG,SR
mango,lightning,WH,DP,WH,DG,LY,SC,SG,SR
mango,lightning,WH,DP,WH,DG,LY,LH,DR,DG
mango,lightning,WH,DP,WH,DG,LY,LH,DR,SG
mango,lightning,WH,DP,WH,DG,LY,LH,DG,SR
mango,lightning,WH,DP,WH,DG,LY,LH,SG,SR
mango,lightning,WH,DP,WH,DG,SP,DP,DR,DG
mango,lightning,WH,DP,WH,DG,SP,DP,DR,SG
mango,lightning,WH,DP,WH,DG,SP,DP,DG,SR
mango,lightning,WH,DP,WH,DG,SP,DP,SG,SR
mango,lightning,WH,DP,WH,DG,SP,MP,DR,DG
mango,lightning,WH,DP,WH,DG,SP,MP,DR,SG
mango,lightning,WH,DP,WH,DG,SP,MP,DG,SR
mango,lightning,WH,DP,WH,DG,SP,MP,SG,SR
mango,lightning,WH,DP,WH,DG,SP,MC,DR,DG
mango,lightning,WH,DP,WH,DG,SP,MC,DR,SG
mango,lightning,WH,DP,WH,DG,SP,MC,DG,SR
mango,lightning,WH,DP,WH,DG,SP,MC,SG,SR
mango,lightning,WH,DP,WH,DG,SP,LP,DR,DG
mango,lightning,WH,DP,WH,DG,SP,LP,DR,SG
mango,lightning,WH,DP,WH,DG,SP,LP,DG,SR
mango,lightning,WH,DP,WH,DG,SP,LP,SG,SR
mango,lightning,WH,DP,WH,DG,DP,MP,DR,DG
mango,lightning,WH,DP,WH,DG,DP,MP,DR,SG
mango,lightning,WH,DP,WH,DG,DP,MP,DG,SR
mango,lightning,WH,DP,WH,DG,DP,MP,SG,SR
mango,lightning,WH,DP,WH,DG,DP,LP,DR,DG
mango,lightning,WH,DP,WH,DG,DP,LP,DR,SG
mango,lightning,WH,DP,WH,DG,DP,LP,DG,SR
mango,lightning,WH,DP,WH,DG,DP,LP,SG,SR
mango,lightning,WH,DP,WH,DG,DR,SR,DR,DG
mango,lightning,WH,DP,WH,DG,DR,SR,DR,SG
mango,lightning,WH,DP,WH,DG,DR,SR,DG,SR
mango,lightning,WH,DP,WH,DG,DR,SR,SG,SR
mango,lightning,WH,DP,WH,DG,DC,MC,DR,DG
mango,lightning,WH,DP,WH,DG,DC,MC,DR,SG
mango,lightning,WH,DP,WH,DG,DC,MC,DG,SR
mango,lightning,WH,DP,WH,DG,DC,MC,SG,SR
mango,lightning,WH,DP,WH,DG,SB,LB,DR,DG
mango,lightning,WH,DP,WH,DG,SB,LB,DR,SG
mango,lightning,WH,DP,WH,DG,SB,LB,DG,SR
mango,lightning,WH,DP,WH,DG,SB,LB,SG,SR
mango,lightning,WH,DP,WH,DG,A1,BK,DR,DG
mango,lightning,WH,DP,WH,DG,A1,BK,DR,SG
mango,lightning,WH,DP,WH,DG,A1,BK,DG,SR
mango,lightning,WH,DP,WH,DG,A1,BK,SG,SR
mango,lightning,WH,DP,WH,DG,MP,LP,DR,DG
mango,lightning,WH,DP,WH,DG,MP,LP,DR,SG
mango,lightning,WH,DP,WH,DG,MP,LP,DG,SR
mango,lightning,WH,DP,WH,DG,MP,LP,SG,SR
mango,lightning,WH,DP,WH,DG,DO,LO,DR,DG
mango,lightning,WH,DP,WH,DG,DO,LO,DR,SG
mango,lightning,WH,DP,WH,DG,DO,LO,DG,SR
mango,lightning,WH,DP,WH,DG,DO,LO,SG,SR
mango,lightning,WH,DP,WH,DG,LR,MR,DR,DG
mango,lightning,WH,DP,WH,DG,LR,MR,DR,SG
mango,lightning,WH,DP,WH,DG,LR,MR,DG,SR
mango,lightning,WH,DP,WH,DG,LR,MR,SG,SR
mango,lightning,WH,DP,WH,DG,MR,LO,DR,DG
mango,lightning,WH,DP,WH,DG,MR,LO,DR,SG
mango,lightning,WH,DP,WH,DG,MR,LO,DG,SR
mango,lightning,WH,DP,WH,DG,MR,LO,SG,SR
mango,lightning,WH,DP,WH,DG,MC,LP,DR,DG
mango,lightning,WH,DP,WH,DG,MC,LP,DR,SG
