country,concept_a,concept_b,color_1,color_2,A_to_C1,A_to_C2,B_to_C1,B_to_C2,mu_D,semantic_distance
usa,angry,banana,A1,A2,0.3736,0.3438,0.0524,0.0712,0.0486,0.0785
usa,angry,death,A1,A2,0.3736,0.3438,0.775,0.6698,-0.0754,0.0949
usa,angry,happy,A1,A2,0.3736,0.3438,0.1012,0.1154,0.044,0.0676
usa,angry,justice,A1,A2,0.3736,0.3438,0.302,0.333,0.0608,0.0738
usa,angry,lightning,A1,A2,0.3736,0.3438,0.3756,0.3102,-0.0356,0.0425
usa,angry,mango,A1,A2,0.3736,0.3438,0.0426,0.0432,0.0304,0.0499
usa,angry,peace,A1,A2,0.3736,0.3438,0.1886,0.2364,0.0776,0.1045
usa,angry,peach,A1,A2,0.3736,0.3438,0.0288,0.0424,0.0434,0.0716
usa,angry,sad,A1,A2,0.3736,0.3438,0.7964,0.7026,-0.064,0.0827
usa,angry,safety,A1,A2,0.3736,0.3438,0.223,0.2158,0.0226,0.0303
usa,angry,sandstorm,A1,A2,0.3736,0.3438,0.3454,0.4254,0.1098,0.1275
usa,angry,sick,A1,A2,0.3736,0.3438,0.4512,0.4422,0.0208,0.0236
usa,angry,tree,A1,A2,0.3736,0.3438,0.0992,0.0934,0.024,0.0375
usa,banana,death,A1,A2,0.0524,0.0712,0.775,0.6698,-0.124,0.2262
usa,banana,happy,A1,A2,0.0524,0.0712,0.1012,0.1154,-0.0046,0.0156
usa,banana,justice,A1,A2,0.0524,0.0712,0.302,0.333,0.0122,0.0209
usa,banana,lightning,A1,A2,0.0524,0.0712,0.3756,0.3102,-0.0842,0.1386
usa,banana,mango,A1,A2,0.0524,0.0712,0.0426,0.0432,-0.0182,0.0975
usa,banana,peace,A1,A2,0.0524,0.0712,0.1886,0.2364,0.029,0.0627
usa,banana,peach,A1,A2,0.0524,0.0712,0.0288,0.0424,-0.0052,0.0293
usa,banana,sad,A1,A2,0.0524,0.0712,0.7964,0.7026,-0.1126,0.2178
usa,banana,safety,A1,A2,0.0524,0.0712,0.223,0.2158,-0.026,0.0551
usa,banana,sandstorm,A1,A2,0.0524,0.0712,0.3454,0.4254,0.0612,0.0966
usa,banana,sick,A1,A2,0.0524,0.0712,0.4512,0.4422,-0.0278,0.042
usa,banana,tree,A1,A2,0.0524,0.0712,0.0992,0.0934,-0.0246,0.0898
usa,death,happy,A1,A2,0.775,0.6698,0.1012,0.1154,0.1194,0.2047
usa,death,justice,A1,A2,0.775,0.6698,0.302,0.333,0.1362,0.1762
usa,death,lightning,A1,A2,0.775,0.6698,0.3756,0.3102,0.0398,0.0509
usa,death,mango,A1,A2,0.775,0.6698,0.0426,0.0432,0.1058,0.1976
usa,death,peace,A1,A2,0.775,0.6698,0.1886,0.2364,0.153,0.2228
usa,death,peach,A1,A2,0.775,0.6698,0.0288,0.0424,0.1188,0.2226
usa,death,sad,A1,A2,0.775,0.6698,0.7964,0.7026,0.0114,0.016
usa,death,safety,A1,A2,0.775,0.6698,0.223,0.2158,0.098,0.1424
usa,death,sandstorm,A1,A2,0.775,0.6698,0.3454,0.4254,0.1852,0.2273
usa,death,sick,A1,A2,0.775,0.6698,0.4512,0.4422,0.0962,0.1159
usa,death,tree,A1,A2,0.775,0.6698,0.0992,0.0934,0.0994,0.1741
usa,happy,justice,A1,A2,0.1012,0.1154,0.302,0.333,0.0168,0.0272
usa,happy,lightning,A1,A2,0.1012,0.1154,0.3756,0.3102,-0.0796,0.1245
usa,happy,mango,A1,A2,0.1012,0.1154,0.0426,0.0432,-0.0136,0.0497
usa,happy,peace,A1,A2,0.1012,0.1154,0.1886,0.2364,0.0336,0.0667
usa,happy,peach,A1,A2,0.1012,0.1154,0.0288,0.0424,-6e-4,0.0022
usa,happy,sad,A1,A2,0.1012,0.1154,0.7964,0.7026,-0.108,0.1949
usa,happy,safety,A1,A2,0.1012,0.1154,0.223,0.2158,-0.0214,0.0417
usa,happy,sandstorm,A1,A2,0.1012,0.1154,0.3454,0.4254,0.0658,0.099
usa,happy,sick,A1,A2,0.1012,0.1154,0.4512,0.4422,-0.0232,0.0335
usa,happy,tree,A1,A2,0.1012,0.1154,0.0992,0.0934,-0.02,0.0589
usa,justice,lightning,A1,A2,0.302,0.333,0.3756,0.3102,-0.0964,0.1182
usa,justice,mango,A1,A2,0.302,0.333,0.0426,0.0432,-0.0304,0.0529
usa,justice,peace,A1,A2,0.302,0.333,0.1886,0.2364,0.0168,0.0236
usa,justice,peach,A1,A2,0.302,0.333,0.0288,0.0424,-0.0174,0.0304
usa,justice,sad,A1,A2,0.302,0.333,0.7964,0.7026,-0.1248,0.1662
usa,justice,safety,A1,A2,0.302,0.333,0.223,0.2158,-0.0382,0.0531
