concept_a,concept_b,category,color_a,color_b,deltaS_mg,deltaS_us
angry,banana,MG_low__US_low,A1,A2,0.07688427347359572,0.08362197624406353
angry,happy,MG_low__US_low,A1,A2,0.0674800399319897,0.07204216792161144
angry,peace,MG_low__US_low,A1,A2,0.03215164952619509,0.11122399919398496
angry,peach,MG_low__US_low,A1,A2,0.02211254012121011,0.07620588932544625
angry,sad,MG_low__US_low,A1,A2,0.019391005181947862,0.08811973653023908
angry,sandstorm,MG_low__US_low,A1,A2,0.06936071861183057,0.13576576295734744
angry,sick,MG_low__US_low,A1,A2,0.008239697311561933,0.025191707426092114
angry,tree,MG_low__US_low,A1,A2,0.05745819145204445,0.03990480084118242
banana,happy,MG_low__US_low,A1,A2,0.004732523816362522,0.016643130668333617
banana,lightning,MG_low__US_low,A1,A2,0.056507436013306656,0.1475420836833226
banana,mango,MG_low__US_low,A1,A2,0.04041926067000423,0.10384194040310252
banana,peace,MG_low__US_low,A1,A2,0.043177541379839646,0.0668071983467109
banana,sandstorm,MG_low__US_low,A1,A2,0.011166172623471526,0.1028493580005132
banana,sick,MG_low__US_low,A1,A2,0.0619259443028079,0.044729343915765385
banana,tree,MG_low__US_low,A1,A2,0.016052935606698293,0.09567518335511171
death,safety,MG_low__US_low,A1,A2,0.01581460336678364,0.151612220301242
happy,lightning,MG_low__US_low,A1,A2,0.05584604658272374,0.13252907754412524
happy,mango,MG_low__US_low,A1,A2,0.03959324934174102,0.052895267447161665
happy,peace,MG_low__US_low,A1,A2,0.03553231501331483,0.07098571116443142
happy,sandstorm,MG_low__US_low,A1,A2,0.013806644086074016,0.1053845623461307
happy,sick,MG_low__US_low,A1,A2,0.05440162051909475,0.03572935870692001
happy,tree,MG_low__US_low,A1,A2,0.010307357696527575,0.06278638790218416
justice,lightning,MG_low__US_low,A1,A2,0.07062556918267487,0.1258356029030065
justice,safety,MG_high__US_low,A1,A2,0.3495369798595547,0.05652302181101948
lightning,mango,MG_low__US_low,A1,A2,0.028599800493496197,0.11780627330651239
lightning,tree,MG_low__US_low,A1,A2,0.06359637652004496,0.10093047000829625
mango,peace,MG_low__US_low,A1,A2,0.07449956179806394,0.11162823369617358
mango,sandstorm,MG_low__US_low,A1,A2,0.01541153299413911,0.13516899408116823
mango,tree,MG_low__US_low,A1,A2,0.049910004853623846,0.027180227299285653
peace,peach,MG_low__US_low,A1,A2,0.06010582234147982,0.08165657909911195
peace,sandstorm,MG_low__US_low,A1,A2,0.04237423540225915,0.04554993592722267
peace,sick,MG_low__US_low,A1,A2,0.021857229315001503,0.07768137409720488
peace,tree,MG_low__US_low,A1,A2,0.0253580590607434,0.1157652681467009
peach,sick,MG_low__US_low,A1,A2,0.029958529687708957,0.03700649672870315
sad,sick,MG_low__US_low,A1,A2,0.026681077940133635,0.11149678076552916
sandstorm,sick,MG_low__US_low,A1,A2,0.05854921112770661,0.10628194757729448
sandstorm,tree,MG_low__US_low,A1,A2,0.021922448885683232,0.13902902758294755
sick,tree,MG_low__US_low,A1,A2,0.0452088242954094,0.00499293178199034
angry,happy,MG_high__US_high,A1,A3,0.5157928369386751,0.635119012091709
angry,peace,MG_high__US_high,A1,A3,0.5916697483781475,0.7505821570924343
angry,sick,MG_low__US_low,A1,A3,0.01997799178925641,0.03826978798585379
banana,death,MG_high__US_high,A1,A3,0.4715385231692824,0.5936992980937972
banana,mango,MG_low__US_low,A1,A3,0.04555272004937061,0.011952498514458565
banana,peace,MG_high__US_high,A1,A3,0.5253130404026845,0.6273251441198135
banana,sad,MG_high__US_high,A1,A3,0.3352454068413804,0.6542291968649141
death,happy,MG_high__US_high,A1,A3,0.6813170188937021,0.7001352346496288
death,mango,MG_high__US_high,A1,A3,0.5004139487361343,0.6004828204977457
death,peace,MG_high__US_high,A1,A3,0.7390798622381651,0.7926290593713448
death,peach,MG_high__US_high,A1,A3,0.35969158135321155,0.6550922121054166
death,tree,MG_high__US_high,A1,A3,0.3359520546561987,0.5838093775375064
happy,sad,MG_high__US_high,A1,A3,0.5860883723403538,0.7410680696622789
justice,lightning,MG_high__US_low,A1,A3,0.41632774642073755,0.0014710276595342742
justice,peach,MG_high__US_low,A1,A3,0.5641558907142505,0.11422633501328971
justice,sad,MG_high__US_high,A1,A3,0.6631272245911308,0.6071838332359365
justice,safety,MG_high__US_low,A1,A3,0.3843798217796095,0.042089566090525
justice,sandstorm,MG_high__US_low,A1,A3,0.583713292746521,0.14739089849493064
lightning,safety,MG_low__US_low,A1,A3,0.023099974846027882,0.039166655623614544
mango,peace,MG_high__US_high,A1,A3,0.4997124929359127,0.62875129515041706
mango,sad,MG_high__US_high,A1,A3,0.36521167000794774,0.6611426781140932
peace,sad,MG_high__US_high,A1,A3,0.6513896763750235,0.8216921667775954
peace,sick,MG_high__US_high,A1,A3,0.5353419781316782,0.6913553446788965
peach,tree,MG_low__US_low,A1,A3,0.052019414104302386,0.11749228721472571
sandstorm,tree,MG_low__US_low,A1,A3,0.07682095299329861,0.025088584279258974
banana,justice,MG_low__US_low,A1,BK,0.07760066343245464,0.0044945615600604505
