concept_a,concept_b,color_a,color_b,deltaS_mg,deltaS_us,mg_level,us_level,category
angry,banana,BK,MP,0.5167812993071998,0.699713816489143,high,high,MG_high__US_high
angry,banana,DO,WH,0.3527793877724321,0.050709460488868485,high,low,MG_high__US_low
angry,banana,LY,SG,0.011109079562282798,0.7860378595430935,low,high,MG_low__US_high
angry,banana,DY,MO,0.06594258698553768,0.05927891236188998,low,low,MG_low__US_low
angry,death,MG,SR,0.35196952716773877,0.7506171665690393,high,high,MG_high__US_high
angry,death,MO,MP,0.45148385760024023,0.07114300979678423,high,low,MG_high__US_low
angry,death,BK,MP,0.0636008603442782,0.5981179210822587,low,high,MG_low__US_high
angry,death,MR,SO,0.03626827233909946,0.1071501230278753,low,low,MG_low__US_low
angry,happy,BK,LR,0.5885631049305218,0.9558066708573161,high,high,MG_high__US_high
angry,happy,MC,WH,0.5467191809477769,0.038576110320657886,high,low,MG_high__US_low
angry,happy,DY,SP,0.06225947866383441,0.6319074343177078,low,high,MG_low__US_high
angry,happy,LH,SY,0.03305495825241889,0.09511282441505209,low,low,MG_low__US_low
angry,justice,DY,WH,0.7826964845339184,0.7084001709940484,high,high,MG_high__US_high
angry,justice,A3,SB,0.35025761181390097,0.005954571678241205,high,low,MG_high__US_low
angry,justice,DG,MR,0.01178999912284362,0.6169161083177452,low,high,MG_low__US_high
angry,justice,LG,LH,0.0582601201529549,0.10734232276479982,low,low,MG_low__US_low
angry,lightning,DR,LC,0.34170312590089447,0.9789185956153379,high,high,MG_high__US_high
angry,lightning,A3,DP,0.043874677998897216,0.722410864582248,low,high,MG_low__US_high
angry,lightning,LC,SB,0.06060295956009032,0.09046272071907957,low,low,MG_low__US_low
angry,mango,DR,LY,0.7370534930057417,0.9062248557942449,high,high,MG_high__US_high
angry,mango,LH,SG,0.38479385990151327,0.09875532380323238,high,low,MG_high__US_low
angry,mango,DC,LO,0.07888171477674621,0.775095468230137,low,high,MG_low__US_high
angry,mango,MC,SB,0.07117652736384117,0.06228451644561256,low,low,MG_low__US_low
angry,peace,DY,LH,0.3996091419928185,0.7258923294883382,high,high,MG_high__US_high
angry,peace,A3,MB,0.38893390383990584,0.11363096561468966,high,low,MG_high__US_low
angry,peace,LP,SO,0.046744022011489805,0.6427365911281446,low,high,MG_low__US_high
angry,peace,LB,SB,0.07214134601700906,0.06653236086418057,low,low,MG_low__US_low
angry,peach,A1,LY,0.34932727638243377,0.8039441808101646,high,high,MG_high__US_high
angry,peach,LP,SG,0.4057942995819577,0.09694268084557578,high,low,MG_high__US_low
angry,peach,MO,WH,0.052295580965279476,0.8963111446038472,low,high,MG_low__US_high
angry,peach,LB,SB,0.03938416898331315,0.043135207542575715,low,low,MG_low__US_low
angry,sad,DB,SR,0.4949133161660648,0.9624286132594528,high,high,MG_high__US_high
angry,sad,MP,SC,0.4243451063589987,0.04823547518878568,high,low,MG_high__US_low
angry,sad,LH,MB,0.06190285135414614,0.606787956209015,low,high,MG_low__US_high
angry,sad,MO,SP,0.0627989155691917,0.14083395231102586,low,low,MG_low__US_low
angry,safety,A3,SR,0.39713125531015914,0.7286157774023216,high,high,MG_high__US_high
angry,safety,A1,MC,0.07980624869615549,0.5953755083900325,low,high,MG_low__US_high
angry,safety,LO,MH,0.011171152065445833,0.03721106661013729,low,low,MG_low__US_low
angry,sandstorm,SB,SR,0.5054945767891108,0.9463410777027426,high,high,MG_high__US_high
angry,sandstorm,A2,MC,0.3388542838890747,0.13352091059434357,high,low,MG_high__US_low
angry,sandstorm,LR,MB,0.03491729538095001,0.10136368198611695,low,low,MG_low__US_low
angry,sick,DB,SR,0.42913599154771576,0.6720373534919228,high,high,MG_high__US_high
angry,sick,A2,SY,0.35737121297059593,0.013490896889454651,high,low,MG_high__US_low
angry,sick,MC,MH,0.06659008450426912,0.6675179194587044,low,high,MG_low__US_high
angry,sick,LP,SB,0.0015616527545870285,0.017331402582752398,low,low,MG_low__US_low
angry,tree,DP,SR,0.37520012127379365,0.7452445827555774,high,high,MG_high__US_high
angry,tree,MH,SG,0.43182141376552585,0.004255208581998515,high,low,MG_high__US_low
angry,tree,A2,SC,0.05031889320015703,0.5854348386542647,low,high,MG_low__US_high
angry,tree,SY,WH,0.02500391356038989,0.06728831587628331,low,low,MG_low__US_low
banana,death,LC,LY,0.438296023767645,0.9625238787023802,high,high,MG_high__US_high
banana,death,LO,SO,0.3365472749823739,0.01986625072286552,high,low,MG_high__US_low
banana,death,LY,SO,0.04996852623411607,0.7298536970657228,low,high,MG_low__US_high
banana,death,DO,LB,0.06556223554117668,0.08864655739894967,low,low,MG_low__US_low
banana,happy,A1,LB,0.39388384684697897,0.7993713271280349,high,high,MG_high__US_high
