concept_a,concept_b,color_a,color_b,deltaS_mg,deltaS_us,mg_level,us_level,category,extremeness
angry,banana,DR,SY,0.907979590107588,0.9999624728939507,high,high,MG_high__US_high,1.9079420630015387
angry,banana,DO,MG,0.5515189764627466,0.12270026150198854,high,low,MG_high__US_low,0.4288187149607581
angry,banana,LY,SG,0.011109079562282798,0.7860378595430935,low,high,MG_low__US_high,0.7749287799808107
angry,banana,LC,SB,0.0238708787643247,0,low,low,MG_low__US_low,-0.0238708787643247
angry,death,A1,SR,0.7161158906122456,0.8928807761596786,high,high,MG_high__US_high,1.6089966667719242
angry,death,LC,MP,0.4615394185107078,0.0021723834736959713,high,low,MG_high__US_low,0.4593670350370118
angry,death,BK,SP,0.05237537657602992,0.6446344657661371,low,high,MG_low__US_high,0.5922590891901072
angry,death,DH,DY,0.005247950563525894,0.007572078670250892,low,low,MG_low__US_low,-0.012820029233776786
angry,happy,BK,WH,0.8771686813729314,0.929619578178424,high,high,MG_high__US_high,1.8067882595513554
angry,happy,MC,WH,0.5467191809477769,0.038576110320657886,high,low,MG_high__US_low,0.508143070627119
angry,happy,A3,SC,0.01804677273389621,0.6054123116609558,low,high,MG_low__US_high,0.5873655389270596
angry,happy,DY,MR,0.0067834829016236164,0.013609328899317763,low,low,MG_low__US_low,-0.02039281180094138
angry,justice,DR,WH,0.7736157885211896,0.8968765774804393,high,high,MG_high__US_high,1.6704923660016289
angry,justice,A3,DC,0.5714629138659073,0.11363903014841364,high,low,MG_high__US_low,0.45782388371749366
angry,justice,DC,MR,0.008222452480010689,0.6504784351433495,low,high,MG_low__US_high,0.6422559826633387
angry,justice,LG,LP,0.01350348907546467,0.005943327060567549,low,low,MG_low__US_low,-0.01944681613603222
angry,lightning,DR,WH,0.5248762946290606,0.9993753099917688,high,high,MG_high__US_high,1.5242516046208294
angry,lightning,MR,SY,0.030398724960177648,0.865509770223069,low,high,MG_low__US_high,0.8351110452628914
angry,lightning,MH,SG,0.0018090944372710083,0.020016616602080983,low,low,MG_low__US_low,-0.02182571103935199
angry,mango,BK,SG,0.8226679529418601,0.9321700317080608,high,high,MG_high__US_high,1.754837984649921
angry,mango,LR,SY,0.4342917228430392,0.01725804420977073,high,low,MG_high__US_low,0.41703367863326846
angry,mango,DB,LO,0.029267151864939445,0.7954149527276482,low,high,MG_low__US_high,0.7661478008627087
angry,mango,MG,SH,0.0033451486330722258,0.018156709965486906,low,low,MG_low__US_low,-0.02150185859855913
angry,peace,DR,WH,0.9011483056494503,0.9832539595307395,high,high,MG_high__US_high,1.8844022651801897
angry,peace,LP,WH,0.5716763581403481,0.06317367034889987,high,low,MG_high__US_low,0.5085026877914482
angry,peace,SB,SH,0.03379732084260961,0.6816635625020462,low,high,MG_low__US_high,0.6478662416594365
angry,peace,DG,MY,0.018836445391856804,0.010275771925625177,low,low,MG_low__US_low,-0.02911221731748198
angry,peach,BK,SG,0.7032764852682121,0.9378548894407774,high,high,MG_high__US_high,1.6411313747089895
angry,peach,LP,SG,0.4057942995819577,0.09694268084557578,high,low,MG_high__US_low,0.3088516187363819
angry,peach,LO,MB,0.023353946538033465,0.9860715337844421,low,high,MG_low__US_high,0.9627175872464087
angry,peach,DH,LB,0.005919270714247027,0.008005711573619845,low,low,MG_low__US_low,-0.013924982287866872
angry,sad,A1,SR,0.6777099425028639,0.9593194196336414,high,high,MG_high__US_high,1.6370293621365053
angry,sad,LG,MP,0.4648910020114936,0.06877844316374193,high,low,MG_high__US_low,0.39611255884775165
angry,sad,MB,MR,0.07055023678077538,0.7653612255722966,low,high,MG_low__US_high,0.6948109887915213
angry,sad,DG,MG,0.003659066823878232,0.0069934725720894875,low,low,MG_low__US_low,-0.01065253939596772
angry,safety,DR,SB,0.5451066008889385,0.9015774911637189,high,high,MG_high__US_high,1.4466840920526574
angry,safety,A1,LC,0.06441274590850332,0.6428988932655668,low,high,MG_low__US_high,0.5784861473570635
angry,safety,DH,MY,0.0025463727872794273,0.0016009011985476107,low,low,MG_low__US_low,-0.004147273985827038
angry,sandstorm,MY,SR,0.7631302351430509,0.9965711279295424,high,high,MG_high__US_high,1.7597013630725933
angry,sandstorm,A2,MC,0.3388542838890747,0.13352091059434357,high,low,MG_high__US_low,0.20533337329473111
angry,sandstorm,DC,LP,2.89723733574887e-4,0.018070440637982355,low,low,MG_low__US_low,-0.01836016437155724
angry,sick,MH,SR,0.42636412985265815,0.9294502975159136,high,high,MG_high__US_high,1.3558144273685717
angry,sick,SY,WH,0.5120931145114467,0.07312346893713229,high,low,MG_high__US_low,0.4389696455743144
angry,sick,MH,SP,0.025385021988975298,0.8366482776087938,low,high,MG_low__US_high,0.8112632556198185
angry,sick,A3,LB,0.00418814896112224,0.002968419826060442,low,low,MG_low__US_low,-0.007156568787182682
angry,tree,DR,SG,0.9143565774457363,0.9923690122979192,high,high,MG_high__US_high,1.9067255897436555
angry,tree,MH,SG,0.43182141376552585,0.004255208581998515,high,low,MG_high__US_low,0.42756620518352734
angry,tree,MH,MY,0.049598422271717124,0.6892278377669379,low,high,MG_low__US_high,0.6396294154952207
angry,tree,DC,LH,0.013881202669389303,9.99640100584287e-4,low,low,MG_low__US_low,-0.01488084276997359
banana,death,BK,SY,0.9992195395328343,0.9999999996894307,high,high,MG_high__US_high,1.999219539222265
banana,death,DO,MG,0.5633342168642379,0.06989579082492053,high,low,MG_high__US_low,0.49343842603931737
banana,death,LY,MG,0.035780819353598614,0.9190038177841768,low,high,MG_low__US_high,0.8832229984305782
banana,death,DC,MR,0.03195476134387043,0.02549090298501122,low,low,MG_low__US_low,-0.05744566432888165
banana,happy,SB,SY,0.6949419483211043,0.9379226714364282,high,high,MG_high__US_high,1.6328646197575325
banana,happy,MG,WH,0.6609634876128718,0.03944919587568885,high,low,MG_high__US_low,0.621514291737183
banana,happy,DO,LG,0.020064379812459565,0.8026404168663184,low,high,MG_low__US_high,0.7825760370538588
banana,happy,A1,A2,0.004732523816362522,0.016643130668333617,low,low,MG_low__US_low,-0.02137565448469614
banana,justice,A3,SY,0.9091777570568669,0.9808475739921649,high,high,MG_high__US_high,1.8900253310490318
banana,justice,DG,LC,0.5737970637413257,0.02918628175859772,high,low,MG_high__US_low,0.5446107819827279
banana,justice,DC,MC,0.006268426295757967,0.006547938816126919,low,low,MG_low__US_low,-0.012816365111884886
banana,lightning,SY,WH,0.7487020001257321,0.9747770802434348,high,high,MG_high__US_high,1.7234790803691669
banana,lightning,MO,SG,0.501624008413398,0.017319906443325594,high,low,MG_high__US_low,0.48430410197007245
banana,lightning,DP,WH,0.04036805030795754,0.9566498159852479,low,high,MG_low__US_high,0.9162817656772904
banana,lightning,BK,SB,0.003208857449918723,0.005157982251917159,low,low,MG_low__US_low,-0.008366839701835882
banana,mango,SO,SY,0.34046063933115667,0.9537740056284003,high,high,MG_high__US_high,1.294234644959557
banana,mango,DB,SO,0.023292470452610736,0.8325144151708141,low,high,MG_low__US_high,0.8092219447182034
banana,mango,MC,SP,0.0031338847455266716,0.002389199293214128,low,low,MG_low__US_low,-0.0055230840387408
banana,peace,SY,WH,0.9150179238802998,0.9804892770716318,high,high,MG_high__US_high,1.8955072009519316
banana,peace,A3,MG,0.6884849713907863,0.10720544117149489,high,low,MG_high__US_low,0.5812795302192915
banana,peace,DY,MG,0.012555327938593486,0.7343857618615182,low,high,MG_low__US_high,0.7218304339229247
banana,peace,DG,SG,0.0173429018855078,0.016869330490722367,low,low,MG_low__US_low,-0.03421223237623017
banana,peach,SR,SY,0.7430885744629672,0.9830923584543032,high,high,MG_high__US_high,1.7261809329172704
banana,peach,MY,SR,0.4630221580113383,0.0299841827533745,high,low,MG_high__US_low,0.4330379752579638
banana,peach,A1,MO,0.02209926691870856,0.9185913383594917,low,high,MG_low__US_high,0.8964920714407831
banana,peach,LC,SB,0.0069265204683051085,0.0025726716936480543,low,low,MG_low__US_low,-0.009499192161953163
banana,sad,BK,SY,0.9768913377160997,0.9999966547242174,high,high,MG_high__US_high,1.976887992440317
banana,sad,MG,MP,0.6637660853983931,0.10851588972154791,high,low,MG_high__US_low,0.5552501956768452
banana,sad,LY,MG,0.017214869725414916,0.9012257306132005,low,high,MG_low__US_high,0.8840108608877857
banana,sad,MY,SO,0.0026517206949590033,0.031949796274847175,low,low,MG_low__US_low,-0.03460151696980618
banana,safety,SB,SY,0.8063520069140897,0.9451278670528465,high,high,MG_high__US_high,1.7514798739669362
banana,safety,BK,SH,0.5325389105454532,0.059309439793737484,high,low,MG_high__US_low,0.47322947075171573
banana,safety,LY,MG,0.0017459396275907313,0.777462325264139,low,high,MG_low__US_high,0.7757163856365483
banana,safety,DB,WH,0.0029022088920707123,0.0034610108397492567,low,low,MG_low__US_low,-0.006363219731819969
banana,sandstorm,A1,SY,0.8049031235196877,0.9725926229943578,high,high,MG_high__US_high,1.7774957465140455
banana,sandstorm,BK,SO,0.44268475180618405,0.05023683290843661,high,low,MG_high__US_low,0.39244791889774744
banana,sandstorm,A2,DO,0.01637620337895096,0.0205411765952061,low,low,MG_low__US_low,-0.03691737997415706
banana,sick,A1,SY,0.9288722246746686,0.9730072271619117,high,high,MG_high__US_high,1.9018794518365802
banana,sick,SH,WH,0.7037361666281194,0.022567066188206697,high,low,MG_high__US_low,0.6811691004399127
banana,sick,LY,SG,0.011039010495304868,0.6600378139984537,low,high,MG_low__US_high,0.6489988035031489
banana,sick,LP,SP,0.011763239421630933,0.008310383137031252,low,low,MG_low__US_low,-0.020073622558662185
banana,tree,DC,SY,0.8024246709043559,0.9816645650600835,high,high,MG_high__US_high,1.7840892359644394
banana,tree,BK,SO,0.39955681708449164,0.041248065148683344,high,low,MG_high__US_low,0.3583087519358083
banana,tree,BK,DH,0.04977341011033909,0.8570344723928887,low,high,MG_low__US_high,0.8072610622825496
banana,tree,LP,SP,0.009356465085259558,0.001895459776377173,low,low,MG_low__US_low,-0.01125192486163673
death,happy,BK,SY,0.9819791182854152,0.9999997520373847,high,high,MG_high__US_high,1.9819788703227998
death,happy,DP,SR,0.5962935881313491,0.056435306538130225,high,low,MG_high__US_low,0.5398582815932189
death,happy,A2,DP,0.06376589919058828,0.9022479367116418,low,high,MG_low__US_high,0.8384820375210535
death,happy,DG,MB,0.01837630629743492,0.007276133763833403,low,low,MG_low__US_low,-0.025652440061268322
death,justice,BK,SG,0.848328703387176,0.8783330347619098,high,high,MG_high__US_high,1.7266617381490859
death,justice,DP,LC,0.583438751055847,0.00946295111454587,high,low,MG_high__US_low,0.5739757999413011
death,justice,A2,MP,0.020544565029160244,0.6674332053501186,low,high,MG_low__US_high,0.6468886403209584
death,justice,LH,LO,0.007141883892795631,0.022243646337466005,low,low,MG_low__US_low,-0.029385530230261636
death,lightning,BK,SY,0.7897148321265397,0.9869617605098817,high,high,MG_high__US_high,1.7766765926364214
death,lightning,A1,DR,0.5752388061805351,0.03608136191601563,high,low,MG_high__US_low,0.5391574442645195
death,lightning,DR,SY,0.07291466224115117,0.9512004219825538,low,high,MG_low__US_high,0.8782857597414027
death,lightning,LB,SB,0.024258266241968585,0.0020308555901487058,low,low,MG_low__US_low,-0.02628912183211729
death,mango,BK,SG,0.9890994499300756,0.9999382885219714,high,high,MG_high__US_high,1.989037738452047
death,mango,DC,DP,0.5766369251816774,0.06101973817815032,high,low,MG_high__US_low,0.5156171870035271
death,mango,DG,SO,0.013304231782510945,0.8680912122464459,low,high,MG_low__US_high,0.854786980463935
death,mango,LB,SB,0.009226429603522934,0.04338578989572017,low,low,MG_low__US_low,-0.05261221949924311
death,peace,BK,SG,0.9451963578446445,0.9981231368855841,high,high,MG_high__US_high,1.9433194947302286
death,peace,DP,SH,0.6476267432291392,0.03763198344829988,high,low,MG_high__US_low,0.6099947597808393
death,peace,A2,SP,0.040421405048116865,0.832321152312268,low,high,MG_low__US_high,0.7918997472641511
death,peace,DB,MY,0.008792437423507549,0.005961182438560864,low,low,MG_low__US_low,-0.014753619862068412
death,peach,BK,SG,0.9605589176941476,0.9999996171831997,high,high,MG_high__US_high,1.9605585348773473
death,peach,DG,SP,0.6531151862915974,0.07849296286293472,high,low,MG_high__US_low,0.5746222234286626
death,peach,LB,LO,0.01234475943336144,0.9788082033548431,low,high,MG_low__US_high,0.9664634439214816
death,peach,DC,DO,0.016286357919679195,0.010443011800032043,low,low,MG_low__US_low,-0.026729369719711238
death,sad,BK,DC,0.35851144175345095,0.646635951965145,high,high,MG_high__US_high,1.005147393718596
death,sad,MO,SP,0.34088262319769336,0.1301257052491056,high,low,MG_high__US_low,0.21075691794858775
death,sad,MB,SY,0.03394043881075004,0.6554196592921073,low,high,MG_low__US_high,0.6214792204813573
death,sad,LH,LY,0.005273664020688074,0,low,low,MG_low__US_low,-0.005273664020688074
death,safety,BK,SG,0.8344431844130844,0.9982192840175408,high,high,MG_high__US_high,1.8326624684306252
death,safety,DB,SP,0.5550012797445514,0.008680350861387132,high,low,MG_high__US_low,0.5463209288831643
death,safety,A1,DP,0.026896423431580496,0.8486603256212426,low,high,MG_low__US_high,0.8217639021896621
death,safety,DG,MG,0.017396162640799906,0.00989438185024305,low,low,MG_low__US_low,-0.027290544491042956
death,sandstorm,BK,MO,0.7943511345516849,0.991346420411547,high,high,MG_high__US_high,1.785697554963232
death,sandstorm,MB,SP,0.5491870446075435,0.014569638652047023,high,low,MG_high__US_low,0.5346174059554964
death,sandstorm,BK,SP,0.03214733008394033,0.9240396354552152,low,high,MG_low__US_high,0.8918923053712748
death,sandstorm,LG,SC,0.01230041826618411,0.014151276105548893,low,low,MG_low__US_low,-0.026451694371733003
