concept_a,concept_b,category,color_a,color_b,deltaS_mg,deltaS_us,extremeness
angry,banana,MG_high__US_high,DR,SY,0.907979590107588,0.9999624728939507,1.9079420630015387
angry,banana,MG_high__US_high,SR,SY,0.8822666038287053,0.9998208772364514,1.8820874810651567
angry,banana,MG_high__US_high,BK,SY,0.8554048281528628,0.9912926450558168,1.8466974732086796
angry,banana,MG_high__US_high,DR,LY,0.8421650383645749,0.9989105609934528,1.8410755993580277
angry,banana,MG_high__US_high,DR,SH,0.859970007115161,0.976504768841848,1.836474775957009
angry,banana,MG_high__US_low,DO,MG,0.5515189764627466,0.12270026150198854,0.4288187149607581
angry,banana,MG_high__US_low,DG,DO,0.505842010493204,0.1353215231623075,0.3705204873308965
angry,banana,MG_high__US_low,LO,SH,0.5191286917453057,0.14933088004997908,0.36979781169532666
angry,banana,MG_high__US_low,DO,SO,0.3866012311763307,0.06757460670692567,0.31902662446940505
angry,banana,MG_high__US_low,MG,MO,0.3316373620429954,0.018106137236397757,0.3135312248065976
angry,banana,MG_low__US_high,LY,SG,0.011109079562282798,0.7860378595430935,0.7749287799808107
angry,banana,MG_low__US_high,MB,MR,0.07899133846656925,0.6775520594528734,0.5985607209863042
angry,banana,MG_low__US_low,LC,SB,0.0238708787643247,0,-0.0238708787643247
angry,banana,MG_low__US_low,DB,LR,0.019821385596064334,0.011099318521084811,-0.030920704117149145
angry,banana,MG_low__US_low,SB,SC,0.0011384745093210302,0.03153431273304119,-0.03267278724236222
angry,banana,MG_low__US_low,LB,SB,0.028617966078913648,0.011850845486455874,-0.04046881156536952
angry,banana,MG_low__US_low,LB,MC,0.011749120479769282,0.030141421450525507,-0.04189054193029479
angry,death,MG_high__US_high,A1,SR,0.7161158906122456,0.8928807761596786,1.6089966667719242
angry,death,MG_high__US_high,BK,SR,0.6975789804805024,0.8856725798641765,1.5832515603446788
angry,death,MG_high__US_high,SR,WH,0.6903986360685348,0.8506409395958707,1.5410395756644055
angry,death,MG_high__US_high,A1,DR,0.7092940756209647,0.7892287227775769,1.4985227983985416
angry,death,MG_high__US_high,BK,DR,0.6900881234986467,0.759735848430366,1.4498239719290127
angry,death,MG_high__US_low,LC,MP,0.4615394185107078,0.0021723834736959713,0.4593670350370118
angry,death,MG_high__US_low,MG,MP,0.46354880795639186,0.012156116803934358,0.4513926911524575
angry,death,MG_high__US_low,MP,SG,0.4864582473598013,0.03624261337035439,0.4502156339894469
angry,death,MG_high__US_low,DP,SH,0.4547591866899214,0.007503865559365774,0.4472553211305556
angry,death,MG_high__US_low,DP,LR,0.5093588392098731,0.06612463586369838,0.44323420334617475
angry,death,MG_low__US_high,BK,SP,0.05237537657602992,0.6446344657661371,0.5922590891901072
angry,death,MG_low__US_high,BK,DP,0.03793640154353395,0.5924056094987098,0.5544692079551758
