conA,conB,col1,col2,x1_us,x2_us,x3_us,x4_us,dX_us,p_gt0_us,dS_us,x1_mg,x2_mg,x3_mg,x4_mg,dX_mg,p_gt0_mg,dS_mg,dS_diff
angry,banana,A1,A2,0.3736,0.3438,0.0524,0.0712,0.0486,0.5393,0.0785,0.3566,0.346,0.1342,0.179,0.0554,0.5403,0.0805,-0.002
angry,death,A1,A2,0.3736,0.3438,0.775,0.6698,-0.0754,0.4525,0.0949,0.3566,0.346,0.7284,0.5956,-0.1222,0.4264,0.1471,-0.0522
angry,happy,A1,A2,0.3736,0.3438,0.1012,0.1154,0.044,0.5338,0.0676,0.3566,0.346,0.199,0.241,0.0526,0.5353,0.0707,-0.0031
angry,justice,A1,A2,0.3736,0.3438,0.302,0.333,0.0608,0.5369,0.0738,0.3566,0.346,0.2456,0.392,0.157,0.5956,0.1911,-0.1173
angry,lightning,A1,A2,0.3736,0.3438,0.3756,0.3102,-0.0356,0.4787,0.0425,0.3566,0.346,0.322,0.4078,0.0964,0.5569,0.1138,-0.0713
angry,mango,A1,A2,0.3736,0.3438,0.0426,0.0432,0.0304,0.525,0.0499,0.3566,0.346,0.118,0.1832,0.0758,0.5554,0.1108,-0.0609
angry,peace,A1,A2,0.3736,0.3438,0.1886,0.2364,0.0776,0.5522,0.1045,0.3566,0.346,0.2756,0.2918,0.0268,0.5168,0.0337,0.0708
angry,peach,A1,A2,0.3736,0.3438,0.0288,0.0424,0.0434,0.5358,0.0716,0.3566,0.346,0.243,0.215,-0.0174,0.4884,0.0232,0.0484
angry,sad,A1,A2,0.3736,0.3438,0.7964,0.7026,-0.064,0.4586,0.0827,0.3566,0.346,0.6488,0.621,-0.0172,0.4898,0.0203,0.0624
angry,safety,A1,A2,0.3736,0.3438,0.223,0.2158,0.0226,0.5151,0.0303,0.3566,0.346,0.3688,0.223,-0.1352,0.416,0.168,-0.1377
angry,sandstorm,A1,A2,0.3736,0.3438,0.3454,0.4254,0.1098,0.5638,0.1275,0.3566,0.346,0.4604,0.5138,0.064,0.5363,0.0727,0.0548
angry,sick,A1,A2,0.3736,0.3438,0.4512,0.4422,0.0208,0.5118,0.0236,0.3566,0.346,0.5234,0.5204,0.0076,0.5043,0.0086,0.015
angry,tree,A1,A2,0.3736,0.3438,0.0992,0.0934,0.024,0.5187,0.0375,0.3566,0.346,0.2184,0.2534,0.0456,0.5301,0.0602,-0.0227
