conA,conB,col1,col2,x1_us,x2_us,x3_us,x4_us,dX_us,p_gt0_us,dS_us,x1_mg,x2_mg,x3_mg,x4_mg,dX_mg,p_gt0_mg,dS_mg,dS_diff
angry,banana,A1,A2,0.3736,0.3438,0.0524,0.0712,0.0486,0.5418,0.0836,0.3566,0.346,0.1342,0.179,0.0554,0.5384,0.0769,0.0067
angry,death,A1,A2,0.3736,0.3438,0.775,0.6698,-0.0754,0.4495,0.1011,0.3566,0.346,0.7284,0.5956,-0.1222,0.4298,0.1405,-0.0394
angry,happy,A1,A2,0.3736,0.3438,0.1012,0.1154,0.044,0.536,0.072,0.3566,0.346,0.199,0.241,0.0526,0.5337,0.0675,0.0045
angry,justice,A1,A2,0.3736,0.3438,0.302,0.333,0.0608,0.5393,0.0786,0.3566,0.346,0.2456,0.392,0.157,0.5913,0.1826,-0.104
angry,lightning,A1,A2,0.3736,0.3438,0.3756,0.3102,-0.0356,0.4774,0.0453,0.3566,0.346,0.322,0.4078,0.0964,0.5543,0.1087,-0.0634
angry,mango,A1,A2,0.3736,0.3438,0.0426,0.0432,0.0304,0.5266,0.0532,0.3566,0.346,0.118,0.1832,0.0758,0.5529,0.1058,-0.0526
angry,peace,A1,A2,0.3736,0.3438,0.1886,0.2364,0.0776,0.5556,0.1112,0.3566,0.346,0.2756,0.2918,0.0268,0.5161,0.0322,0.079
angry,peach,A1,A2,0.3736,0.3438,0.0288,0.0424,0.0434,0.5381,0.0762,0.3566,0.346,0.243,0.215,-0.0174,0.4889,0.0221,0.0541
angry,sad,A1,A2,0.3736,0.3438,0.7964,0.7026,-0.064,0.4559,0.0881,0.3566,0.346,0.6488,0.621,-0.0172,0.4903,0.0194,0.0687
angry,safety,A1,A2,0.3736,0.3438,0.223,0.2158,0.0226,0.5161,0.0322,0.3566,0.346,0.3688,0.223,-0.1352,0.4198,0.1604,-0.1282
angry,sandstorm,A1,A2,0.3736,0.3438,0.3454,0.4254,0.1098,0.5679,0.1358,0.3566,0.346,0.4604,0.5138,0.064,0.5347,0.0694,0.0664
angry,sick,A1,A2,0.3736,0.3438,0.4512,0.4422,0.0208,0.5126,0.0252,0.3566,0.346,0.5234,0.5204,0.0076,0.5041,0.0082,0.017
angry,tree,A1,A2,0.3736,0.3438,0.0992,0.0934,0.024,0.52,0.0399,0.3566,0.346,0.2184,0.2534,0.0456,0.5287,0.0575,-0.0176
banana,death,A1,A2,0.0524,0.0712,0.775,0.6698,-0.124,0.3798,0.2405,0.1342,0.179,0.7284,0.5956,-0.1776,0.3756,0.2488,-0.0083
