concept1,concept2,color1,color2,deltaS_sample,deltaS_fit
sick,safety,WH,LY,0.10496593885304639,0.10657969300364778
sick,mango,WH,LY,0.47853245415082823,0.4780520111894697
sick,justice,WH,LY,0.0674606033539199,0.07105477775428493
sick,sad,WH,LY,0.14764375463169732,0.153820856014677
sick,tree,WH,LY,0.3668150674817172,0.38988620960762543
sick,peach,WH,LY,0.38165249421392144,0.3931729388869498
sick,angry,WH,LY,0.2880237450063885,0.30893616473170904
sick,peace,WH,LY,0.024785978142884524,0.025539786406510556
sick,happy,WH,LY,0.05712491555823829,0.05767839353427462
sick,lightning,WH,LY,0.17292070493051837,0.1712316986834892
sick,death,WH,LY,0.0756117441412858,0.08260130580293878
sick,banana,WH,LY,0.5502620507714837,0.5776831045438786
sick,sandstorm,WH,LY,0.30262511630045896,0.31332251895541186
safety,mango,WH,LY,0.37623113002624353,0.36371112269464456
safety,justice,WH,LY,0.16847832662371443,0.17129923264551872
safety,sad,WH,LY,0.03926855786225891,0.03945832189047982
safety,tree,WH,LY,0.2500419406341723,0.2544127043666089
safety,peach,WH,LY,0.2748150040554802,0.2733130317641854
safety,angry,WH,LY,0.16745240919737703,0.17140664233223646
safety,peace,WH,LY,0.12938455688206063,0.12878845820278895
safety,happy,WH,LY,0.050172183679907834,0.048999528533492764
safety,lightning,WH,LY,0.06605443427560198,0.06340708922405547
safety,death,WH,LY,0.17631152159667896,0.18519033597305534
safety,banana,WH,LY,0.45973331189982636,0.4688139475325592
safety,sandstorm,WH,LY,0.2021545487541594,0.2029122093445308
mango,justice,WH,LY,0.5259794933596296,0.5265483363728267
mango,sad,WH,LY,0.3507901830990079,0.34635063029894675
mango,tree,WH,LY,0.17943432343393506,0.1787791782439606
mango,peach,WH,LY,0.1160031486245755,0.11292678680741286
mango,angry,WH,LY,0.27391185867168577,0.27460397268794856
mango,peace,WH,LY,0.5009454169543888,0.49083034131651615
mango,happy,WH,LY,0.4338104727225097,0.4164352939533149
mango,lightning,WH,LY,0.31899016440191963,0.30012435729797804
mango,death,WH,LY,0.5324554814475775,0.549779310657825
mango,banana,WH,LY,0.12756568851897132,0.1283966750185519
mango,sandstorm,WH,LY,0.16183087494040838,0.15981158302163634
justice,sad,WH,LY,0.21141177243507125,0.2202611501312033
justice,tree,WH,LY,0.4247911916438514,0.4504256343064572
justice,peach,WH,LY,0.43519843058616625,0.4483469071359958
justice,angry,WH,LY,0.35145399238883734,0.37594812744423534
justice,peace,WH,LY,0.04340978212701052,0.044773927609017994
justice,happy,WH,LY,0.12379854787757338,0.12521533279669161
justice,lightning,WH,LY,0.23492507652482608,0.23322868660678253
justice,death,WH,LY,0.008054038679852438,0.00878912749469185
justice,banana,WH,LY,0.5906646360645114,0.6188140784670013
justice,sandstorm,WH,LY,0.35675571978012677,0.369320835108335
sad,tree,WH,LY,0.21642168065871337,0.22784605079112552
sad,peach,WH,LY,0.24435255849319937,0.24927168869125405
sad,angry,WH,LY,0.12919905637182993,0.13713249848003417
sad,peace,WH,LY,0.17272126584865255,0.176020508020998
sad,happy,WH,LY,0.09202482825616287,0.0918853060664695
sad,lightning,WH,LY,0.028214619238310368,0.027624081408622603
sad,death,WH,LY,0.21934981634285422,0.23689887898015072
sad,banana,WH,LY,0.43928791339275586,0.45895803692985226
sad,sandstorm,WH,LY,0.1706284811870311,0.1751821578237771
tree,peach,WH,LY,0.05265787305120173,0.05488712688463426
tree,angry,WH,LY,0.10636123591180402,0.11811055907301105
tree,peace,WH,LY,0.3929086228486307,0.4064696264119114
tree,happy,WH,LY,0.31304072071363287,0.3162203561902921
tree,lightning,WH,LY,0.1821533817201041,0.17953734864681847
tree,death,WH,LY,0.4324751614162311,0.47846086766390594
tree,banana,WH,LY,0.29757469625809185,0.32006491013524263
tree,sandstorm,WH,LY,0.01404954237482614,0.014697395933202073
peach,angry,WH,LY,0.1478231877301055,0.15518154846930043
peach,peace,WH,LY,0.4054837626486585,0.40880721010383037
peach,happy,WH,LY,0.33241440215619233,0.32837121439070416
peach,lightning,WH,LY,0.21287503540720576,0.20605683801396935
peach,death,WH,LY,0.44227712089259974,0.4714773495726532
