country,concept_a,concept_b,color_1,color_2,A_to_C1,B_to_C2,A_to_C2,B_to_C1,sigma_A_C1,sigma_B_C2,sigma_A_C2,sigma_B_C1,mu_D,var_D,p_gt0,p_swapped,semantic_distance
mdg,angry,banana,A1,A2,0.3566,0.179,0.346,0.1342,0.3372715668,0.21602972999999998,0.33263748,0.1707998292,0.0554,0.3002,0.5403,0.4597,0.0805
mdg,angry,death,A1,A2,0.3566,0.5956,0.346,0.7284,0.3372715668,0.35406514079999996,0.33263748,0.2908151568,-0.1222,0.4343,0.4264,0.5736,0.1471
mdg,angry,happy,A1,A2,0.3566,0.241,0.346,0.199,0.3372715668,0.26889093,0.33263748,0.23431653,0.0526,0.3516,0.5353,0.4647,0.0707
mdg,angry,justice,A1,A2,0.3566,0.392,0.346,0.2456,0.3372715668,0.35035392,0.33263748,0.2723625408,0.157,0.4213,0.5956,0.4044,0.1911
mdg,angry,lightning,A1,A2,0.3566,0.4078,0.346,0.322,0.3372715668,0.3550037652,0.33263748,0.32092451999999994,0.0964,0.4534,0.5569,0.4431,0.1138
mdg,angry,mango,A1,A2,0.3566,0.1832,0.346,0.118,0.3372715668,0.2199675072,0.33263748,0.15299171999999997,0.0758,0.2962,0.5554,0.4446,0.1108
mdg,angry,peace,A1,A2,0.3566,0.2918,0.346,0.2756,0.3372715668,0.3037795572,0.33263748,0.29347762079999995,0.0268,0.4028,0.5168,0.4832,0.0337
mdg,angry,peach,A1,A2,0.3566,0.215,0.346,0.243,0.3372715668,0.24809925000000002,0.33263748,0.27040797,-0.0174,0.3591,0.4884,0.5116,0.0232
mdg,angry,sad,A1,A2,0.3566,0.621,0.346,0.6488,0.3372715668,0.34597773,0.33263748,0.3349520832,-0.0172,0.4563,0.4898,0.5102,0.0203
mdg,angry,safety,A1,A2,0.3566,0.223,0.346,0.3688,0.3372715668,0.25470837,0.33263748,0.3421962432,-0.1352,0.4064,0.416,0.584,0.168
