country,concept_a,concept_b,color_1,color_2,A_to_C1,A_to_C2,B_to_C1,B_to_C2,mu_D,semantic_distance
mdg,angry,banana,A1,A2,0.3566,0.346,0.1342,0.179,0.0554,0.0769
mdg,angry,death,A1,A2,0.3566,0.346,0.7284,0.5956,-0.1222,0.1405
mdg,angry,happy,A1,A2,0.3566,0.346,0.199,0.241,0.0526,0.0675
mdg,angry,justice,A1,A2,0.3566,0.346,0.2456,0.392,0.157,0.1826
mdg,angry,lightning,A1,A2,0.3566,0.346,0.322,0.4078,0.0964,0.1087
mdg,angry,mango,A1,A2,0.3566,0.346,0.118,0.1832,0.0758,0.1058
mdg,angry,peace,A1,A2,0.3566,0.346,0.2756,0.2918,0.0268,0.0322
mdg,angry,peach,A1,A2,0.3566,0.346,0.243,0.215,-0.0174,0.0221
mdg,angry,sad,A1,A2,0.3566,0.346,0.6488,0.621,-0.0172,0.0194
mdg,angry,safety,A1,A2,0.3566,0.346,0.3688,0.223,-0.1352,0.1604
mdg,angry,sandstorm,A1,A2,0.3566,0.346,0.4604,0.5138,0.064,0.0694
mdg,angry,sick,A1,A2,0.3566,0.346,0.5234,0.5204,0.0076,0.0082
mdg,angry,tree,A1,A2,0.3566,0.346,0.2184,0.2534,0.0456,0.0575
mdg,banana,death,A1,A2,0.1342,0.179,0.7284,0.5956,-0.1776,0.2488
mdg,banana,happy,A1,A2,0.1342,0.179,0.199,0.241,-0.0028,0.0047
mdg,banana,justice,A1,A2,0.1342,0.179,0.2456,0.392,0.1016,0.1473
mdg,banana,lightning,A1,A2,0.1342,0.179,0.322,0.4078,0.041,0.0565
mdg,banana,mango,A1,A2,0.1342,0.179,0.118,0.1832,0.0204,0.0404
mdg,banana,peace,A1,A2,0.1342,0.179,0.2756,0.2918,-0.0286,0.0432
mdg,banana,peach,A1,A2,0.1342,0.179,0.243,0.215,-0.0728,0.1204
mdg,banana,sad,A1,A2,0.1342,0.179,0.6488,0.621,-0.0726,0.0994
mdg,banana,safety,A1,A2,0.1342,0.179,0.3688,0.223,-0.1906,0.2799
mdg,banana,sandstorm,A1,A2,0.1342,0.179,0.4604,0.5138,0.0086,0.0112
mdg,banana,sick,A1,A2,0.1342,0.179,0.5234,0.5204,-0.0478,0.0619
