concept1,concept2,color1,color2,deltaS_sample,deltaS_fit
sick,safety,WH,LY,0.3665067784479471,0.3774544514534749
sick,mango,WH,LY,0.24112287853713577,0.24806217552260046
sick,justice,WH,LY,0.4945863719088843,0.53629021556648
sick,sad,WH,LY,0.39612785118230454,0.4234523038997524
sick,tree,WH,LY,0.13923875527393847,0.14852739019455585
sick,peach,WH,LY,0.2179597394136561,0.22371321442343106
sick,angry,WH,LY,0.25604408207001905,0.30237827670943174
sick,peace,WH,LY,0.324224661061596,0.33395920068859297
sick,happy,WH,LY,0.0694208657772033,0.06983590522402827
sick,lightning,WH,LY,0.4061981890665983,0.4370714086569676
sick,death,WH,LY,0.6043212310123327,0.6709840796210198
sick,banana,WH,LY,0.601156255466736,0.6272930342446916
sick,sandstorm,WH,LY,0.16931692019158584,0.1749224083147194
safety,mango,WH,LY,0.5666565718045251,0.5631872333674106
safety,justice,WH,LY,0.1477607311369934,0.15610369402709212
safety,sad,WH,LY,0.048337438228147844,0.04941405870034177
safety,tree,WH,LY,0.29881556333700265,0.3026788206801243
safety,peach,WH,LY,0.548500966672941,0.544431311709269
safety,angry,WH,LY,0.17484529296052753,0.19204334255608613
safety,peace,WH,LY,0.048142997628789264,0.04823547271400752
safety,happy,WH,LY,0.4129119390994709,0.40533415382434956
safety,lightning,WH,LY,0.028716990770426665,0.029899188358990414
safety,death,WH,LY,0.24922065858904086,0.27008467674664516
safety,banana,WH,LY,0.7976361313022748,0.8023166425423685
safety,sandstorm,WH,LY,0.49012942735355125,0.4907096038020362
mango,justice,WH,LY,0.6704611159040077,0.6998030033735505
mango,sad,WH,LY,0.6435018944973314,0.6502426118665985
mango,tree,WH,LY,0.42542088757573926,0.4255952973866023
mango,peach,WH,LY,0.023949193170016758,0.02327878425411123
mango,angry,WH,LY,0.5154408688741257,0.5714435436668495
mango,peace,WH,LY,0.5324450812478876,0.5283645492475595
mango,happy,WH,LY,0.15986065882471368,0.1537700939228137
mango,lightning,WH,LY,0.6089295819889826,0.6284137381674684
mango,death,WH,LY,0.7712736961978797,0.816558915189165
mango,banana,WH,LY,0.4369968450010753,0.4361159137928774
mango,sandstorm,WH,LY,0.05243756404276301,0.05187118476012953
justice,sad,WH,LY,0.2193779759943315,0.24147498099635523
justice,tree,WH,LY,0.4499627492642331,0.4883946179658516
justice,peach,WH,LY,0.6548877128025068,0.6829736216062723
justice,angry,WH,LY,0.3331103534809592,0.39254470583827006
justice,peace,WH,LY,0.19551076744526785,0.20648347412298484
justice,happy,WH,LY,0.5320452117839971,0.5480248102900149
justice,lightning,WH,LY,0.12446125697852062,0.13732416554651916
justice,death,WH,LY,0.09211724044870073,0.10672900180919442
justice,banana,WH,LY,0.8546604494093806,0.8863079726312553
justice,sandstorm,WH,LY,0.5985441091148336,0.6264412459332553
sad,tree,WH,LY,0.3310034165258593,0.3499862031755965
sad,peach,WH,LY,0.6211003688842758,0.6263858520105239
sad,angry,WH,LY,0.16459165467948145,0.20233133444510054
sad,peace,WH,LY,0.008341419730384159,0.008520328075481753
sad,happy,WH,LY,0.4472058308449547,0.44299860258520285
sad,lightning,WH,LY,0.08498171514664954,0.09217610647063079
sad,death,WH,LY,0.3475825997753321,0.40100442468109554
sad,banana,WH,LY,0.8818824035309785,0.8984907885790261
sad,sandstorm,WH,LY,0.5368764310076646,0.5468891094802355
tree,peach,WH,LY,0.39795123348296,0.3971147705870468
tree,angry,WH,LY,0.15458636778498402,0.19009330652544043
