country,concept_a,concept_b,color_1,color_2,A_to_C1,B_to_C2,A_to_C2,B_to_C1,sigma_A_C1,sigma_B_C2,sigma_A_C2,sigma_B_C1,mu_D,var_D,p_gt0,p_swapped,semantic_distance
usa,angry,banana,A1,A2,0.3736,0.0712,0.3438,0.0524,0.3229517952,0.0912601728,0.3113301528,0.0685228512,0.0486,0.2142,0.5418,0.4582,0.0836
usa,angry,death,A1,A2,0.3736,0.6698,0.3438,0.775,0.3229517952,0.3052117848,0.3113301528,0.24063749999999995,-0.0754,0.3523,0.4495,0.5505,0.1011
usa,angry,happy,A1,A2,0.3736,0.1154,0.3438,0.1012,0.3229517952,0.14087431920000001,0.3113301528,0.1255228128,0.044,0.2368,0.536,0.464,0.072
usa,angry,justice,A1,A2,0.3736,0.333,0.3438,0.302,0.3229517952,0.30651318,0.3113301528,0.29089847999999996,0.0608,0.3798,0.5393,0.4607,0.0786
usa,angry,lightning,A1,A2,0.3736,0.3102,0.3438,0.3756,0.3229517952,0.29528682479999996,0.3113301528,0.3236440032,-0.0356,0.3932,0.4774,0.5226,0.0453
usa,angry,mango,A1,A2,0.3736,0.0432,0.3438,0.0426,0.3229517952,0.05704058879999999,0.3113301528,0.056283631199999996,0.0304,0.2076,0.5266,0.4734,0.0532
usa,angry,peace,A1,A2,0.3736,0.2364,0.3438,0.1886,0.3229517952,0.2491107552,0.3113301528,0.21118145519999995,0.0776,0.3079,0.5556,0.4444,0.1112
usa,angry,peach,A1,A2,0.3736,0.0424,0.3438,0.0288,0.3229517952,0.056031091199999994,0.3113301528,0.03859937279999999,0.0434,0.2059,0.5381,0.4619,0.0762
usa,angry,sad,A1,A2,0.3736,0.7026,0.3438,0.7964,0.3229517952,0.2883554712,0.3113301528,0.2237629152,-0.064,0.3344,0.4559,0.5441,0.0881
usa,angry,safety,A1,A2,0.3736,0.2158,0.3438,0.223,0.3229517952,0.23353789679999998,0.3113301528,0.23911397999999998,0.0226,0.3129,0.5161,0.4839,0.0322
usa,angry,sandstorm,A1,A2,0.3736,0.4254,0.3438,0.3454,0.3229517952,0.33732007919999996,0.3113301528,0.3120163992,0.1098,0.4124,0.5679,0.4321,0.1358
usa,angry,sick,A1,A2,0.3736,0.4422,0.3438,0.4512,0.3229517952,0.3403896408,0.3113301528,0.34171361279999996,0.0208,0.4339,0.5126,0.4874,0.0252
usa,angry,tree,A1,A2,0.3736,0.0934,0.3438,0.0992,0.3229517952,0.11685348719999998,0.3113301528,0.1233159168,0.024,0.2301,0.52,0.48,0.0399
usa,banana,death,A1,A2,0.0524,0.6698,0.0712,0.775,0.0685228512,0.3052117848,0.0912601728,0.24063749999999995,-0.124,0.1641,0.3798,0.6202,0.2405
usa,banana,happy,A1,A2,0.0524,0.1154,0.0712,0.1012,0.0685228512,0.14087431920000001,0.0912601728,0.1255228128,-0.0046,0.0486,0.4917,0.5083,0.0166
