name,color,x,y,Y,xyz_x,xyz_Y,xyz_Z,L,a,b,c,h,R,G,B,hex
red saturated,SR,0.549,0.313,0.2293,0.402190735,0.2293,0.101097125,51.57,62.23,32.2,70.07,27.36,243.4991358,59.6216264,81.09702429,#f03a52
red light,LR,0.407,0.326,0.4995,0.623608896,0.4995,0.409099693,71.6,31.58,16.68,35.71,27.84,260.4224382,159.626603,162.7990111,#fc9fa3
red muted,MR,0.441,0.324,0.2293,0.312102778,0.2293,0.166313272,51.57,31.58,16.98,37.68,26.83,199.7552481,102.6372777,106.7846114,#c5666b
red dark,DR,0.506,0.311,0.0769,0.125117042,0.0769,0.045249839,30.76,37.02,16.39,40.48,23.88,140.5933975,43.72467404,55.67747621,#8a2b38
orange saturated,SO,0.513,0.412,0.4995,0.621950243,0.4995,0.090928398,71.6,31.22,69.65,76.32,65.86,276.4674751,157.2036636,47.3828677,#f89e2d
orange light,LO,0.399,0.366,0.6856,0.747416393,0.6856,0.44020765,81.35,15,30.17,33.7,63.57,270.9957517,200.395505,163.1641457,#fbc9a3
orange muted,MO,0.423,0.375,0.3486,0.3932208,0.3486,0.1877792,61.7,15.94,30.33,34.26,62.28,210.0430124,144.4267071,107.7660212,#ce916c
orange dark,DO,0.481,0.388,0.1076,0.133390722,0.1076,0.036328866,36.51,18.35,30.6,35.68,59.04,136.6450831,76.94268023,42.72509524,#864d2b
yellow saturated,SY,0.446,0.472,0.9125,0.862235169,0.9125,0.158527542,91.08,-5.75,86.68,86.87,93.8,287.2686617,241.3866812,47.89782237,#fff329
yellow light,LY,0.391,0.413,0.9125,0.863892252,0.9125,0.433050847,91.08,-5.46,47.71,48.08,96.53,274.3009633,242.5626961,153.2524546,#fff498
yellow muted,MY,0.407,0.405,0.4995,0.501966667,0.4995,0.231866667,71.7,-3.33,45.94,46.06,94.15,223.7108797,180.6746438,114.9069796,#dab572
yellow dark,DY,0.437,0.45,0.1843,0.178975778,0.1843,0.046279778,46.83,-0.93,43.35,43.36,91.22,142.7449679,115.8676068,40.0746818,#8a7527
chartreuse saturated,SH,0.387,0.504,0.6856,0.526442857,0.6856,0.148274603,81.35,-32.92,72.06,79.22,114.55,200.0889451,228.8181488,60.67858625,#bde638
chartreuse light,LH,0.357,0.42,0.799,0.67915,0.799,0.424230952,86.44,-20.62,40.64,45.58,116.9,226.076863,238.4108244,154.022002,#dbf099
chartreuse muted,MH,0.36,0.436,0.424,0.350091743,0.424,0.198385321,66.94,-19.94,37.45,42.44,118.07,166.4895764,181.4023648,105.5019923,#a0b668
chartreuse dark,DH,0.369,0.473,0.1843,0.143777378,0.1843,0.061563214,46.83,-19.92,36.86,41.92,118.39,108.6633007,126.0900159,52.90750509,#677f35
green saturated,SG,0.2544,0.449,0.424,0.240235189,0.424,0.280085523,66.94,-59.95,24.54,64.78,157.74,-42.55729534,199.4769997,129.9213481,#04c981
green light,LG,0.288,0.381,0.639,0.483023622,0.639,0.555141732,79.09,-34.13,15.21,37.36,155.97,150.2763249,225.0966346,184.6891279,#95e2b8
green muted,MG,0.281,0.392,0.3468,0.24859898,0.3468,0.289294898,61.7,-33.27,14.07,36.12,157.02,100.3083946,173.7031455,136.679096,#62ae88
